,pv_pout,wind_pout,curtail_p,bat_pin,bat_pout,el_pin,comp1_hflow,comp1_pin,comp2_hflow,comp2_pin,res_hout,pipe_storage_hout,ug_storage_hout,ug_storage_level,pipe_storage_level,reserve_h_level,bat_e,LOAD,t,time
0,-0.0,105455.8105070246,0.0,0.0,0.0,103923.3369344631,0.5128760283003677,1532.473572561499,0.0,0.0,0.0,0.5128760283003678,4.487123971699633,641871.8171317672,0.0,-0.0,0.0,5.0,0,2021-01-01 00:00:00
1,-0.0,123753.4680500409,0.0,0.0,0.0,121955.0946992724,0.6018652445677574,1798.373350768459,0.0,0.0,0.0,0.6018652445677574,4.398134755432242,625718.1708336484,0.0,-0.0,0.0,5.0,1,2021-01-01 01:00:00
2,-0.0,88720.2618521098,0.0,0.0,0.0,87430.9876434588,0.4314840055726251,1289.274208651003,0.0,0.0,0.0,0.431484005572625,4.568515994427374,609884.8857140924,0.0,-0.0,0.0,5.0,2,2021-01-01 02:00:00
3,-0.0,36542.96500906624,0.0,0.0,-1.854705634621835e-10,36011.92619887453,0.1777238320587435,531.0388101915254,0.0,0.0,0.0,0.1777238320587434,4.822276167941257,593438.2281341538,0.0,-0.0,0.0,5.0,3,2021-01-01 03:00:00
4,-0.0,8539.652935264628,0.0,0.0,0.0,8415.55553011246,0.04153192943512918,124.097405152166,0.0,0.0,0.0,0.04153192943512918,4.958468070564871,576078.0339295653,0.0,-0.0,1.952321720654563e-10,5.0,4,2021-01-01 04:00:00
5,-0.0,105385.4301185139,0.0,0.0,0.0,103853.979306907,0.512533738824273,1531.450811606928,0.0,0.0,0.0,0.512533738824273,4.487466261175727,558227.5488755318,0.0,-0.0,1.952321720654563e-10,5.0,5,2021-01-01 05:00:00
6,298167.3969939455,127661.0096026098,0.0,0.0,0.0,419640.3096446883,2.070982915618174,6188.096951867102,0.0,0.0,0.0,2.070982915618173,2.929017084381827,542072.6703352991,0.0,-0.0,1.952321720654563e-10,5.0,6,2021-01-01 06:00:00
7,506166.7052174477,126255.7022514552,0.0,0.0,0.0,623232.1066075081,3.07573656673192,9190.300861394977,0.0,0.0,0.0,3.075736566731921,1.92426343326808,531528.2088315246,0.0,-0.0,1.952321720654563e-10,5.0,7,2021-01-01 07:00:00
8,455062.3100776073,229180.1191911542,0.0,0.0,0.0,674299.0848950552,3.327759161213611,9943.344373706268,0.0,0.0,0.0,3.32775916121361,1.672240838786389,524600.8604717595,0.0,-0.0,1.952321720654563e-10,5.0,8,2021-01-01 08:00:00
9,797521.1989523688,392430.165975163,0.0,0.0,0.0,1171522.195742147,5.781623921457293,17275.49227731439,0.7816239214572934,1153.676908070965,0.0,5.0,0.0,518580.7934521284,0.0,-0.0,1.952321720654563e-10,5.0,9,2021-01-01 09:00:00
10,832332.5435689498,222119.0761494949,0.0,-2.055075495425856e-10,0.0,1038943.225809743,5.127328384565848,15320.45721308276,0.1273283845658471,187.9366956191904,0.0,5.0,0.0,521394.6395693747,0.0,-0.0,1.952321720654563e-10,5.0,10,2021-01-01 10:00:00
11,801864.9963322838,499124.7832322542,0.0,0.0,0.0,1280167.113212546,6.317801602148772,18877.59118722053,1.317801602148773,1945.075164771589,0.0,5.0,0.0,521853.0217538117,0.0,-0.0,0.0,5.0,11,2021-01-01 11:00:00
12,941750.5133598577,704577.0746046548,0.0,-3.736500900774284e-11,0.0,1618060.965675022,7.985354455530992,23860.2391131266,2.985354455530991,4406.383176363744,0.0,5.0,0.0,526597.1075215472,0.0,-0.0,0.0,5.0,12,2021-01-01 12:00:00
13,1079837.545858204,842682.2976029954,163755.7773366703,1.868250450387141e-11,0.0,1728073.81060163,8.528283047244367,25482.50974516617,3.528283047244367,5207.745777732685,0.0,5.0,0.0,537344.3835614589,0.0,-0.0,-3.54967585573557e-11,5.0,13,2021-01-01 13:00:00
14,1024145.491029401,873676.2788005966,139057.7037054683,1.868250450387141e-11,0.0,1728073.810601631,8.528283047244367,25482.50974516617,3.528283047244367,5207.745777732684,0.0,5.0,0.0,550046.2025315386,0.0,-0.0,-1.774837927867785e-11,5.0,14,2021-01-01 14:00:00
15,642409.5290036196,1084172.580914247,0.0,1.681425405348427e-10,0.0,1696585.555050262,8.372884154929379,25018.17785492898,3.372884154929378,4978.377012675762,0.0,5.0,0.0,562748.0215016182,0.0,-0.0,0.0,5.0,15,2021-01-01 15:00:00
