,pv_pout,wind_pout,curtail_p,bat_pin,bat_pout,el_pin,comp1_hflow,comp1_pin,comp2_hflow,comp2_pin,res_hout,pipe_storage_hout,ug_storage_hout,ug_storage_level,pipe_storage_level,reserve_h_level,bat_e,LOAD,t,time
0,-0.0,1505290.890437828,0.0,0.0,0.0,1480064.395630536,7.304322313461472,21825.31507262288,2.304322313461471,3401.179734669131,0.0,5.0,0.0,2879598.884228559,0.0,-0.0,0.0,5.0,0,2021-01-01 00:00:00
1,-0.0,851317.7120108312,0.0,0.0,0.0,838946.4458924677,4.14031663934523,12371.26611836355,0.0,0.0,0.0,4.14031663934523,0.8596833606547704,2887894.44455702,0.0,-0.0,0.0,5.0,1,2021-01-01 01:00:00
2,-0.0,1131385.258013123,0.0,0.0,0.0,1114218.515091811,5.49882233900358,16430.48114894269,0.4988223390035786,736.2617723692821,0.0,5.0,0.0,2884799.584458663,0.0,-0.0,0.0,5.0,2,2021-01-01 02:00:00
3,-0.0,1104420.096463785,0.0,0.0,0.0,1087834.603175552,5.368614087865809,16041.41889454303,0.3686140878658077,544.0743936899321,0.0,5.0,0.0,2886595.344879076,0.0,-0.0,0.0,5.0,3,2021-01-01 03:00:00
4,-0.0,685044.5640851081,0.0,0.0,0.0,675089.5631663355,3.331660280713726,9955.000918772612,0.0,0.0,0.0,3.331660280713725,1.668339719286274,2887922.355595393,0.0,-0.0,0.0,5.0,4,2021-01-01 04:00:00
5,199084.117844381,576355.1169471286,0.0,0.0,0.0,764170.6273176126,3.77128764186639,11268.60747389678,0.0,0.0,0.0,3.77128764186639,1.22871235813361,2881916.332605963,0.0,-0.0,0.0,5.0,5,2021-01-01 05:00:00
6,579382.9926729269,186312.137174584,0.0,0.0,0.0,754568.1227581083,3.723897954954003,11127.00708940256,0.0,0.0,0.0,3.723897954954003,1.276102045045997,2877492.968116682,0.0,-0.0,0.0,5.0,6,2021-01-01 06:00:00
7,708519.6769723899,176597.3172973328,0.0,0.0,0.0,872254.560271806,4.304696786451383,12862.43399791673,0.0,0.0,0.0,4.304696786451382,0.6953032135486172,2872899.000754516,0.0,-0.0,0.0,5.0,7,2021-01-01 07:00:00
8,740207.2404148738,83041.74640672293,0.0,0.0,0.0,811285.6126852983,4.003806605186893,11963.37413629843,0.0,0.0,0.0,4.003806605186893,0.9961933948131084,2870395.909185741,0.0,-0.0,0.0,5.0,8,2021-01-01 08:00:00
9,740207.2404148738,-0.0,0.0,0.0,0.0,729450.6208535561,3.599939612221442,10756.61956131767,0.0,0.0,0.0,3.599939612221442,1.400060387778559,2866809.612964414,0.0,-0.0,0.0,5.0,9,2021-01-01 09:00:00
10,740207.2404148738,-0.0,0.0,0.0,0.0,729450.6208535561,3.599939612221442,10756.61956131767,0.0,0.0,0.0,3.599939612221442,1.400060387778559,2861769.395568411,0.0,-0.0,0.0,5.0,10,2021-01-01 10:00:00
11,724329.7792305137,-0.0,0.0,0.0,0.0,713803.8893895159,3.52272083032051,10525.88984099768,0.0,0.0,0.0,3.52272083032051,1.47727916967949,2856729.178172408,0.0,-0.0,0.0,5.0,11,2021-01-01 11:00:00
12,731104.1626691739,166403.9046535291,0.0,0.0,0.0,884465.5674574046,4.36495979427653,13042.49986529827,0.0,0.0,0.0,4.364959794276531,0.6350402057234705,2851410.973161562,0.0,-0.0,0.0,5.0,12,2021-01-01 12:00:00
13,636099.2085642111,-0.0,0.0,0.0,0.0,626855.4767872219,3.093618399260119,9243.731776989234,0.0,0.0,0.0,3.093618399260119,1.906381600739881,2849124.828420957,0.0,-0.0,0.0,5.0,13,2021-01-01 13:00:00
14,586292.0939640604,58409.26173865527,0.0,0.0,0.0,635332.6183608965,3.135454264330426,9368.737341819311,0.0,0.0,0.0,3.135454264330426,1.864545735669575,2842261.854658294,0.0,-0.0,0.0,5.0,14,2021-01-01 14:00:00
15,411043.4133037161,93686.61690321166,0.0,0.0,0.0,497395.3425415311,2.454714747455385,7334.68766539669,0.0,0.0,0.0,2.454714747455385,2.545285252544616,2835549.490009883,0.0,-0.0,0.0,5.0,15,2021-01-01 15:00:00
16,349025.0876472301,341129.4914635862,0.0,0.0,0.0,680125.3199511308,3.356512436307046,10029.25915968546,0.0,0.0,0.0,3.356512436307047,1.643487563692954,2826386.463100722,0.0,-0.0,0.0,5.0,16,2021-01-01 16:00:00
17,205136.7985019341,1210250.194820841,0.0,0.0,0.0,1392098.428948976,6.870198112410342,20528.1519598821,1.870198112410342,2760.412413917665,0.0,5.0,0.0,2820469.907871427,0.0,-0.0,0.0,5.0,17,2021-01-01 17:00:00
18,-0.0,1636658.067020138,0.0,0.0,-8.37074462187516e-11,1608599.876840008,7.938662674760334,23720.72407218388,2.938662674760334,4337.466107946253,0.0,5.0,0.0,2827202.621076105,0.0,-0.0,0.0,5.0,18,2021-01-01 18:00:00
19,-0.0,1636658.067020138,0.0,0.0,-8.37074462187516e-11,1608599.876840008,7.938662674760334,23720.72407218388,2.938662674760334,4337.466107946253,0.0,5.0,0.0,2837781.806705243,0.0,-0.0,8.811310128289638e-11,5.0,19,2021-01-01 19:00:00
20,-0.0,1636658.067020138,0.0,0.0,1.67414892437503e-10,1608599.876840008,7.938662674760335,23720.72407218388,2.938662674760335,4337.466107946254,0.0,5.0,0.0,2848360.99233438,0.0,-0.0,1.762262025657928e-10,5.0,20,2021-01-01 20:00:00
21,-0.0,1636658.067020138,0.0,0.0,0.0,1608599.876840008,7.938662674760334,23720.72407218388,2.938662674760333,4337.466107946251,0.0,5.0,0.0,2858940.177963517,0.0,-0.0,0.0,5.0,21,2021-01-01 21:00:00
22,-0.0,1636658.067020139,0.0,0.0,0.0,1608599.876840008,7.938662674760335,23720.72407218388,2.938662674760335,4337.466107946254,0.0,5.0,0.0,2869519.363592655,0.0,-0.0,0.0,5.0,22,2021-01-01 22:00:00
23,-0.0,1636658.067020139,0.0,0.0,0.0,1608599.876840008,7.938662674760335,23720.72407218388,2.938662674760335,4337.466107946254,0.0,5.0,0.0,2880098.549221792,0.0,-0.0,0.0,5.0,23,2021-01-01 23:00:00
24,-0.0,1636658.067020139,0.0,0.0,0.0,1608599.876840008,7.938662674760335,23720.72407218388,2.938662674760335,4337.466107946254,0.0,5.0,0.0,2890677.734850929,0.0,-0.0,0.0,5.0,24,2021-01-02 00:00:00
25,-0.0,1531838.266884739,0.0,0.0,0.0,1506039.528043576,7.432513181264121,22208.3493856172,2.432513181264121,3590.389455545843,0.0,5.0,0.0,2901256.920480066,0.0,-0.0,0.0,5.0,25,2021-01-02 01:00:00
26,-0.0,1636658.067020139,0.0,0.0,0.0,1608599.876840008,7.938662674760335,23720.72407218388,2.938662674760335,4337.466107946254,0.0,5.0,0.0,2910013.967932618,0.0,-0.0,0.0,5.0,26,2021-01-02 02:00:00
27,-0.0,1600920.691172935,0.0,0.0,0.0,1573632.840772167,7.766095519885203,23205.09341341699,2.766095519885203,4082.75698735056,0.0,5.0,0.0,2920593.153561755,0.0,-0.0,0.0,5.0,27,2021-01-02 03:00:00
