cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-PV,LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe,pv_capacity_HI34[kW],pv_capacity_HJ34[kW],pv_capacity_HK34[kW],pv_capacity_HK43[kW],pv_capacity_HK44[kW],pv_capacity_HK45[kW],pv_capacity_HL34[kW],pv_capacity_HL43[kW],pv_capacity_HL44[kW],pv_capacity_HL45[kW],pv_capacity_HM34[kW],pv_capacity_HM44[kW],pv_capacity_HM45[kW],pv_capacity_HN34[kW],pv_capacity_HN42[kW],pv_capacity_HN43[kW],pv_capacity_HO34[kW],pv_capacity_HO39[kW],pv_capacity_HO40[kW],pv_capacity_HO41[kW],pv_capacity_HO42[kW],pv_capacity_HO43[kW],pv_capacity_HO47[kW],pv_capacity_HP34[kW],pv_capacity_HP39[kW],pv_capacity_HP40[kW],pv_capacity_HP41[kW],pv_capacity_HP42[kW],pv_capacity_HP43[kW],pv_capacity_HP45[kW],pv_capacity_HP46[kW],pv_capacity_HP47[kW],pv_capacity_HQ34[kW],pv_capacity_HQ39[kW],pv_capacity_HQ40[kW],pv_capacity_HQ41[kW],pv_capacity_HQ42[kW],pv_capacity_HQ45[kW],pv_capacity_HQ46[kW],pv_capacity_HQ47[kW],pv_capacity_HR34[kW],pv_capacity_HR43[kW],pv_capacity_HR44[kW],pv_capacity_HS34[kW],pv_capacity_HS40[kW],pv_capacity_HS43[kW],pv_capacity_HS44[kW],pv_capacity_HT34[kW],pv_capacity_HU34[kW],pv_capacity_HV35[kW],pv_capacity_HW34[kW],wind_capacity_HI34[kW],wind_capacity_HJ34[kW],wind_capacity_HK34[kW],wind_capacity_HK43[kW],wind_capacity_HK44[kW],wind_capacity_HK45[kW],wind_capacity_HL34[kW],wind_capacity_HL43[kW],wind_capacity_HL44[kW],wind_capacity_HL45[kW],wind_capacity_HM34[kW],wind_capacity_HM44[kW],wind_capacity_HM45[kW],wind_capacity_HN34[kW],wind_capacity_HN42[kW],wind_capacity_HN43[kW],wind_capacity_HO34[kW],wind_capacity_HO39[kW],wind_capacity_HO40[kW],wind_capacity_HO41[kW],wind_capacity_HO42[kW],wind_capacity_HO43[kW],wind_capacity_HO47[kW],wind_capacity_HP34[kW],wind_capacity_HP39[kW],wind_capacity_HP40[kW],wind_capacity_HP41[kW],wind_capacity_HP42[kW],wind_capacity_HP43[kW],wind_capacity_HP45[kW],wind_capacity_HP46[kW],wind_capacity_HP47[kW],wind_capacity_HQ34[kW],wind_capacity_HQ39[kW],wind_capacity_HQ40[kW],wind_capacity_HQ41[kW],wind_capacity_HQ42[kW],wind_capacity_HQ45[kW],wind_capacity_HQ46[kW],wind_capacity_HQ47[kW],wind_capacity_HR34[kW],wind_capacity_HR43[kW],wind_capacity_HR44[kW],wind_capacity_HS34[kW],wind_capacity_HS40[kW],wind_capacity_HS43[kW],wind_capacity_HS44[kW],wind_capacity_HT34[kW],wind_capacity_HU34[kW],wind_capacity_HV35[kW],wind_capacity_HW34[kW]
100,HN34,2404321200.17417,3.7498755853581,0,29997246.2286987,29028995.0964376,3003203.36963378,66698640.0000005,0,893839.279758602,776176.339476942,2915731.42682892,0,0,0,0,1300536152.04877,828180154.221896,57479802.931229,0,0,2.115,12825443.3682312,205222912.169672,0,1.97506158026448,1.40654757952712,0.11244096905772,0,0.0150421709395288,0.24069328731439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259439.279758602,0,0,634400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HM34,2407376152.3002,3.75898784716359,0,30143186.4754144,29169668.9098368,3085385.9001538,66698640.0000005,0,898187.916430702,779937.671386011,2995520.29141145,0,-8.92991872043884E-11,8.4834227844169E-11,0,1306863418.40667,832193495.368874,59052735.2562403,0,1.66275086574571E-08,2.115,10469786.7292302,199346940.504162,0,1.98467049476633,1.41336367533347,0.115517911320346,0,0.0122793666589017,0.233801722813208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686400,0,0,211787.916430702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HO39,2420629583.57925,3.76260158375816,0,29812622.9499374,28851034.1757862,2938843.04184641,66698640.0000005,0,888337.990164999,771418.02609054,2853245.67169555,0,4.65661287307739E-10,0,0,1292531775.69007,823103033.838607,56247978.6081701,0,0,2.115,8564910.0233734,239422015.506714,0,1.96290571962567,1.39792480421709,0.110031296206904,0,0.0100452543396973,0.280803304847869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717600,0,0,0,0,0,0,170737.990164999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HP39,2426336017.63196,3.77148065734599,0,29773798.6783828,28813610.9258265,3160917.08748971,66698640.0000005,0,887181.128676484,770417.404433864,3068851.54125215,0,0,0,0,1290848542.22428,822035370.530932,60498364.2160132,0,0,2.115,7202611.71506155,244872462.33664,0,1.96034947407751,1.39611152816416,0.118345825002117,0,0.00844749873500476,0.287195797532811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143581.128676484,0,0,0,0,0,0,743600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HL34,2414223411.30119,3.77246825170575,0,30286440.2471952,29307753.1930537,3167533.89437187,66698640.0000005,0,902456.503194136,783629.764520152,3075275.62560376,0,0,0,0,1313074212.14747,836132958.743002,60625006.5737923,0,0,2.115,9594407.05886838,196192024.80272,0,1.99410252791748,1.42005430012721,0.118593560531926,0,0.0112526878720157,0.230101516908556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728000,0,0,0,174456.503194136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HV35,2440644241.59091,3.77467846966391,0,29604273.9276495,28650203.6842473,2587853.4086277,66698640.0000005,0,882129.73562722,766048.226851532,2512479.03750262,0,0,0,0,1283498765.33761,817373458.050584,49530213.4536989,0,0,2.115,13469772.3190085,277308904.652415,0,1.9491877221112,1.38819392511394,0.0968901233887817,0,0.0157978645978773,0.325238498745981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717600,164529.73562722
100,HK34,2415778456.17505,3.77524972688538,0,30179564.3758877,29204734.0690249,3441303.44422789,66698640.0000005,0,899271.882475795,780875.242487298,3341071.30507562,0,0,0,0,1308440589.00228,833193883.733947,65864818.1474634,0,0,2.115,14852166.3597269,195577587.291302,0,1.9870656677448,1.41506269435283,0.128843586819043,0,0.0174191892467996,0.229380881074531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296071.882475796,603200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HJ34,2418254594.79557,3.77815383704597,0,30179564.3758877,29204734.0690249,3441303.44422789,66698640.0000005,0,899271.882475794,780875.242487297,3341071.30507562,0,1.37026371939502E-10,-1.30175053342526E-10,0,1308440589.00228,833193883.733946,65864818.1474633,0,-2.55143104551352E-08,2.115,17460697.2484002,195645659.301454,0,1.9870656677448,1.41506269435283,0.128843586819043,0,0.0204785741274548,0.22946071853383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551200,348071.882475794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HS34,2433895534.03104,3.77872930831899,0,29817265.7990885,28855509.4820148,2967670.41315818,66698640.0000005,0,888476.334895366,771537.686684887,2881233.41083319,0,0,0,0,1292733067.27276,823230711.692775,56799720.0049665,0,0,2.115,13588577.9121331,249138745.001808,0,1.9632114114519,1.39814164710547,0.111110602922679,0,0.0159372043453654,0.292199457155585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613600,0,0,0,274876.334895366,0,0,0
100,HO40,2434977052.64108,3.78179287333356,0,29881631.6095324,28917552.5730157,2960993.48018766,66698640.0000005,0,890394.267268546,773196.592861382,2874750.9516385,0,0,-3.81842255592346E-11,0,1295523658.87573,825000764.583095,56671926.8640787,0,-7.48410820960998E-09,2.115,9414765.9209098,247514096.719056,0,1.96744934843855,1.40114783313374,0.110860616251403,0,0.011041997868765,0.290294007458127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146794.267268546,743600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
