cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe,pv_capacity_DN40[kW],pv_capacity_DN41[kW],pv_capacity_DN43[kW],pv_capacity_DN44[kW],pv_capacity_DN45[kW],pv_capacity_DN46[kW],pv_capacity_DN47[kW],pv_capacity_DN48[kW],pv_capacity_DN49[kW],pv_capacity_DN50[kW],pv_capacity_DN51[kW],pv_capacity_DN52[kW],pv_capacity_DO40[kW],pv_capacity_DO41[kW],pv_capacity_DO42[kW],pv_capacity_DO43[kW],pv_capacity_DO44[kW],pv_capacity_DO45[kW],pv_capacity_DO46[kW],pv_capacity_DO47[kW],pv_capacity_DO48[kW],pv_capacity_DO49[kW],pv_capacity_DO50[kW],pv_capacity_DO51[kW],pv_capacity_DO52[kW],pv_capacity_DP40[kW],pv_capacity_DP41[kW],pv_capacity_DP42[kW],pv_capacity_DP43[kW],pv_capacity_DP44[kW],pv_capacity_DP45[kW],pv_capacity_DP46[kW],pv_capacity_DP47[kW],pv_capacity_DP48[kW],pv_capacity_DP49[kW],pv_capacity_DP50[kW],pv_capacity_DP51[kW],pv_capacity_DP52[kW],pv_capacity_DQ40[kW],pv_capacity_DQ41[kW],pv_capacity_DQ42[kW],pv_capacity_DQ43[kW],pv_capacity_DQ44[kW],pv_capacity_DQ45[kW],pv_capacity_DQ46[kW],pv_capacity_DQ47[kW],pv_capacity_DQ48[kW],pv_capacity_DQ49[kW],pv_capacity_DQ50[kW],pv_capacity_DQ51[kW],pv_capacity_DQ52[kW],pv_capacity_DR40[kW],pv_capacity_DR41[kW],pv_capacity_DR42[kW],pv_capacity_DR43[kW],pv_capacity_DR44[kW],pv_capacity_DR45[kW],pv_capacity_DR46[kW],pv_capacity_DR47[kW],pv_capacity_DR48[kW],pv_capacity_DR49[kW],pv_capacity_DR50[kW],pv_capacity_DR51[kW],pv_capacity_DR52[kW],pv_capacity_DS43[kW],pv_capacity_DS44[kW],pv_capacity_DS45[kW],pv_capacity_DS46[kW],pv_capacity_DS47[kW],pv_capacity_DS48[kW],pv_capacity_DS49[kW],pv_capacity_DS50[kW],pv_capacity_DS51[kW],pv_capacity_DS52[kW],pv_capacity_DT47[kW],pv_capacity_DT48[kW],pv_capacity_DT49[kW],pv_capacity_DT50[kW],pv_capacity_DT51[kW],pv_capacity_DT52[kW],pv_capacity_DU46[kW],pv_capacity_DU47[kW],pv_capacity_DU50[kW],pv_capacity_DU51[kW],pv_capacity_DU52[kW],pv_capacity_DV44[kW],pv_capacity_DV45[kW],pv_capacity_DV46[kW],pv_capacity_DV47[kW],pv_capacity_DV48[kW],pv_capacity_DV49[kW],pv_capacity_DV50[kW],pv_capacity_DV51[kW],pv_capacity_DV52[kW],pv_capacity_DW44[kW],pv_capacity_DW45[kW],pv_capacity_DW46[kW],pv_capacity_DW47[kW],pv_capacity_DW50[kW],pv_capacity_DW51[kW],pv_capacity_DW52[kW],pv_capacity_DN53[kW],pv_capacity_DN54[kW],pv_capacity_DN55[kW],pv_capacity_DO53[kW],pv_capacity_DO54[kW],pv_capacity_DO55[kW],pv_capacity_DP53[kW],pv_capacity_DP54[kW],pv_capacity_DP55[kW],pv_capacity_DQ53[kW],pv_capacity_DQ54[kW],pv_capacity_DQ55[kW],pv_capacity_DR53[kW],pv_capacity_DR54[kW],pv_capacity_DR55[kW],pv_capacity_DS53[kW],pv_capacity_DS54[kW],pv_capacity_DS55[kW],pv_capacity_DT53[kW],pv_capacity_DT54[kW],pv_capacity_DT55[kW],pv_capacity_DU53[kW],pv_capacity_DU54[kW],pv_capacity_DU55[kW],pv_capacity_DV53[kW],pv_capacity_DV54[kW],pv_capacity_DV55[kW],pv_capacity_DW53[kW],pv_capacity_DW54[kW],pv_capacity_DW55[kW],wind_capacity_DN40[kW],wind_capacity_DN41[kW],wind_capacity_DN43[kW],wind_capacity_DN44[kW],wind_capacity_DN45[kW],wind_capacity_DN46[kW],wind_capacity_DN47[kW],wind_capacity_DN48[kW],wind_capacity_DN49[kW],wind_capacity_DN50[kW],wind_capacity_DN51[kW],wind_capacity_DN52[kW],wind_capacity_DO40[kW],wind_capacity_DO41[kW],wind_capacity_DO42[kW],wind_capacity_DO43[kW],wind_capacity_DO44[kW],wind_capacity_DO45[kW],wind_capacity_DO46[kW],wind_capacity_DO47[kW],wind_capacity_DO48[kW],wind_capacity_DO49[kW],wind_capacity_DO50[kW],wind_capacity_DO51[kW],wind_capacity_DO52[kW],wind_capacity_DP40[kW],wind_capacity_DP41[kW],wind_capacity_DP42[kW],wind_capacity_DP43[kW],wind_capacity_DP44[kW],wind_capacity_DP45[kW],wind_capacity_DP46[kW],wind_capacity_DP47[kW],wind_capacity_DP48[kW],wind_capacity_DP49[kW],wind_capacity_DP50[kW],wind_capacity_DP51[kW],wind_capacity_DP52[kW],wind_capacity_DQ40[kW],wind_capacity_DQ41[kW],wind_capacity_DQ42[kW],wind_capacity_DQ43[kW],wind_capacity_DQ44[kW],wind_capacity_DQ45[kW],wind_capacity_DQ46[kW],wind_capacity_DQ47[kW],wind_capacity_DQ48[kW],wind_capacity_DQ49[kW],wind_capacity_DQ50[kW],wind_capacity_DQ51[kW],wind_capacity_DQ52[kW],wind_capacity_DR40[kW],wind_capacity_DR41[kW],wind_capacity_DR42[kW],wind_capacity_DR43[kW],wind_capacity_DR44[kW],wind_capacity_DR45[kW],wind_capacity_DR46[kW],wind_capacity_DR47[kW],wind_capacity_DR48[kW],wind_capacity_DR49[kW],wind_capacity_DR50[kW],wind_capacity_DR51[kW],wind_capacity_DR52[kW],wind_capacity_DS43[kW],wind_capacity_DS44[kW],wind_capacity_DS45[kW],wind_capacity_DS46[kW],wind_capacity_DS47[kW],wind_capacity_DS48[kW],wind_capacity_DS49[kW],wind_capacity_DS50[kW],wind_capacity_DS51[kW],wind_capacity_DS52[kW],wind_capacity_DT47[kW],wind_capacity_DT48[kW],wind_capacity_DT49[kW],wind_capacity_DT50[kW],wind_capacity_DT51[kW],wind_capacity_DT52[kW],wind_capacity_DU46[kW],wind_capacity_DU47[kW],wind_capacity_DU50[kW],wind_capacity_DU51[kW],wind_capacity_DU52[kW],wind_capacity_DV44[kW],wind_capacity_DV45[kW],wind_capacity_DV46[kW],wind_capacity_DV47[kW],wind_capacity_DV48[kW],wind_capacity_DV49[kW],wind_capacity_DV50[kW],wind_capacity_DV51[kW],wind_capacity_DV52[kW],wind_capacity_DW44[kW],wind_capacity_DW45[kW],wind_capacity_DW46[kW],wind_capacity_DW47[kW],wind_capacity_DW50[kW],wind_capacity_DW51[kW],wind_capacity_DW52[kW],wind_capacity_DN53[kW],wind_capacity_DN54[kW],wind_capacity_DN55[kW],wind_capacity_DO53[kW],wind_capacity_DO54[kW],wind_capacity_DO55[kW],wind_capacity_DP53[kW],wind_capacity_DP54[kW],wind_capacity_DP55[kW],wind_capacity_DQ53[kW],wind_capacity_DQ54[kW],wind_capacity_DQ55[kW],wind_capacity_DR53[kW],wind_capacity_DR54[kW],wind_capacity_DR55[kW],wind_capacity_DS53[kW],wind_capacity_DS54[kW],wind_capacity_DS55[kW],wind_capacity_DT53[kW],wind_capacity_DT54[kW],wind_capacity_DT55[kW],wind_capacity_DU53[kW],wind_capacity_DU54[kW],wind_capacity_DU55[kW],wind_capacity_DV53[kW],wind_capacity_DV54[kW],wind_capacity_DV55[kW],wind_capacity_DW53[kW],wind_capacity_DW54[kW],wind_capacity_DW55[kW]
100,DR48,2513259016.27863,3.74821829109834,0,18511983.9034066,32223789.739541,2661283.93555258,66698640.0000005,0,992599.67310491,861598.65613746,2583770.81121609,0,0,-3.15984444958823E-11,0,1444232524.36764,919325766.098669,114080567.058399,0,-6.19329512119293E-09,2.115,13246129.7494631,21011716.2177211,1.97139783689914,1.56134558949663,0.173698178978256,0,0.0155355680312891,0.0246433451074853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748800,243799.67310491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,DR47,2516257623.46581,3.75370337971222,0,18573284.9388797,32330118.0984466,2624931.29253844,66698640.0000005,0,995886.591897033,864441.660386274,2548476.98304703,0,2.78906130011145E-10,3.08883947651748E-11,0,1449014991.21018,922359251.632154,112522247.754802,0,6.05412537397426E-09,2.115,14943562.405309,17450044.1864667,1.97792597182848,1.56649753827602,0.171325494196956,0,0.017526382027694,0.0204660798086205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92014319578228E-11,0,0,-1.48905900169484E-10,-8.88434642737742E-11,-2.81461439383072E-10,0,0,0,0,0,0,0,0,0,0,1.13677692159411E-10,0,1.62371786220126E-10,5.13423176149108E-10,0,0,0,0,0,0,0,0,0,0,2.27310763143286E-10,0,-4.79569449390667E-10,0,0,0,0,0,0,0,0,-7.74650798434981E-10,0,9.60767627179084E-11,0,0,0,0,0,0,0,0,0,-5.62377039796816E-11,743600,252286.591897034,1.73460714636136E-11,1.74578360125153E-10,-2.60276119962548E-10,2.67359749263392E-11,0,0,0,0,0,0,0,0,-3.78530158603436E-10,3.12906289781964E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35312673280187E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32587640493309E-11,0,0,-2.81324935980403E-10,0,0,1.99810426821415E-10,0,0,0,0,0,0,0,0,0,0,0
100,DR49,2519915807.87045,3.75698418473054,0,18539101.899598,32270826.6616679,2651063.24083562,66698640.0000005,0,994053.72115807,862856.327852082,2573847.80663652,0,-1.52917909502083E-10,4.99259434752054E-12,0,1446348164.28499,920667701.818172,113642439.193324,0,9.78548492114027E-10,2.115,13325131.1235372,24806936.9458226,1.97428571533031,1.56362467868819,0.173031088918262,0,0.0156282238669715,0.0290945252582435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245253.72115807,748800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,DS49,2525444349.99373,3.76483496017685,42881.4578352202,18588598.3393382,32356679.6194299,2563988.72390954,66698640.0000005,3376.49274293072,996707.685755398,865151.861482084,2489309.44068887,0,0,-2.16199883392879E-10,3790788.40248832,1450209682.7741,923117036.201384,109909838.498389,0,-4.23751771450043E-08,2.115,13501663.638647,22383071.5411939,1.97955674272246,1.56778452884953,0.167347860299392,0,0.0158352679583473,0.0262517231262606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3376.49274293072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248502.864137202,0,0,0,0,0,0,0,0,0,748204.821618195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,DQ48,2527149104.88795,3.76628603208316,122381.000710906,18561298.5743515,32309327.4142488,2522568.29316415,66698640.0000005,9636.29926857527,995243.89138614,863885.759739273,2449095.43025646,0,0,0,10818673.1888295,1448079861.96683,921766105.641804,108134279.654738,0,0,2.115,13482083.9611007,24556434.4776254,1.97664950717584,1.56549016318645,0.164644408293819,0,0.0158123041630119,0.0288007263743212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9636.29926857527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747101.398095031,0,0,0,0,0,0,0,0,0,0,0,0,248142.49329111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,DN48,2532379647.21399,3.77083868267553,0,18408048.4592612,32043510.8074999,2958503.45798405,66698640.0000005,0,987026.727038136,856778.363836895,2872333.45435345,0,0,0,0,1436123887.84049,914182514.213967,126821399.108238,0,0,2.115,14110761.6355603,36639397.9909353,1.9603294332729,1.55261049912717,0.193097270188873,0,0.0165496414053649,0.0429720885179103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748800,238226.727038136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,DR55,2544704583.6249,3.77150085661256,1033173.03840258,17927912.0112431,31210700.7224081,2318303.72613437,66698640.0000005,81352.2077482343,961282.145374965,834510.71450289,2250780.31663531,0,-1.38243194669485E-10,0,91334123.6389426,1398665521.52057,890422932.374583,99378123.5282186,0,0,2.115,12323709.0276068,53194056.7692323,1.90919823307425,1.51225818911781,0.151312353472886,0,0.0144537176984815,0.0623880260445252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81352.2077482343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69467.6152996234,734459.94982065,0,0,157354.580254692,0,0,0,0,0,0,0,0,0,0,0,0
100,DR54,2541185733.4432,3.77156546701457,734732.01999745,18099685.9756717,31508647.4634289,2426601.5666283,66698640.0000005,57852.9149604291,970492.545612422,842477.204904515,2355923.85109544,0,2.3283064365387E-10,0,64951467.6260738,1412066653.86607,898923177.633118,104020498.920675,0,0,2.115,12599071.985872,48537087.3521603,1.92749096840056,1.52669466085989,0.158380797929253,0,0.0147766739168138,0.0569261540436498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57852.9149604291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738602.198040874,231890.347571548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,DQ47,2528856318.20184,3.77160200528011,2.12963868762017E-08,18662758.610053,32485312.681176,2588522.47892471,66698640.0000005,1.67688085639384E-09,1000684.10777764,868591.248159786,2513128.62031525,0,0,0,1.88263413747336E-06,1455995376.81647,926786861.786492,110961520.600705,0,0,2.115,13967899.9761506,21578782.9012701,1.98745429697888,1.57401721176001,0.168949143241323,0,0.0163820877824728,0.025308422621233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67688085639384E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743600,0,0,0,0,0,0,0,0,0,0,0,0,257084.10777764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,DS50,2534352134.74475,3.77383552506889,245387.875021795,18452551.0505953,32120701.7956631,2637006.08915065,66698640.0000005,19321.879922976,989412.924964893,858842.294001686,2560200.08655403,0,0,0,21692674.5895252,1439595805.82392,916384727.6998,113039854.924121,0,0,2.115,13381019.468815,27295241.240924,1.96506865046054,1.55635064918064,0.172113598823845,0,0.0156937718577161,0.0320129037876902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19321.879922976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96290.1480509141,0,0,0,0,0,0,0,0,25096.2518581941,745394.109301713,122632.415754072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
