cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],pv_capacity_array[kW],wind_capacity_array[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],,,,,,,,,,
100,Burnie_new1,2447067312.04661,3.6559414394953,0,17058033.264072,29701871.7292305,5660371.87474158,66698640.0000005,0,914639.85330145,[0.0],[914639.8533014497],794167.693294934,5495506.67450639,0,0,0,0,1330800986.55361,847376928.745694,255617301.773838,0,0,2.115,0,40935779.8887802,,,,,,,,,,
100,Burnie_new1,2291240413.5957,3.38700517084628,0,15529028.894207,27049770.9261587,4093620.55712622,66698640.0000005,0,832655.704783217,[0.0],[832655.7047832169],723255.907116541,3974388.8904138,0,0,0,0,1211514050.45958,771714052.89335,184864221.72506,0,0,2.115,101304769.734829,40935779.8887802,,,,,,,,,,
100,Burnie_new1,2329441513.22029,3.32433131181053,0,13640635.1876934,23774299.2765893,2088878.09624113,66698640.0000005,0,731401.350546562,[0.0],[731401.3505465623],635676.451245702,2028036.98664187,0,0,0,0,1064188965.04525,678266773.479164,94331855.6645196,0,0,2.115,456431040.36739,40935779.8887802,,,,,,,,,,
100,Burnie_new1,2342545191.34846,3.37504179735584,0,14462393.4452563,25199661.9359556,2199019.86244629,66698640.0000005,0,775463.455509722,[0.0],[775463.455509722],673787.752298278,2134970.74023912,0,0,0,0,1128299327.76665,718931531.702263,99305758.7424433,0,0,2.115,351857257.044493,40935779.8887802,,,,,,,,,,
100,Burnie_new1,2316619139.73713,3.34823030922789,0,14512860.4066557,25287198.290654,2300836.68559481,66698640.0000005,0,778169.458801914,[0.0],[778169.4588019138],676128.296541551,2233822.02484933,0,0,0,0,1132236562.55678,721428892.409834,103903714.881075,0,0,2.115,318122842.505985,40935779.8887802,,,,,,,,,,
100,Burnie_new1,2362091824.84638,3.36233565505729,0,13638127.7578617,23769950.0694835,2076446.01471317,66698640.0000005,0,731266.903906795,[0.0],[731266.9039067945],635560.162285654,2015967.00457589,0,0,0,0,1063993345.18439,678142693.158793,93770434.0466593,0,0,2.115,487676541.637091,40935779.8887802,,,,,,,,,,
100,Burnie_new1,2327255164.09824,3.32381291126827,0,13698279.1435146,23874284.3286524,2067703.3938969,66698640.0000005,0,734492.179276923,"[0.0,0,0,0,0, 0.0]","[0.0,25607.8229336033,708884.35634332,0,0, 0.0]",638349.84835969,2007479.02320087,0,0,0,0,1068686120.84792,681119288.199789,93375625.1554874,0,0,2.115,445494876.249816,40935779.8887802
100,Burnie_new2,2521594293.64937,3.74334953640777,0,17058033.264072,29701871.7292305,5660371.87474161,66698640.0000005,0,914639.853301449,[0.0],[914639.853301449],794167.693294934,5495506.67450642,0,0,0,0,1330800986.55361,847376928.745694,255617301.77384,0,0,2.115,111279342.946584,4183418.54495377,,,,,,,,,,
100,Burnie_new2,2153183282.51704,3.22508648269785,0,15529028.894207,27049770.9261586,4093620.55712622,66698640.0000005,0,832655.704783217,[0.0],[832655.7047832169],723255.907116541,3974388.8904138,0,0,0,0,1211514050.45958,771714052.89335,184864221.72506,0,0,2.115,0,4183418.54495377,,,,,,,,,,
100,Burnie_new2,2211260350.16337,3.18572391980895,0,13640635.1876934,23774299.2765892,2088878.09624116,66698640.0000005,0,731401.350546562,[0.0],[731401.350546562],635676.451245702,2028036.98664191,0,0,0,0,1064188965.04525,678266773.479164,94331855.6645213,0,0,2.115,375002238.654295,4183418.54495377,,,,,,,,,,
