cf,candidate_locations,lat,long,capex[USD],lcoh[USD/kg],fom[USD],hy[kg],pv_capacity[kW],wind_capacity[kW],pv_capacity_array[kW],wind_capacity_array[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD]
50,1,-41.2,146.07,1261679309,1.973428447,30634280.1,654857079.4,0,456093.7908,[0.],[456093.79078239],397327.9364,0,0,0,0,0,663616465.6,423948908.2, -   ,0,0,2.115,174113935.2
50,2,-41.09,145.85,1098383573,1.719886516,27896287.55,654857079.4,0,415329.6078,[0.],[415329.60777383],361816.0548,0,0,0,0,0,604304579.3,386057730.5, -   ,0,0,2.115,108021263.5
50,3,-40.98,144.75,980886526.4,1.535302055,24516893.17,654857079.4,0,365016.0116,[0.],[365016.0116419],317985.1636,0,0,0,0,0,531098296.9,339290169.5, -   ,0,0,2.115,110498059.9
50,4,-40.87,145.19,957367779,1.501637097,25989904.78,654857079.4,0,386946.7196,[0.],[386946.71958017],337090.1878,0,0,0,0,0,563007477,359675230.4, -   ,0,0,2.115,34685071.63
50,5,-40.87,145.3,941167996.7,1.477035927,26079436.47,654857079.4,0,388279.6985,[0.],[388279.69852987],338251.4178,0,0,0,0,0,564946961.4,360914262.8, -   ,0,0,2.115,15306772.54
50,6,-40.76,144.75,979226057.5,1.532759444,24512315.2,654857079.4,0,364947.8533,[-0.],[364947.85326004],317925.7871,0,0,3.41E-10,0,0,530999126.5,339226814.9, -   ,0,0,2.115,109000116.2
50,7,-40.65,144.97,975988540.4,1.528700229,25091627,654857079.4,0,373572.8484,[-0.],[373572.84835623],325439.4862,0,0,0,0,0,543548494.4,347243931.8, -   ,0,0,2.115,85196114.2
60,1,-41.2,146.07,1524347136,2.383961955,36807227.33,654857079.4,0,548324.9879,[0.],[548324.98789695],477325.4515,89878.34819,0,0,0,0,797812857.4,509306256.7," 46,377,227.66 ",0,0,2.115,209323221.2
60,2,-41.09,145.85,1319037154,2.065358119,33477231.34,654857079.4,0,498458.3241,[-0.],[498458.32409728],434193.5258,9709.522895,0,0,0,0,725256861.6,463284492," 5,010,113.81 ",0,0,2.115,129641848.2
60,3,-40.98,144.75,1177063832,1.842362466,29420271.8,654857079.4,0,438019.214,[0.],[438019.21397027],381582.1963,0,0,0,0,0,637317956.3,407148203.4, -   ,0,0,2.115,132597671.9
