cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe,pv_capacity_DJ55[kW],pv_capacity_DJ56[kW],pv_capacity_DK55[kW],pv_capacity_DK56[kW],pv_capacity_DK60[kW],pv_capacity_DK61[kW],pv_capacity_DL55[kW],pv_capacity_DM54[kW],pv_capacity_DM55[kW],pv_capacity_DN54[kW],pv_capacity_DN55[kW],pv_capacity_EJ33[kW],pv_capacity_EJ34[kW],pv_capacity_EJ35[kW],pv_capacity_EJ36[kW],pv_capacity_EJ37[kW],pv_capacity_EK33[kW],pv_capacity_EK34[kW],pv_capacity_EK35[kW],pv_capacity_EK36[kW],pv_capacity_EL35[kW],pv_capacity_EL36[kW],pv_capacity_EL40[kW],pv_capacity_EM39[kW],pv_capacity_EM40[kW],pv_capacity_EM41[kW],pv_capacity_EM42[kW],pv_capacity_EM43[kW],pv_capacity_EN39[kW],pv_capacity_EN40[kW],pv_capacity_EN41[kW],wind_capacity_DJ55[kW],wind_capacity_DJ56[kW],wind_capacity_DK55[kW],wind_capacity_DK56[kW],wind_capacity_DK60[kW],wind_capacity_DK61[kW],wind_capacity_DL55[kW],wind_capacity_DM54[kW],wind_capacity_DM55[kW],wind_capacity_DN54[kW],wind_capacity_DN55[kW],wind_capacity_EJ33[kW],wind_capacity_EJ34[kW],wind_capacity_EJ35[kW],wind_capacity_EJ36[kW],wind_capacity_EJ37[kW],wind_capacity_EK33[kW],wind_capacity_EK34[kW],wind_capacity_EK35[kW],wind_capacity_EK36[kW],wind_capacity_EL35[kW],wind_capacity_EL36[kW],wind_capacity_EL40[kW],wind_capacity_EM39[kW],wind_capacity_EM40[kW],wind_capacity_EM41[kW],wind_capacity_EM42[kW],wind_capacity_EM43[kW],wind_capacity_EN39[kW],wind_capacity_EN40[kW],wind_capacity_EN41[kW]
100,DJ55,2654365035.84572,3.838281033363356,5238733.586188749,14885469.85430544,25933499.78908024,2308155.941942585,66698640.00000054,412498.7075739173,798148.5176571282,693409.0852695253,2240928.098973383,0.0,2.211891114711762e-10,0.0,463112298.99323696,1161306093.1911216,739867493.9825835,43640923.81518111,0.0,0.0,2.115,11119722.86784216,233916772.0215707,1.5851992539062747,1.256560939702465,0.08578948823778157,0.0,0.013041636641785505,0.27434654454807467,412498.7075739173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582488.3634106993,46800.0,168860.1542464289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DJ56,2682441476.510451,3.873984979249522,4712031.235339439,15196812.28201528,26473531.92949361,2168560.545626012,66698640.00000054,371026.0815227905,814842.4816093983,707848.4473126634,2105398.587986419,0.0,0.0,0.0,416550981.7256369,1185595810.7416744,755274293.2826118,41001556.19495247,0.0,0.0,2.115,49384657.82776516,232875087.610759,1.6183550621505305,1.2827272226702997,0.08060100968105544,0.0,0.05792021714239035,0.2731248171954527,0.0,265500.0,0.0,105526.0815227905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396643.6891998562,0.0,0.0,418198.792409542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DK55,2660338551.194573,3.84109065056,5367958.320613579,14800292.44542244,25785757.19333991,2131960.356146418,66698640.00000054,422673.8835128802,793581.3643658144,689458.7484850243,2069864.423443124,0.0,0.0,0.0,474535969.01991063,1154660885.1522598,735652484.633521,40309546.59036923,0.0,0.0,2.115,20582451.05599787,232598732.5177068,1.5761284508793918,1.2494023388021835,0.0792406546600608,0.0,0.024139886493569476,0.27280069736346324,0.0,0.0,422673.8835128802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160823.5865302685,0.0,419494.7730756957,213263.0047598501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DK56,2667962958.540831,3.849943827871512,5363138.200717961,14802382.02044497,25789381.61960354,2125128.996101273,66698640.00000054,422294.3465132253,793693.4059219826,689555.6582781695,2063232.03504978,0.0,0.0,0.0,474109862.830398,1154823905.6164846,735755887.3828068,40180384.232719645,0.0,0.0,2.115,29377180.90609308,231764923.6493318,1.5763509761203904,1.2495779538371288,0.07898674682324984,0.0,0.03445468232353643,0.27182277440447544,0.0,0.0,0.0,422294.3465132253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247951.282900103,46800.0,136580.4485089566,362361.674512923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DK60,2826618014.210994,4.0348118149214,5480059.10771527,14720364.25757502,25647119.51815986,2151866.936320304,66698640.00000054,431500.7171429347,789295.6706474543,685751.8587743279,2089191.200310975,0.0,0.0,0.0,484445855.1363728,1148425200.792046,731697233.3122078,40685925.643882506,0.0,0.0,2.115,189420825.5585931,230092966.5734429,1.5676166534701113,1.2426849003993745,0.07998054198511076,0.0,0.22215999523390945,0.26986183914344797,0.0,0.0,0.0,0.0,431500.7171429347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267356.8140082428,46800.0,0.0,436800.0,7138.856639211497,31200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DK61,2884892133.61825,4.105834853499614,5246066.311550309,14865348.84500006,25898599.3362175,2167942.290897266,66698640.00000054,413076.0875236464,797069.6431635421,692475.9180806819,2104798.340676957,0.0,0.0,0.0,463760523.4627979,1159736330.8029537,738871804.5920876,40989866.68688013,0.0,0.0,2.115,249825570.7001534,229991545.7279221,1.5830565060285848,1.2548699012309157,0.08057803040317567,0.0,0.29300499262625546,0.2697428888934367,0.0,0.0,0.0,0.0,236076.0875236464,177000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271883.0552016087,46800.0,0.0,436800.0,41586.58796193351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DL55,2670232813.166233,3.858417458233284,5303789.625582414,14929527.85696625,26009919.62576703,2224410.071380863,66698640.00000054,417621.23036082,800510.8770491285,695452.3964108833,2159621.42852511,0.0,0.0,0.0,468863355.32609266,1164743326.106482,742047706.9704125,42057518.16627846,0.0,0.0,2.115,19522879.97356071,231431191.9334775,1.5898911254850752,1.2602637250025615,0.08267682360062928,0.0,0.022897180967764375,0.2714313610728897,0.0,0.0,0.0,0.0,0.0,0.0,417621.23036082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359325.4668076459,0.0,0.0,0.0,441185.4102414826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DM54,2709474192.21028,3.905461351597113,5800879.624478652,14766581.07220226,25727283.87452408,2240942.015424217,66698640.00000054,456762.1751557994,791773.7840322927,687895.2907626758,2175671.859635162,0.0,0.0,1.383392636025424e-10,512806894.04741603,1152030855.766986,733984275.2437751,42370092.068848334,0.0,2.711449566609831e-08,2.115,35553563.22224094,231128275.6466363,1.5725384235440218,1.2465691196440936,0.08329128252573179,0.0,0.04169857993549023,0.2710760892560636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456762.1751557994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440687.7945682301,351085.9894640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DM55,2683182110.874113,3.873651125024215,5726414.882031135,14784159.09392541,25757773.44436913,2202383.553697865,66698640.00000054,450898.8096087509,792716.3053043114,688710.519902918,2138236.45990084,0.0,0.0,0.0,506224093.5477447,1153402224.2177732,734854124.7364135,41641056.88537019,0.0,0.0,2.115,14897665.74170396,230590243.7758816,1.5744103608891926,1.2480464367377069,0.08185814248582796,0.0,0.01747255266369619,0.270445064882212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450898.8096087509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274196.7734387353,0.0,518519.5318655761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DN54,2709033295.509443,3.916017368585713,5249949.116528998,15175760.04464056,26437016.23552416,2411523.068869133,66698640.00000054,413381.8201991337,813713.6753158476,706872.0918589348,2341284.532882653,0.0,0.0,0.0,464103769.53756744,1183953397.5845582,754232522.0134835,45595313.82376912,0.0,0.0,2.115,29678158.31944766,230380234.4687062,1.6161131449449535,1.2809579206053519,0.08963143529105347,0.0,0.034807680155317516,0.27019875792761194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413381.8201991337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234936.3953522396,209644.5838631163,369132.6961004917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
