cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe
100,User,2655041644.484324,3.692775588554792,0.0,14054681.04810873,24553233.9687698,0.0,66698640.00000054,0.0,753602.2009709778,656503.5820526684,0.0,1183674.253133408,0.0,0.0,0.0,1096491202.4127727,700489322.0501972,0.0,610775914.6168386,0.0,2.115,247285205.4045159,0.0,1.496726010627643,1.189682649833591,0.0,0.7163413731310704,0.2900255549624879,0.0
100,User,2754895185.063886,3.820253136237067,0.0,14306362.71578155,24992916.58062475,0.0,66698640.00000054,0.0,767097.1965566514,668259.8016209827,0.0,1403191.65333368,0.0,0.0,0.0,1116126420.9899278,713033208.3295885,0.0,724046893.1201789,0.0,2.115,201688662.6241901,0.0,1.5235283618951398,1.2109866774587374,0.0,0.8491899127266196,0.23654818415657022,0.0
100,User,2795047104.26856,3.879337645613789,0.0,14597556.61413866,25501626.23345621,0.0,66698640.00000054,0.0,782710.8104095797,681861.6639961555,0.0,1495899.40799506,0.0,0.0,0.0,1138844229.1459384,727546395.4838979,0.0,771884094.525451,0.0,2.115,156772385.1132722,0.0,1.5545384915676166,1.2356352858068778,0.0,0.9052952137401632,0.18386865449913128,0.0
100,User,2635224053.108119,3.69133939963974,0.0,14584162.06666044,25478226.23903351,0.0,66698640.00000054,0.0,781992.6041104795,681235.9956960833,0.0,1022715.799437252,0.0,-4.910775387442478e-11,0.0,1137799238.9807477,726878807.4077209,0.0,527721352.50962204,-9.625119759387257e-09,2.115,242824654.2100277,0.0,1.5531120652017234,1.234501481298425,0.0,0.6189318033676542,0.28479404977193756,0.0
100,User,2707613556.566142,3.769030260984266,0.0,14409090.29512118,25172379.51414402,0.0,66698640.00000054,0.0,772605.3777544867,673058.2757792519,0.0,1306879.623486095,0.0,0.0,0.0,1124140824.6327782,718153180.2564619,0.0,674349885.7188251,0.0,2.115,190969665.958077,0.0,1.53446813630056,1.2196822300921573,0.0,0.7909033600475998,0.22397653454394956,0.0
100,User,2735744086.062082,3.806398834816863,0.0,14515343.03287715,25358000.8257209,0.0,66698640.00000054,0.0,778302.5754893912,678021.4124524306,0.0,1434378.312280867,0.0,0.0,0.0,1132430247.3370643,723448847.0867435,0.0,740139209.1369274,0.0,2.115,139725782.5013473,0.0,1.545783315617358,1.2286761758226163,0.0,0.8680635969640348,0.16387574641285468,0.0
100,User,2732381763.404861,3.838092032527176,0.0,15380626.88467822,26869633.62549397,0.0,66698640.00000054,0.0,824698.4924760439,718439.4017511756,0.0,1300205.57990397,0.0,0.0,0.0,1199936306.5526438,766574841.6685044,0.0,670906079.2304485,0.0,2.115,94964535.95326522,0.0,1.6379300419026201,1.3019196156520416,0.0,0.7868643319693088,0.11137804300320632,0.0
100,User,2748211259.138416,3.862469269355246,0.0,15521741.55205837,27116157.99931291,0.0,66698640.00000054,0.0,832264.9625768563,725030.9625484735,0.0,1384419.723920543,0.0,0.0,0.0,1210945520.549326,773608037.0392212,0.0,714360577.5430002,0.0,2.115,49297124.00686797,0.0,1.6529577748284672,1.3138645093742505,0.0,0.8378294310260763,0.05781755412645227,0.0
100,User,2778013452.765236,3.850607961200692,0.0,14385052.54998055,25130386.0759081,0.0,66698640.00000054,0.0,771316.4906155794,671935.456575083,0.0,1257457.822067971,0.0,0.0,0.0,1122265493.845668,716955132.1656135,0.0,648848236.1870731,0.0,2.115,289944590.5668823,0.0,1.5319082832334103,1.2176475138124334,0.0,0.7609940492750187,0.3400581148798306,0.0
100,User,2708297591.42954,3.786335759642838,0.0,14809800.8155642,25872412.41624314,0.0,66698640.00000054,0.0,794091.1965449974,691775.7330546295,0.0,1106689.265912316,0.0,0.0,0.0,1155402690.9729712,738124707.1692897,0.0,571051661.2107551,0.0,2.115,243718532.0765239,0.0,1.57714102632391,1.253601061273389,0.0,0.6697512480941787,0.2858424239513599,0.0
