cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD]
100,User,2021994101.344315,2.948443218334175,0.0,13330321.24168687,23236051.06642822,1916817.679257261,66698640.00000054,0.0,714762.5330663203,621284.7878724122,1860988.038113846,0.0,0.0,0.0,0.0,1039979485.6114961,662910868.6598638,77193783.82096232,0.0,0.0,2.115,234540450.6210618,0.0
100,User,2019219163.540861,2.95864381114946,0.0,13623285.49908831,23744205.75691761,2013138.67694701,66698640.00000054,0.0,730471.0723371749,634871.8116822891,1954503.569851466,0.0,0.0,0.0,0.0,1062835410.2505895,677408223.0650024,81072808.0774388,0.0,0.0,2.115,192058756.473975,0.0
100,User,2024802071.36159,2.980781562381744,0.0,13961808.92324743,24331384.09516545,2127262.257494524,66698640.00000054,0.0,748622.4623725163,650571.7672504132,2065303.162616042,0.0,0.0,0.0,0.0,1089245682.7520113,694160075.6561909,85668775.18531342,0.0,0.0,2.115,149944688.9127492,0.0
100,User,2060552792.943747,3.008679135544312,0.0,13638127.75786171,23769950.06948344,2076446.014713229,66698640.00000054,0.0,731266.903906794,635560.1622856536,2015967.00457595,0.0,0.0,0.0,0.0,1063993345.1843853,678142693.1587924,83622311.3498104,0.0,0.0,2.115,227073289.6232326,0.0
100,User,2055631041.159121,3.01502156151743,0.0,13901616.44162639,24226978.55389148,2163972.523214824,66698640.00000054,0.0,745394.9834652221,647780.1752377402,2100944.197295946,0.0,0.0,0.0,0.0,1084549700.941898,691181446.9786687,87147165.30383584,0.0,0.0,2.115,184243903.9356701,0.0
100,User,2053043694.248199,3.026110030391077,0.0,14210101.49907043,24762054.50573799,2262396.965196926,66698640.00000054,0.0,761935.7372155729,662087.0188699998,2196501.907958181,0.0,0.0,0.0,0.0,1108616497.6486585,706446849.1342897,91110899.14210534,0.0,0.0,2.115,136787504.5656173,0.0
100,User,2082097723.193204,3.08393251135361,0.0,14629942.91803001,25490281.17816,2698208.38023009,66698640.00000054,0.0,784447.3414493303,681558.3202716578,2619619.786631155,0.0,0.0,0.0,0.0,1141370881.8087757,727222727.7298589,108661828.7494603,0.0,0.0,2.115,90329591.28717238,0.0
100,User,2062172560.162156,3.068738018167039,0.0,14763722.22138054,25722325.11789162,2877613.21987777,66698640.00000054,0.0,791620.494443997,687762.7036869419,2793799.242599776,0.0,0.0,0.0,0.0,1151807819.4160156,733842804.833967,115886792.5830387,0.0,0.0,2.115,46889651.05554362,0.0
100,User,2082301215.711533,3.02759139505876,0.0,13475373.34999811,23487648.00134963,2081616.740234328,66698640.00000054,0.0,722540.1260052605,628011.9786457121,2020987.126441095,0.0,1.980926925917457e-13,-4.704701449053961e-14,0.0,1051295883.337654,670088781.2149749,83830546.00477661,0.0,-9.221214840145763e-12,2.115,271609130.0414721,0.0
100,User,2092155287.33179,3.055567837464483,0.0,13873762.96952188,24178665.92824264,2087348.170436253,66698640.00000054,0.0,743901.4997062673,646488.3938032793,2026551.62178277,0.0,0.0,0.0,0.0,1082376682.072619,689803116.188099,84061361.27154928,0.0,0.0,2.115,228314559.2178374,0.0
100,User,2052263991.380947,3.011792218988252,0.0,13957814.84172813,24324456.24916735,2058296.927250819,66698640.00000054,0.0,748408.30250553,650386.5307263996,1998346.531311475,0.0,0.0,0.0,0.0,1088934080.1455462,693962428.2850684,82891414.11879997,0.0,0.0,2.115,178083013.4000243,0.0
100,User,2064997261.552741,3.043863301848988,0.0,14362352.40766452,25026137.96089938,2095093.32207112,66698640.00000054,0.0,770099.3248077492,669148.0738208389,2034071.186476815,0.0,0.0,0.0,0.0,1120494517.5952752,713980994.7668351,84373272.81505828,0.0,0.0,2.115,130181017.5617295,0.0
100,User,2026895587.20408,3.004835858565806,0.0,14462393.44525632,25199661.93595563,2199019.862446264,66698640.00000054,0.0,775463.4555097226,673787.7522982787,2134970.740239092,0.0,0.0,0.0,0.0,1128299327.7666464,718931531.7022634,88558586.30511753,0.0,0.0,2.115,77143432.78888875,0.0
100,User,1981769701.158144,2.955506069644349,0.0,14512860.4066557,25287198.290654,2300836.685594839,66698640.00000054,0.0,778169.4588019142,676128.2965415508,2233822.024849358,0.0,0.0,0.0,0.0,1132236562.556785,721428892.4098346,92658937.59075136,0.0,0.0,2.115,24209183.81578026,0.0
100,User,1987033163.904847,2.963632793809359,0.0,14585133.01066603,25412557.1417558,2233503.26283684,66698640.00000054,0.0,782044.6654512618,679480.1374801015,2168449.769744504,0.0,0.0,0.0,0.0,1137874988.231586,725005306.6912683,89947296.44900201,0.0,0.0,2.115,27201479.77671583,0.0
100,User,2114398988.536148,3.074401466941429,0.0,13625848.79161368,23748651.85942657,2281402.143425348,66698640.00000054,0.0,730608.5142956399,634990.6914285178,2214953.537306163,0.0,0.0,0.0,0.0,1063035388.3001561,677535067.7542285,91876272.72745964,0.0,0.0,2.115,278053941.528645,0.0
100,User,2060893117.66143,3.009367473481282,0.0,13640635.18769338,23774299.27658924,2088878.096241156,66698640.00000054,0.0,731401.350546562,635676.4512457018,2028036.986641899,0.0,0.0,0.0,0.0,1064188965.0452477,678266773.4791638,84122974.20590596,0.0,0.0,2.115,228818424.6973128,0.0
100,User,2054282680.773834,3.013811263850027,0.0,13957840.33218308,24324500.46307371,2034979.322973421,66698640.00000054,0.0,748409.6692859563,650387.7129164095,1975708.080556719,0.0,0.0,0.0,0.0,1088936068.8110664,693963689.681809,81952371.1814927,0.0,0.0,2.115,183997353.8779345,0.0
100,User,2068647508.284269,3.04947419882982,0.0,14320348.68746733,24953281.33454662,2298646.043950167,66698640.00000054,0.0,767847.1146095082,667200.0356830647,2231695.188301133,0.0,0.0,0.0,0.0,1117217551.7568345,711902438.07383,92570716.41073099,0.0,0.0,2.115,136914173.6955181,0.0
