country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-40.82826708,145.384187,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13.1,-163,52.5,9.4,0,0,0,0,0,1001.7,278.162750244141,6.43891503715086,114,,
2015,1,1,1,0,13.2,-149,76.2,9.7,0,0,0,0,0,1001.2,257.646484375,8.94392142208605,109,,
2015,1,1,2,0,13.3,-136,84.6,10,0,0,0,0,0,1000.8,242.3330078125,11.0304301727802,102,,
2015,1,1,3,0,13.5,-125,76,10.5,0,0,0,0,0,1000.8,251.844818115234,11.7919005865499,94,,
2015,1,1,4,0,13.7,-116,76.3,11.1,15,0,0,15,0,1001.3,276.3603515625,12.7598862994247,84,,
2015,1,1,5,0,13.9,-107,85.9,11.7,27,0,0,27,0,1001.8,290.382507324219,12.7755471099925,73,,
2015,1,1,6,0,14.3,-98,94.8,12.4,21,0,0,21,0,1002.4,302.251953125,13.4832729595371,62,,
2015,1,1,7,0,14.9,-88,91.4,13.1,59,0,0,59,0,1003,328.886077880859,13.092136639961,51,,
2015,1,1,8,0,15.5,-76,87.4,13.9,100,0,0,100,0,1003.6,359.300842285156,15.2928454621425,40,,
2015,1,1,9,0,16,-60,80.3,13.6,186,0,0,186,0,1003.9,10.8041687011719,14.9135112546648,29,,
2015,1,1,10,0,16.5,-33,58.6,12.5,421,3,3,424,0,1004,17.834228515625,14.620728174613,21,,
2015,1,1,11,0,16.9,7,33.3,11.4,540,169,160,700,0,1004.1,23.9657897949219,13.9752151191273,19,,
2015,1,1,12,0,17.2,43,23.7,10.3,512,292,266,779,0,1004.3,24.7971496582031,13.663318175697,23,,
2015,1,1,13,0,17.3,66,8.3,9.2,237,747,613,850,0,1004.6,22.0947570800781,13.9738667494904,33,,
2015,1,1,14,0,17.4,80,0,8.1,85,979,710,795,0,1004.9,19.3654479980469,14.4984462467205,43,,
