country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-40.991301,145.720596,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,11.3,-162,10.8,8.4,0,0,0,0,0,990.8,1.71865959966982,1.54709611984708,113,,
2015,1,1,1,0,11.4,-148,50.8,8.5,0,0,0,0,0,990.4,28.5715632345696,11.2604989595711,109,,
2015,1,1,2,0,11.6,-136,72,8.7,0,0,0,0,0,989.9,41.5807479512126,10.9240230887369,102,,
2015,1,1,3,0,11.9,-125,60.1,9.1,0,0,0,0,0,989.9,37.7065358750477,10.9604485089802,93,,
2015,1,1,4,0,12.2,-115,78.2,9.8,6,0,0,0,0,990.3,42.975009913338,10.9341735259177,84,,
2015,1,1,5,0,12.6,-106,94.3,10.5,12,132.02,0,21.94,0,990.7,49.1596422937126,9.74839730417262,73,,
2015,1,1,6,0,13.2,-97,77.3,11.4,111,36.72,0,98.88,0,991.2,52.9434718105904,7.67504071650438,62,,
2015,1,1,7,0,14,-88,82.5,12.3,99,54.54,0,218.64,0,991.7,38.5006537203454,7.0278463984353,51,,
2015,1,1,8,0,14.9,-76,89.8,13.2,83,158.03,0,431.16,0,992.3,47.7327254322399,6.24987013325413,40,,
2015,1,1,9,0,15.7,-59,63.5,13,350,142.33,0,544.97,0,992.6,58.1116735669078,5.3545057140723,29,,
2015,1,1,10,0,16.6,-32,51.2,11.8,493,140.27,3,603.4,0,992.7,69.9261051360502,5.05722256357096,21,,
2015,1,1,11,0,17.4,8,36.1,10.5,538,199.02,135,728.93,0,992.8,66.9520772765251,4.11442093932365,19,,
2015,1,1,12,0,17.9,43,23.5,9,505,124.12,276,625.77,0,993,33.7721001034938,3.13622168458419,24,,
2015,1,1,13,0,18.1,66,13,7.3,321,160.81,486,278.09,0,993.4,3.76386753733334,3.70779854699483,33,,
2015,1,1,14,0,18.3,80,4.5,5.7,159,171.3,596,264.45,0,993.7,351.89280651645,3.39088944527878,44,,
2015,1,1,15,0,17.8,91,2.2,4.9,102,111.38,497,523.15,0,994.1,325.683104160771,0.791107315391617,55,,
2015,1,1,16,0,16.9,100,0.8,4.8,72,80.27,333,405.54,0,994.6,180.661851963829,6.80445169873915,66,,
2015,1,1,17,0,16,109,0.9,4.8,49,80.89,154,149.06,0,995.1,203.986625461284,11.1836128953006,77,,
2015,1,1,18,0,14.7,119,0.5,5,16,641.4,31,253.08,0,995.5,196.099978701475,10.7019376392485,87,,
2015,1,1,19,0,13.1,129,0.6,5.2,0,337.55,0,70.9,0,996,192.957459455135,11.8335187593956,97,,
2015,1,1,20,0,11.5,140,28.3,5.5,0,0,0,0,0,996.4,192.654053774048,12.6830649539483,105,,
2015,1,1,21,0,10.4,153,15.8,5.7,0,0,0,0,0,996.5,190.427378766099,12.1543273794531,111,,
2015,1,1,22,0,9.7,168,0,5.9,0,0,0,0,0,996.5,185.787294480238,10.837437095128,115,,
2015,1,1,23,0,9.1,-177,0,6.1,0,0,0,0,0,996.4,180.263778117294,10.0787066566724,115,,
2015,1,2,0,0,9,-162,0,6.4,0,0,0,0,0,996.3,191.390052539561,11.5561935761815,114,,
2015,1,2,1,0,9.2,-149,0,6.9,0,0,0,0,0,996.3,196.115459933693,13.0595858193437,109,,
2015,1,2,2,0,9.6,-136,0,7.4,0,0,0,0,0,996.3,200.974244654784,12.1324807437227,102,,
2015,1,2,3,0,10.5,-125,0.4,8.3,1,0,0,0,0,996.4,197.341293270239,10.9513813922776,93,,
2015,1,2,4,0,11.9,-115,22.7,9.6,50,0,0,0,0,996.7,199.686288685336,11.6828486313936,84,,
2015,1,2,5,0,13.4,-106,46.4,10.9,121,60.32,0,19.96,0,997.1,198.423669293593,12.2041152609252,73,,
2015,1,2,6,0,15.1,-97,39,11.6,264,18.87,11,86.28,0,997.1,196.359641418003,12.1974423933702,62,,
2015,1,2,7,0,16.9,-88,46.4,12,315,60.26,12,100.67,0,997,196.207101834418,12.7569736492717,51,,
2015,1,2,8,0,18.7,-76,26.4,12.3,309,63.4,292,219.55,0,996.8,188.911516887017,13.3936792390829,40,,
2015,1,2,9,0,19.7,-59,17,12.4,417,80.87,343,278.93,0,996.4,186.805550085051,13.8008400984303,29,,
2015,1,2,10,0,20.2,-32,46.4,12.2,422,203.03,104,661.63,0,995.9,183.775612157642,14.5818475640152,21,,
2015,1,2,11,0,20.7,7,37.6,12.1,499,202.78,128,745.66,0,995.4,182.770653859806,14.6923739316264,19,,
2015,1,2,12,0,20.9,43,41.8,12.1,495,115.36,71,644.4,0,994.9,187.642305623876,14.255420912947,24,,
2015,1,2,13,0,21,66,45.6,12.4,469,111.07,6,600.59,0,994.3,194.756699639118,13.51393978391,33,,
2015,1,2,14,0,21,80,17.6,12.6,284,102.22,312,481.4,0,993.8,180.860507370277,9.7084935404219,44,,
2015,1,2,15,0,20.6,91,5.1,12.8,169,68.28,368,355.98,0,993.2,199.681998227014,8.7357730951248,55,,
2015,1,2,16,0,19.8,100,17.7,13,183,39.36,128,282.35,0,992.7,197.320806412938,5.90015330945395,66,,
2015,1,2,17,0,19.1,109,28.6,13.2,118,19.62,11,195.74,0,992.2,205.909598456558,5.77774984869304,77,,
2015,1,2,18,0,18.6,119,62.2,13.3,27,39.09,0,62.42,0,991.8,206.603508060231,6.26778722099227,87,,
2015,1,2,19,0,18.4,129,58.9,13.3,0,0,0,18.47,0,991.5,207.449380830337,8.97118784189882,97,,
2015,1,2,20,0,18.2,140,17.6,13.4,0,0,0,0,0,991.2,256.069525469213,6.20324977978852,105,,
2015,1,2,21,0,18.2,153,32.4,13.4,0,0,0,0,0,990.7,280.884122647322,9.47341966896337,111,,
2015,1,2,22,0,18.5,167,18.1,13.6,0,0,0,0,0,990,292.033970345894,12.5174571493832,115,,
2015,1,2,23,0,18.8,-177,0,13.7,0,0,0,0,0,989.3,293.522852939635,11.4433324054045,116,,
2015,1,3,0,0,19.2,-162,0,13.5,0,0,0,0,0,988.7,315.052495366165,10.9594563621108,114,,
2015,1,3,1,0,19.7,-149,0,13.1,0,0,0,0,0,988.3,300.038212757581,9.3811697879565,109,,
2015,1,3,2,0,20.2,-136,0,12.6,0,0,0,0,0,987.8,302.558508740547,9.19056972218752,102,,
2015,1,3,3,0,20.6,-125,0.7,12.5,1,0,0,0,0,988,300.752037838872,7.87094848729788,94,,
2015,1,3,4,0,20.9,-115,35.3,12.6,34,0,0,0,0,988.5,306.057306084488,6.22466731235706,84,,
2015,1,3,5,0,21.3,-106,39.3,12.8,151,0,5,26.39,0,989,311.666491513899,4.4798897825413,73,,
2015,1,3,6,0,22.6,-97,11.8,13,162,101.99,237,44.23,0,989.3,279.325491028258,2.09204848910287,62,,
2015,1,3,7,0,24.6,-88,8.6,13.2,234,68.69,336,91.5,0,989.3,213.156334393291,4.25761908577053,51,,
2015,1,3,8,0,26.8,-76,47.4,13.4,276,56.12,124,319.47,0,989.3,203.65534670951,3.46231957368097,40,,
2015,1,3,9,0,27.9,-59,24.9,13.3,224,155.52,482,532.22,0,988.9,210.49331480867,1.06929625645023,30,,
2015,1,3,10,0,28.2,-32,0.5,13,207,135.85,775,271.8,0,988.4,94.2505350352782,0.920132197563387,22,,
2015,1,3,11,0,28.4,7,4.8,12.7,301,146.27,653,267.69,0,987.8,35.1113694329712,7.22120124237404,19,,
2015,1,3,12,0,28.5,42,2.7,12.6,255,132.93,680,208.41,0,987.2,3.06882526821812,8.13666841462211,24,,
2015,1,3,13,0,28.5,65,3.4,12.7,253,139,582,205.17,0,986.6,322.839504222894,4.36917707777584,33,,
2015,1,3,14,0,28.4,80,35.1,12.9,304,166.82,178,199.91,0,985.9,327.78582952341,7.38268120465919,43,,
2015,1,3,15,0,27.4,91,81,13.5,123,163.73,0,162.85,0,985.7,14.3582429208725,11.6088123519407,55,,
2015,1,3,16,0,25.7,100,98.2,14.4,10,81.44,0,166.2,0,985.6,26.6982612957022,15.310311553013,66,,
2015,1,3,17,0,23.8,109,89.1,15.4,11,96.32,0,93.72,0,985.6,38.0591143749342,16.8003807170333,77,,
