country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-40.65,144.97,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0,0,0,0,1001.6,202.251496053802,12.7089210086834,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0,0,0,0,1001.2,208.247827481266,9.13827067312431,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0,0,0,0,1000.7,219.994386181238,7.29334210440184,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0,0,0,0,1000.8,263.426234063022,10.154290035386,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,1,0,6.12323399573677E-17,0,1001.2,284.005177998646,16.734986054601,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,165,0,37.375950266115,0,1001.7,337.534833081511,16.0289253488707,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,312,0,161.955545463206,0,1002.3,338.591739701567,13.8694651868921,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,528,0,352.828154212305,0,1003,347.988532908774,17.418886115658,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,665,0,553.971271029071,0,1003.7,355.495602510818,17.6670876753181,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,478,0,620.778654060083,0,1004,20.2597265466164,17.2550320668103,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,344,7,669.458958911598,0,1004.1,24.5359849176064,16.1042054250943,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,355,353,741.164306934442,0,1004.2,23.9490105754963,16.1668582909179,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,472,734,838.163263641601,0,1004.4,14.936995100344,16.5854301605299,23,,
