country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,10,-23.938314,151.167618,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2014,1,1,0,0,25.2,-170,0,22.8,0,0,0,0,0,993.4,189.216033935547,3.76151747735435,132,,
2014,1,1,1,0,25,-153,0,22.7,0,0,0,0,0,993.5,188.604217529297,4.03635138129715,127,,
2014,1,1,2,0,24.9,-139,0,22.6,0,0,0,0,0,993.6,196.273971557617,4.62460788261955,120,,
2014,1,1,3,0,24.8,-129,0,22.5,0,0,0,0,0,993.7,200.619888305664,5.23241987669248,110,,
2014,1,1,4,0,24.7,-120,0.8,22.3,1,0,0,1,0,994.1,202.555557250977,6.22211722063036,99,,
2014,1,1,5,0,24.7,-114,28.9,22,29,0,0,29,0,994.8,200.184234619141,6.57833462847294,86,,
2014,1,1,6,0,24.7,-109,41.2,21.8,128,0,0,128,0,995.6,193.435806274414,6.877607225742,74,,
2014,1,1,7,0,25.2,-104,39.8,21.8,267,0,0,267,0,995.9,189.552352905273,6.96770607912826,61,,
2014,1,1,8,0,26.1,-100,42.8,22,372,6,5,378,0,995.9,183.540069580078,7.10181381013367,47,,
2014,1,1,9,0,27.1,-96,25.9,22.2,429,236,206,635,0,995.8,181.9521484375,6.93654753657305,34,,
2014,1,1,10,0,27.5,-92,9.6,22.2,381,521,492,873,0,995.7,173.655395507813,6.49993815092468,20,,
2014,1,1,11,0,27.4,-76,2,21.9,274,739,731,1005,0,995.5,168.698669433594,6.33474856826332,7,,
2014,1,1,12,0,27.3,71,0,21.6,237,797,785,1022,0,995.3,168.946228027344,5.81194080952478,9,,
2014,1,1,13,0,27.2,92,0,21.4,242,759,704,946,0,995.1,169.528076171875,5.59362435589616,21,,
2014,1,1,14,0,27,97,0.3,21.4,235,698,573,807,0,994.9,169.158203125,5.49856476186322,35,,
2014,1,1,15,0,26.9,100,11.1,21.3,297,374,265,563,0,994.7,168.049682617188,5.44394595398316,48,,
2014,1,1,16,0,26.6,104,31.4,21.3,246,76,45,291,0,994.8,170.369812011719,5.45093911219264,62,,
2014,1,1,17,0,26.1,109,21.1,21.3,127,57,11,138,0,995.2,174.750549316406,5.21608546963927,75,,
2014,1,1,18,0,25.6,114,4.1,21.3,30,28,5,35,0,995.6,181.966491699219,4.82101436751348,88,,
2014,1,1,19,0,25.4,121,0,21.4,0,0,0,0,0,996,194.470245361328,4.05305302864215,100,,
2014,1,1,20,0,25.4,129,0,21.5,0,0,0,0,0,996.2,206.588806152344,3.18353798185041,111,,
2014,1,1,21,0,25.4,140,0,21.6,0,0,0,0,0,996.5,213.214599609375,2.45988036273197,121,,
2014,1,1,22,0,25.1,154,0,21.6,0,0,0,0,0,996.4,253.411651611328,1.79823549282833,128,,
2014,1,1,23,0,24.7,172,0,21.5,0,0,0,0,0,996.1,293.045043945312,1.78551598359079,132,,
2014,1,2,0,0,24.2,-170,0,21.4,0,0,0,0,0,995.7,302.545471191406,2.50559232344497,132,,
2014,1,2,1,0,23.9,-153,0.9,21.4,0,0,0,0,0,995.5,303.874481201172,2.7947061504676,127,,
2014,1,2,2,0,23.7,-139,34.9,21.3,0,0,0,0,0,995.4,296.891967773437,2.8597176165921,120,,
2014,1,2,3,0,23.5,-129,51.1,21.3,0,0,0,0,0,995.3,284.569183349609,2.76770764238658,110,,
2014,1,2,4,0,23.6,-120,50,21.3,1,6,1,1,0,995.5,269.146728515625,3.15413464102047,99,,
2014,1,2,5,0,23.8,-114,16.7,21.2,28,212,29,57,0,995.9,259.488952636719,4.14287418348968,87,,
2014,1,2,6,0,24,-109,0.3,21.1,71,528,161,231,0,996.3,249.993133544922,4.88861439108101,74,,
2014,1,2,7,0,24.8,-104,12,21.1,206,429,195,401,0,996.3,247.705902099609,6.16086351727955,61,,
2014,1,2,8,0,26.1,-100,8,21.2,196,632,445,642,0,995.9,246.156555175781,6.07900388742848,47,,
2014,1,2,9,0,27.3,-96,1.2,21.2,140,875,726,865,0,995.5,242.940643310547,5.76677558290483,34,,
2014,1,2,10,0,28.2,-91,7.2,20.8,279,703,649,928,0,995,244.244110107422,4.57924816995754,20,,
2014,1,2,11,0,28.7,-76,12,20,387,559,551,938,0,994.4,243.727676391602,4.34547685621963,7,,
2014,1,2,12,0,29.2,69,4.3,19.2,234,794,780,1014,0,993.7,251.176361083984,4.40268625379841,9,,
2014,1,2,13,0,29.5,92,0.6,19.1,162,880,817,979,0,993.1,258.782165527344,4.29929799987858,21,,
2014,1,2,14,0,29.5,96,2.8,19.3,196,762,626,823,0,992.4,261.853576660156,4.63668919848088,35,,
2014,1,2,15,0,29.5,100,1.9,19.7,162,726,482,643,0,991.7,264.095458984375,4.96830561582651,48,,
2014,1,2,16,0,28.9,104,22.3,20.1,201,253,151,353,0,991.6,270.87548828125,4.84784899668479,62,,
2014,1,2,17,0,28,109,11.1,20.6,119,235,46,165,0,991.8,280.249816894531,4.88012105942095,75,,
2014,1,2,18,0,27,114,0,21.1,21,117,23,43,0,992.1,290.674682617187,5.0447959997344,88,,
2014,1,2,19,0,26.3,121,0,21.6,0,0,0,0,0,992.5,299.092193603516,5.04355104010276,100,,
2014,1,2,20,0,26,129,0,22.1,0,0,0,0,0,992.9,306.104766845703,5.02246415519475,111,,
2014,1,2,21,0,25.7,140,0,22.6,0,0,0,0,0,993.4,310.369262695312,5.72016076076386,121,,
2014,1,2,22,0,25.2,154,0,22.7,0,0,0,0,0,993.4,315.443603515625,4.96556647698705,128,,
2014,1,2,23,0,24.6,171,0,22.3,0,0,0,0,0,993.1,314.482788085937,4.46885128719699,132,,
2014,1,3,0,0,24,-170,0,22,0,0,0,0,0,992.7,315.268737792969,4.37802437363341,132,,
2014,1,3,1,0,23.7,-153,0,21.8,0,0,0,0,0,992.4,312.204681396484,4.20254957717493,128,,
2014,1,3,2,0,23.6,-139,0,21.8,0,0,0,0,0,992,304.011199951172,3.99801872875321,120,,
2014,1,3,3,0,23.5,-129,0,21.7,0,0,0,0,0,991.7,292.181213378906,4.1394092342612,110,,
2014,1,3,4,0,23.6,-120,0.2,21.7,1,2,0,1,0,991.8,275.901550292969,4.74576803012954,99,,
2014,1,3,5,0,24,-114,6.7,21.7,38,72,10,47,0,992.1,266.830261230469,5.87927775804945,87,,
2014,1,3,6,0,24.3,-109,13.3,21.7,127,198,63,190,0,992.4,257.983276367188,6.77483370831226,74,,
2014,1,3,7,0,25.3,-104,5.7,21.6,141,556,292,432,0,992.4,260.832336425781,6.65282412813342,61,,
2014,1,3,8,0,26.6,-100,0.8,21.5,143,772,522,665,0,992.1,265.032409667969,6.46955957739289,47,,
2014,1,3,9,0,28,-96,0.3,21.4,153,844,698,851,0,991.8,270.802062988281,6.41051177453218,34,,
2014,1,3,10,0,29.2,-91,0,21,169,871,811,980,0,991.3,287.409027099609,4.88168502700349,20,,
2014,1,3,11,0,30.3,-75,0,20.5,180,878,865,1046,0,990.8,283.750549316406,5.3511773003648,7,,
2014,1,3,12,0,31.3,68,0,20,180,877,864,1044,0,990.3,279.675109863281,5.44262579402229,9,,
2014,1,3,13,0,31.7,92,0,19.9,172,864,802,974,0,989.8,282.85986328125,5.3919307100219,21,,
2014,1,3,14,0,31.6,96,0,20.2,162,827,677,839,0,989.4,290.420043945312,5.55036918393017,35,,
2014,1,3,15,0,31.5,100,0,20.6,146,759,506,652,0,988.9,295.252899169922,5.98543251767097,48,,
2014,1,3,16,0,30.8,104,0,21.1,119,643,311,431,0,988.8,294.895599365234,6.34674028667849,62,,
2014,1,3,17,0,29.8,109,0,21.6,78,431,127,205,0,988.9,293.384857177734,6.74168676704913,75,,
2014,1,3,18,0,28.6,114,0,22.1,21,116,23,44,0,989,293.499755859375,7.11899967120282,87,,
2014,1,3,19,0,27.8,121,0.9,22.5,0,0,0,0,0,989.1,296.5517578125,7.30143969144273,100,,
2014,1,3,20,0,27.2,129,33.6,22.7,0,0,0,0,0,989.3,302.454284667969,7.28372099829123,111,,
2014,1,3,21,0,26.6,140,52.7,23,0,0,0,0,0,989.5,309.409301757813,7.26791357442688,121,,
2014,1,3,22,0,26.1,154,58.5,22.9,0,0,0,0,0,989.4,313.99609375,5.85511298132953,128,,
2014,1,3,23,0,25.6,171,20.4,22.6,0,0,0,0,0,989,306.693145751953,6.29080753638974,132,,
2014,1,4,0,0,25.1,-170,0,22.3,0,0,0,0,0,988.5,307.897521972656,6.34085198091783,132,,
2014,1,4,1,0,24.9,-153,0,22.1,0,0,0,0,0,988.2,308.128540039062,6.09846230434488,128,,
2014,1,4,2,0,24.8,-139,0,22,0,0,0,0,0,987.9,307.249969482422,5.65723609512599,120,,
2014,1,4,3,0,24.7,-129,0,21.9,0,0,0,0,0,987.7,302.660003662109,5.51498122576752,110,,
2014,1,4,4,0,24.8,-120,0,21.9,1,2,0,1,0,987.9,294.236419677734,5.76008213260672,99,,
2014,1,4,5,0,25.1,-114,0.4,21.9,33,83,10,44,0,988.5,283.429992675781,6.33409582887305,87,,
2014,1,4,6,0,25.5,-109,13,22,143,91,24,167,0,989.1,274.481658935547,7.30713520395409,74,,
2014,1,4,7,0,26.3,-104,6.5,22,171,434,235,407,0,989.3,271.954528808594,7.77352673288342,61,,
2014,1,4,8,0,27.5,-100,0,22,180,685,463,643,0,989.3,274.468902587891,7.00445715691846,48,,
2014,1,4,9,0,28.7,-96,0,22,193,771,637,830,0,989.2,279.591644287109,6.59068602969473,34,,
2014,1,4,10,0,29.8,-91,0,21.8,186,837,781,966,0,988.8,279.716430664062,6.14099212343759,20,,
2014,1,4,11,0,30.9,-74,0,21.4,183,865,853,1036,0,988.1,283.215270996094,6.60008377729315,7,,
2014,1,4,12,0,31.9,67,0,20.9,183,865,852,1036,0,987.4,288.150939941406,6.68581826202329,9,,
2014,1,4,13,0,32.3,91,0.3,20.9,182,840,781,964,0,986.7,290.956634521484,6.21620408995963,21,,
2014,1,4,14,0,32.4,96,10.6,21.2,315,515,435,749,0,986.1,292.685546875,6.13912604951393,35,,
2014,1,4,15,0,32.4,100,10.9,21.6,288,436,285,573,0,985.5,294.558776855469,6.35474027459885,48,,
2014,1,4,16,0,31.8,104,9.5,22,200,375,185,386,0,985.4,299.495849609375,6.00249476186282,61,,
2014,1,4,17,0,30.7,109,3.4,22.5,105,301,82,187,0,985.7,302.210906982422,5.5548732358079,75,,
2014,1,4,18,0,29.6,114,0,23,23,97,19,42,0,986,301.074768066406,5.57949811474895,87,,
2014,1,4,19,0,28.7,121,0,23.3,0,0,0,0,0,986.3,300.427917480469,5.60325298947041,100,,
2014,1,4,20,0,28.1,129,0,23.5,0,0,0,0,0,986.6,301.980804443359,5.85199940557515,111,,
2014,1,4,21,0,27.6,140,0,23.6,0,0,0,0,0,986.9,301.919708251953,5.79266870650161,121,,
2014,1,4,22,0,27,154,0,23.6,0,0,0,0,0,987.1,297.102844238281,5.12318070630884,128,,
2014,1,4,23,0,26.4,171,0,23.6,0,0,0,0,0,987.2,289.275787353516,4.15131244928125,132,,
2014,1,5,0,0,25.8,-170,0,23.5,0,0,0,0,0,987.3,281.748931884766,4.12894521763197,132,,
2014,1,5,1,0,25.5,-153,0,23.4,0,0,0,0,0,987.5,276.398162841797,4.28394097310567,128,,
2014,1,5,2,0,25.3,-139,0,23.3,0,0,0,0,0,987.7,272.984802246094,4.60858471472028,120,,
2014,1,5,3,0,25.2,-129,0,23.3,0,0,0,0,0,988,269.17236328125,4.73851958996064,110,,
2014,1,5,4,0,25.3,-120,0.6,23.3,1,0,0,1,0,988.5,265.688598632812,5.16313617689672,99,,
2014,1,5,5,0,25.6,-114,21.9,23.2,28,0,0,28,0,989.3,264.061004638672,5.42011181550505,87,,
2014,1,5,6,0,25.8,-109,24.5,23.2,144,9,5,149,0,990,260.473815917969,6.34066736114957,74,,
2014,1,5,7,0,26.5,-104,10.4,23.1,219,282,155,373,0,990.4,248.733551025391,6.66187587825218,61,,
2014,1,5,8,0,27.5,-100,7,23,284,444,297,582,0,990.4,247.202819824219,6.55843682929644,48,,
2014,1,5,9,0,28.5,-96,25.6,22.9,477,156,113,590,0,990.4,250.459213256836,6.3221410775817,34,,
2014,1,5,10,0,29.4,-91,26.9,22.7,607,74,71,679,0,990.3,259.286956787109,5.70906448558915,21,,
2014,1,5,11,0,30.2,-74,16,22.6,567,264,263,830,0,990,270.003234863281,5.13685238978061,7,,
2014,1,5,12,0,31,66,4.3,22.4,394,557,548,942,0,989.7,272.614929199219,5.83342012686369,9,,
2014,1,5,13,0,31.2,91,3.4,22.4,366,557,520,886,0,989.4,273.315856933594,5.89738962432552,21,,
2014,1,5,14,0,31,96,9.9,22.5,423,332,280,703,0,989.2,280.767639160156,6.48320158498133,34,,
2014,1,5,15,0,30.7,100,12.5,22.6,385,182,124,509,0,988.9,292.838012695312,6.32035230777073,48,,
2014,1,5,16,0,30.1,104,4.3,22.8,240,219,100,339,0,989.2,295.627014160156,5.14047136678886,61,,
2014,1,5,17,0,29.2,109,2.1,23.1,116,117,41,157,0,989.8,292.81640625,4.99596603418292,75,,
2014,1,5,18,0,28.3,114,1,23.5,28,16,3,31,0,990.5,289.451843261719,4.91093768747514,87,,
2014,1,5,19,0,27.7,121,0,23.6,0,0,0,0,0,991,289.091918945312,4.61593201559018,100,,
2014,1,5,20,0,27.1,129,0,23.6,0,0,0,0,0,991.5,287.493194580078,4.62080225011782,111,,
2014,1,5,21,0,26.6,140,0,23.5,0,0,0,0,0,991.9,285.517517089844,5.36261848347742,121,,
2014,1,5,22,0,26.2,154,0,23.5,0,0,0,0,0,992,289.42138671875,4.65831088585237,128,,
2014,1,5,23,0,25.8,171,0,23.3,0,0,0,0,0,991.8,285.598358154297,5.17957837415853,132,,
2014,1,6,0,0,25.4,-171,0,23.2,0,0,0,0,0,991.6,285.95458984375,5.00722930387444,132,,
2014,1,6,1,0,25.2,-153,0,23.2,0,0,0,0,0,991.4,287.711120605469,4.97735712094293,128,,
2014,1,6,2,0,25.1,-139,0,23.1,0,0,0,0,0,991.2,286.654388427734,4.49848788527449,120,,
2014,1,6,3,0,25,-129,0,23.1,0,0,0,0,0,991,283.57861328125,3.80796347944922,111,,
2014,1,6,4,0,25.1,-120,0.4,23,1,0,0,1,0,991.3,279.368591308594,3.97357432067007,99,,
2014,1,6,5,0,25.3,-114,15,23,30,4,1,31,0,991.9,275.180969238281,4.56180181365203,87,,
2014,1,6,6,0,25.5,-108,13.5,22.9,123,136,47,170,0,992.5,270.089050292969,5.28412202747474,74,,
2014,1,6,7,0,26.2,-104,7.2,22.7,206,348,178,384,0,992.7,266.866424560547,5.8426633497355,61,,
2014,1,6,8,0,27.3,-100,2.2,22.5,211,603,413,624,0,992.5,266.952667236328,6.09437854363154,48,,
2014,1,6,9,0,28.4,-96,2.8,22.2,251,669,548,800,0,992.3,267.625061035156,6.17175438240907,34,,
2014,1,6,10,0,29.2,-90,3.1,22,249,735,685,935,0,992,274.469848632812,4.66829816035895,21,,
2014,1,6,11,0,29.9,-73,0.8,21.7,206,832,820,1026,0,991.6,276.211975097656,3.44811749786799,7,,
2014,1,6,12,0,30.5,64,0,21.5,196,849,836,1032,0,991.3,268.088317871094,3.14401435828028,9,,
2014,1,6,13,0,30.8,91,0,21.3,204,811,754,958,0,991,256.351989746094,3.01449251059933,21,,
2014,1,6,14,0,30.8,96,0,21.3,199,759,624,823,0,990.8,257.589721679687,3.69579132199421,34,,
2014,1,6,15,0,30.7,100,0.2,21.2,181,677,455,636,0,990.6,258.919769287109,4.08810898513187,48,,
2014,1,6,16,0,30.2,104,6.1,21.4,182,410,212,395,0,990.8,270.065826416016,4.18062657826104,61,,
2014,1,6,17,0,29.4,108,11.7,21.7,125,122,45,171,0,991.3,284.086212158203,3.85764765377212,75,,
2014,1,6,18,0,28.6,114,4.4,22.1,32,12,2,34,0,991.8,295.473693847656,3.0555492692287,87,,
2014,1,6,19,0,27.9,120,0,22.3,0,0,0,0,0,992.1,305.733276367187,2.4564915580569,99,,
2014,1,6,20,0,27.2,129,0,22.4,0,0,0,0,0,992.3,331.869171142578,2.05024205470607,111,,
2014,1,6,21,0,26.5,140,0,22.5,0,0,0,0,0,992.6,347.558319091797,1.5898345379369,121,,
2014,1,6,22,0,25.9,154,0,22.6,0,0,0,0,0,992.6,1.59909057617188,1.60043285680455,128,,
2014,1,6,23,0,25.4,171,0,22.7,0,0,0,0,0,992.5,24.3006896972656,1.22340050005788,132,,
2014,1,7,0,0,25,-171,0,22.7,0,0,0,0,0,992.3,341.408599853516,0.045668677857411,132,,
2014,1,7,1,0,24.7,-154,0,22.8,0,0,0,0,0,992.2,186.703948974609,0.984965363933073,128,,
2014,1,7,2,0,24.6,-140,0,22.8,0,0,0,0,0,992.1,190.02018737793,1.81226399159458,121,,
2014,1,7,3,0,24.5,-129,0,22.8,0,0,0,0,0,991.9,192.661895751953,2.75673317459898,111,,
2014,1,7,4,0,24.5,-120,1.4,22.9,0,0,0,0,0,992.2,195.281692504883,4.05930553629086,99,,
2014,1,7,5,0,24.6,-114,49.6,23.1,11,0,0,11,0,992.8,206.903305053711,4.991413681383,87,,
2014,1,7,6,0,24.8,-108,70.9,23.3,60,0,0,60,0,993.5,187.762741088867,5.21445072731444,75,,
2014,1,7,7,0,25.3,-104,60.5,23.6,174,0,0,174,0,993.8,187.816711425781,4.99186177597635,61,,
2014,1,7,8,0,26.1,-100,46.1,24,349,6,5,355,0,993.8,181.775512695312,5.71696922022074,48,,
2014,1,7,9,0,26.9,-95,25.7,24.4,430,223,193,623,0,993.9,172.7958984375,7.67043843171291,34,,
2014,1,7,10,0,27.2,-90,47.5,24.3,395,111,96,491,0,993.8,163.4501953125,7.16014520579935,21,,
2014,1,7,11,0,27.1,-72,47.2,23.7,537,8,8,545,0,993.6,153.640014648438,7.77745914449888,8,,
2014,1,7,12,0,27,63,22,23,511,292,286,797,0,993.4,149.289886474609,8.33050995636259,9,,
2014,1,7,13,0,26.7,90,22,22.9,534,217,208,742,0,993.2,146.183013916016,8.79318245595267,21,,
2014,1,7,14,0,26.3,95,50.3,23.2,381,36,33,414,0,993.2,147.132751464844,8.58077093979615,34,,
2014,1,7,15,0,25.9,99,44.9,23.6,332,0,0,332,0,993.1,147.6279296875,8.53163195474294,48,,
2014,1,7,16,0,25.5,104,40.8,23.6,242,1,0,242,0,993.4,146.338409423828,8.29792902553318,61,,
2014,1,7,17,0,25.1,108,20.2,23.4,121,38,8,129,0,993.9,149.850433349609,8.36758504637446,74,,
2014,1,7,18,0,24.7,114,2.9,23.1,30,19,4,34,0,994.4,154.236938476563,7.88068849205743,87,,
2014,1,7,19,0,24.6,120,0,23,0,0,0,0,0,994.8,155.927368164063,7.19217358880541,99,,
2014,1,7,20,0,24.6,129,0,23,0,0,0,0,0,995.1,157.313537597656,7.86006029099038,111,,
2014,1,7,21,0,24.7,139,0,23.1,0,0,0,0,0,995.4,158.673706054687,7.2703697548661,121,,
2014,1,7,22,0,24.5,153,0,22.8,0,0,0,0,0,995.3,162.929504394531,5.91068033287487,128,,
2014,1,7,23,0,24,171,0,22.3,0,0,0,0,0,995.1,156.189514160156,6.09332699182361,132,,
2014,1,8,0,0,23.4,-171,0,21.8,0,0,0,0,0,994.8,163.408325195313,6.59818913743013,132,,
2014,1,8,1,0,23.2,-154,0.6,21.4,0,0,0,0,0,994.7,164.579956054688,6.89589560232702,128,,
2014,1,8,2,0,23.2,-140,20.8,21.2,0,0,0,0,0,994.7,161.29833984375,6.84115573097617,121,,
2014,1,8,3,0,23.2,-129,28.1,21.1,0,0,0,0,0,994.6,161.481323242187,7.25515779543097,111,,
2014,1,8,4,0,23.3,-120,27.9,20.9,1,0,0,1,0,994.9,161.87548828125,8.17423280282787,100,,
2014,1,8,5,0,23.5,-114,19.2,20.9,26,0,0,26,0,995.5,163.144104003906,7.47160723241847,87,,
