country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,7,-22.11904,119.82754,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,28.1,-154,0,10.5,0,0,0,0,0,957,24.8669448933416,13.0707595045285,130,,
2015,1,1,1,0,27.4,-140,0,11.2,0,0,0,0,0,956.9,327.33343572481,6.52916131020341,122,,
2015,1,1,2,0,26.8,-129,0,11.5,0,0,0,0,0,957,305.787240600084,5.07518946028355,112,,
2015,1,1,3,0,26.3,-121,0,11.7,1,0,1,0,0,957.1,283.987908681056,4.62095338751589,101,,
2015,1,1,4,0,27.3,-115,0,12.1,21,0,25,0,0,957.2,293.462359319608,5.29686196046405,88,,
2015,1,1,5,0,29.5,-110,0,12.6,54,0,168,0,0,957.5,294.384667268952,4.7858531009601,75,,
2015,1,1,6,0,31.9,-105,0,13,76,0,386,0,0,957.8,312.214110808064,3.87093174738354,62,,
2015,1,1,7,0,33.9,-102,0,12.3,88,0,604,0,0,957.7,328.52680753564,2.17015390475981,49,,
2015,1,1,8,0,35.8,-99,0,10.8,96,2.08,791,26,0,957.3,7.88132989195731,2.61757941709688,35,,
2015,1,1,9,0,37.6,-98,0,9.2,100,186.78,928,244.87,0,956.8,18.1559886738844,3.13181867149034,21,,
2015,1,1,10,0,38.8,-104,0,8.2,103,182.22,1002,439.62,0,956.2,4.34082207153574,2.98445172971098,8,,
2015,1,1,11,0,39.5,118,0.1,7.6,106,204.69,1000,588.26,0,955.5,305.165825976884,3.0384854837381,8,,
2015,1,1,12,0,40.1,98,4.8,7.1,201,262.72,789,758.86,0,954.7,302.413529723079,6.93595680518764,20,,
2015,1,1,13,0,40.2,99,6,6.7,212,667.77,635,937.98,0,954.2,281.762650368648,13.9628487292698,34,,
2015,1,1,14,0,40,102,12.4,6.5,247,1045.69,380,1122.16,0,953.9,295.81562294125,10.5938664780987,47,,
2015,1,1,15,0,39.7,105,25.6,6.4,261,1042.03,104,1093.01,0,953.6,288.643730195248,10.8478047230543,61,,
2015,1,1,16,0,38.7,109,20.6,6.9,145,85.85,37,644.96,0,953.9,290.264466110218,11.3993181181687,74,,
2015,1,1,17,0,37.1,114,49.5,8,30,57.99,15,484.3,0,954.6,286.977544543471,8.99280366398795,87,,
2015,1,1,18,0,35.5,120,46.2,9.2,0,123.39,0,458.31,0,955.3,301.618934949819,9.53194538160129,100,,
