country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,7,-24.166802,119.443359,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2019,1,1,0,0,32.2,-155,0,2.2,0,0,0,0,0,939.5,345.586700439453,9.61857886765875,128,,
2019,1,1,1,0,31.2,-141,0,2.8,0,0,0,0,0,939.6,346.412811279297,8.27973106074063,121,,
2019,1,1,2,0,30.4,-130,0,3.2,0,0,0,0,0,940,345.661560058594,7.69226018834303,111,,
2019,1,1,3,0,29.6,-121,0,3.6,0,0,0,0,0,940.4,346.983215332031,7.71252765209465,100,,
2019,1,1,4,0,30.4,-115,1.6,3.7,17,119,14,31,0,940.9,350.955993652344,7.61701254620789,88,,
2019,1,1,5,0,33,-109,1.7,3.4,66,575,154,220,0,941.5,356.906463623047,7.60738998136765,75,,
2019,1,1,6,0,35.6,-104,0,3.2,83,813,382,465,0,942.1,1.6842041015625,7.1836866898856,62,,
2019,1,1,7,0,37.7,-100,0,3.7,98,905,595,693,0,942.2,5.03158569335938,6.65310894119872,49,,
2019,1,1,8,0,39.4,-96,0,5,108,955,778,886,0,941.9,8.90109252929688,6.11084339693967,35,,
2019,1,1,9,0,41.1,-92,0,6.3,113,984,912,1025,0,941.5,13.0517578125,5.51529198075393,22,,
2019,1,1,10,0,42.3,-81,0,6.7,110,1004,991,1102,0,941,11.6640014648438,5.01635221581406,8,,
2019,1,1,11,0,43,71,0,6,111,1003,995,1106,0,940.3,20.1015625,5.27384307879257,6,,
2019,1,1,12,0,43.7,91,0,5.4,110,988,928,1038,0,939.6,31.9456787109375,5.65425076222539,20,,
2019,1,1,13,0,43.9,96,1,5,120,930,778,898,0,939.1,52.168212890625,6.80775228806421,33,,
2019,1,1,14,0,43.5,100,19.9,4.7,275,437,309,584,0,938.9,67.1048583984375,8.25094123267201,47,,
2019,1,1,15,0,43.2,104,53.4,4.5,231,0,0,231,0,938.7,75.7470092773437,8.99342340352976,60,,
2019,1,1,16,0,42.6,108,60.1,4.5,105,0,0,105,0,938.8,79.4473266601563,9.14695241254423,73,,
2019,1,1,17,0,41.8,114,30.7,4.9,21,10,1,22,0,939.2,81.1937255859375,8.58110869326774,86,,
2019,1,1,18,0,41,120,16,5.2,0,0,0,0,0,939.6,81.2448120117188,7.74914509179209,98,,
2019,1,1,19,0,39.9,128,0.9,5.7,0,0,0,0,0,939.9,81.3226318359375,6.89899440598395,110,,
2019,1,1,20,0,38.3,139,0,6.4,0,0,0,0,0,940.1,80.2215270996094,6.08079800530882,120,,
2019,1,1,21,0,36.8,152,0,7.1,0,0,0,0,0,940.3,82.4005737304688,5.43067744261099,127,,
2019,1,1,22,0,35.5,169,0,6.9,0,0,0,0,0,940.3,99.8880615234375,4.25199242717945,132,,
2019,1,1,23,0,34.6,-172,0,6,0,0,0,0,0,940.1,128.036254882813,4.28881052986609,132,,
2019,1,2,0,0,33.7,-155,0.1,5,0,0,0,0,0,939.9,164.916625976563,4.14010028559816,128,,
2019,1,2,1,0,32.8,-141,5.7,4.4,0,0,0,0,0,940,187.721282958984,3.18648424021362,121,,
2019,1,2,2,0,32,-130,7.2,4.1,0,0,0,0,0,940.3,205.999038696289,2.14732374698526,111,,
2019,1,2,3,0,31.2,-121,9,3.8,0,0,0,0,0,940.6,235.452056884766,1.29763480931639,100,,
2019,1,2,4,0,31.7,-115,3.8,4.3,19,95,9,29,0,940.9,268.864685058594,0.954666938708271,88,,
2019,1,2,5,0,33.4,-109,23.9,5.7,137,130,29,166,0,941.3,314.560302734375,1.10668606089239,75,,
2019,1,2,6,0,35.2,-104,25.8,7.1,258,184,92,350,0,941.7,345.311462402344,1.65725293426405,62,,
2019,1,2,7,0,37,-100,22.3,6.3,350,297,192,542,0,941.7,358.939697265625,2.07574048502098,49,,
2019,1,2,8,0,38.8,-96,11.1,3.5,286,626,512,798,0,941.3,14.5629272460938,2.3974139780528,35,,
2019,1,2,9,0,40.7,-92,8,0.7,269,742,687,956,0,940.9,30.5015869140625,2.65346239824532,22,,
2019,1,2,10,0,42.1,-80,18.7,-0.7,472,442,437,910,0,940.4,31.4155578613281,4.3975440151635,8,,
2019,1,2,11,0,43.1,69,8.7,-0.7,303,729,723,1026,0,939.7,51.183349609375,5.93855272476105,6,,
2019,1,2,12,0,44.1,91,16.8,-0.6,431,476,448,880,0,939.1,69.8604736328125,7.53162238093091,19,,
2019,1,2,13,0,44.4,96,5.6,-0.5,203,804,670,872,0,938.5,85.7996215820313,8.9713127101751,33,,
2019,1,2,14,0,44,100,2.3,-0.2,122,868,598,720,0,938.2,98.2371215820313,9.76754210130279,47,,
2019,1,2,15,0,43.7,104,19,0,222,374,189,411,0,937.8,107.368713378906,9.82576301235809,60,,
2019,1,2,16,0,42.8,108,21.4,1,145,201,61,206,0,937.9,114.258117675781,9.95966682123847,73,,
2019,1,2,17,0,41.4,114,7.9,2.6,33,93,10,44,0,938.4,125.90576171875,10.1557174300348,86,,
2019,1,2,18,0,40,120,0.2,4.3,0,0,0,0,0,939,142.158203125,10.1394993909123,98,,
2019,1,2,19,0,38.5,128,24,4.3,0,0,0,0,0,939.5,151.360229492188,10.1562843241763,110,,
2019,1,2,20,0,36.9,139,25.4,2.7,0,0,0,0,0,940,155.485046386719,10.395280846675,120,,
2019,1,2,21,0,35.4,152,24,1,0,0,0,0,0,940.4,158.471862792969,10.8455967573739,127,,
2019,1,2,22,0,34,169,1.2,0,0,0,0,0,0,940.6,163.523864746094,10.7459625270296,132,,
2019,1,2,23,0,32.9,-172,0,-0.5,0,0,0,0,0,940.6,169.372436523438,10.707529362333,132,,
2019,1,3,0,0,31.7,-155,0,-1,0,0,0,0,0,940.6,174.616271972656,9.15389181158186,128,,
2019,1,3,1,0,30.7,-141,0,-1.2,0,0,0,0,0,940.9,172.54345703125,8.75131487536777,121,,
2019,1,3,2,0,29.9,-130,0,-1.2,0,0,0,0,0,941.5,177.93896484375,8.09577463691372,111,,
2019,1,3,3,0,29.1,-121,0,-1.1,0,0,0,0,0,942.1,184.203018188477,6.60971791161637,100,,
2019,1,3,4,0,29.6,-115,5.6,-1.2,20,67,7,27,0,942.6,196.78108215332,4.11391685575829,88,,
2019,1,3,5,0,31.4,-109,27.2,-1.3,135,105,28,162,0,943,209.495635986328,2.32185427315389,75,,
2019,1,3,6,0,33.2,-104,12.5,-1.4,174,494,236,410,0,943.4,240.404190063477,1.05881989888414,62,,
2019,1,3,7,0,35.2,-100,22.6,-1.4,345,300,191,535,0,943.4,302.722717285156,0.490448300702251,49,,
2019,1,3,8,0,37.3,-96,24.3,-1.1,450,277,226,676,0,943,16.61962890625,1.45983105599504,36,,
2019,1,3,9,0,39.5,-92,14.1,-0.9,364,565,524,888,0,942.7,35.7757568359375,2.69532107676487,22,,
2019,1,3,10,0,41.1,-80,5.6,-0.4,222,838,828,1051,0,942.2,85.3124694824219,5.25707017363868,8,,
2019,1,3,11,0,42.1,67,5.9,0.3,235,823,818,1052,0,941.6,91.3755493164063,7.36699743506006,6,,
2019,1,3,12,0,43.1,91,24.6,1,517,293,278,795,0,941,99.0081481933594,8.69304086688617,19,,
2019,1,3,13,0,43.5,95,32.8,1.5,483,163,130,614,0,940.5,111.429840087891,9.53183657587442,33,,
2019,1,3,14,0,43.2,99,9.4,1.8,227,639,435,661,0,940.2,124.006774902344,9.62505521010461,47,,
2019,1,3,15,0,42.9,104,4.8,2.1,120,709,363,483,0,939.8,131.105041503906,9.26345273169505,60,,
2019,1,3,16,0,42.1,108,9.9,2.5,110,429,123,233,0,940,135.685974121094,9.01128790916095,73,,
2019,1,3,17,0,40.8,113,2.6,3.1,26,187,23,50,0,940.7,144.442443847656,9.24275558802436,86,,
2019,1,3,18,0,39.6,120,0,3.6,0,0,0,0,0,941.4,159.604370117188,9.84146670150108,98,,
2019,1,3,19,0,38.2,128,0,3.8,0,0,0,0,0,941.9,174.109191894531,10.6957895342487,110,,
2019,1,3,20,0,36.7,138,0,3.6,0,0,0,0,0,942.1,182.003936767578,11.1017029422368,120,,
2019,1,3,21,0,35.2,152,0,3.5,0,0,0,0,0,942.3,186.623718261719,11.243859794,127,,
