country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,7,-32.589635,115.837097,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,19.3,-161,0,12.6,0,0,0,0,0,998.3,113.476593017578,5.14311214411484,121,,
2015,1,1,1,0,18.6,-147,0,12.5,0,0,0,0,0,998.2,94.3397521972656,4.25251094807531,116,,
2015,1,1,2,0,18,-134,0,12.4,0,0,0,0,0,998.3,71.6162414550781,4.07836970550668,108,,
2015,1,1,3,0,17.5,-124,0,12.3,0,6,1,1,0,998.5,56.389404296875,4.78157658348093,98,,
2015,1,1,4,0,17.8,-116,0,12.4,19,315,39,58,0,998.7,49.7850952148437,6.17116173438593,87,,
2015,1,1,5,0,18.8,-109,0,12.5,45,675,183,229,0,999,45.0784301757813,7.18552540064013,75,,
2015,1,1,6,0,20,-102,0,12.7,62,865,393,455,0,999.3,40.9295043945312,7.81924097729434,63,,
2015,1,1,7,0,20.9,-95,0,12.6,71,957,603,675,0,999.2,39.3352966308594,8.08312875189093,51,,
2015,1,1,8,0,21.9,-86,0,12.2,77,1008,788,865,0,998.8,39.6086730957031,7.88503430323889,38,,
2015,1,1,9,0,22.8,-74,0,11.9,83,1035,926,1009,0,998.4,41.7365417480469,7.43566844256879,26,,
2015,1,1,10,0,23.6,-47,0,11.7,88,1044,1004,1093,0,997.9,53.2996215820313,6.99775416087892,15,,
2015,1,1,11,0,24.3,14,0,11.5,92,1041,1019,1112,0,997.4,56.85546875,6.52727217510165,12,,
2015,1,1,12,0,25.1,59,0,11.4,93,1031,973,1065,0,996.9,60.1164855957031,6.29195638730412,19,,
2015,1,1,13,0,25.3,79,0,11.4,89,1012,868,957,0,996.5,62.0816345214844,5.83786001425023,30,,
2015,1,1,14,0,25,90,0,11.7,82,977,713,795,0,996.2,61.1332092285156,5.47421198148974,43,,
2015,1,1,15,0,24.7,97,0,11.9,74,913,518,592,0,995.9,58.6041259765625,5.47250277480084,55,,
2015,1,1,16,0,23.8,104,0,12.4,61,794,305,366,0,996,57.5126342773438,5.34316686498691,68,,
2015,1,1,17,0,22.3,111,0,13.1,39,533,110,149,0,996.4,57.923095703125,4.88913570713467,80,,
2015,1,1,18,0,20.8,119,0,13.7,10,150,16,26,0,996.8,58.4212646484375,4.28513750718979,91,,
2015,1,1,19,0,19.8,128,0,14,0,0,0,0,0,997,55.2378845214844,3.93759338284142,102,,
2015,1,1,20,0,19.3,139,0,13.9,0,0,0,0,0,997.1,51.313720703125,3.64416205646161,111,,
2015,1,1,21,0,18.9,152,0,13.8,0,0,0,0,0,997.2,47.6471252441406,3.32244865928577,118,,
2015,1,1,22,0,18.4,167,0.6,13.8,0,0,0,0,0,997.1,41.2540588378906,2.84918148465156,123,,
2015,1,1,23,0,17.9,-177,33.2,13.8,0,0,0,0,0,996.8,36.2537536621094,3.08449525821794,124,,
2015,1,2,0,0,17.4,-161,51.5,13.8,0,0,0,0,0,996.5,32.2948608398437,4.66762957987555,121,,
2015,1,2,1,0,17.1,-147,51.5,13.7,0,0,0,0,0,996.5,29.7068176269531,6.12134215611686,116,,
2015,1,2,2,0,17,-135,51.2,13.6,0,0,0,0,0,996.6,26.8327941894531,6.39689935194152,108,,
2015,1,2,3,0,16.8,-124,51,13.5,1,0,0,1,0,996.8,25.8859252929687,7.18540728240962,98,,
2015,1,2,4,0,17.2,-116,32.5,13.6,38,19,2,41,0,997.2,27.5394592285156,7.98390379327075,87,,
2015,1,2,5,0,18,-109,33.5,13.8,132,11,1,133,0,997.7,31.2279968261719,8.12495633512558,76,,
2015,1,2,6,0,18.8,-102,38.6,14,265,0,0,265,0,998.3,33.3560180664062,8.5246277222763,63,,
2015,1,2,7,0,19.6,-95,46.6,14.2,336,0,0,336,0,998.5,39.0957641601562,9.35785884459981,51,,
