country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,7,-33.075432,115.631104,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,17.4,-161,0,11.6,0,0,0,0,0,996.3,178.220390071795,3.896,121,,
2015,1,1,1,0,16.7,-147,0,11.6,0,0,0,0,0,996.1,210.077267773819,2.028,115,,
2015,1,1,2,0,16.2,-135,0,11.6,0,0,0,0,0,996.2,337.714293695724,2.039,108,,
2015,1,1,3,0,15.7,-125,0,11.5,0,6,1,1,0,996.2,27.7749822397893,3.155,98,,
2015,1,1,4,0,16.3,-116,0,11.6,19,315,39,58,0,996.3,31.5732589895749,4.321,87,,
2015,1,1,5,0,17.7,-108,0,11.8,45,673,182,228,0,996.5,35.1838442761706,5.787,75,,
2015,1,1,6,0,19.2,-101,0,12,62,861,391,453,0,996.6,40.1828114494942,7.55,63,,
2015,1,1,7,0,20.7,-94,0,11.8,72,953,599,671,0,996.4,41.7131441729264,8.683,51,,
2015,1,1,8,0,22,-86,0,11.3,79,1004,782,861,0,996,42.0390638658363,9.226,39,,
2015,1,1,9,0,23.4,-73,0.1,10.8,86,1028,917,1003,0,995.6,44.9545074473444,9.895,26,,
2015,1,1,10,0,24.5,-46,4.4,10.4,191,886,848,1039,0,995,46.1035179842329,10.005,15,,
2015,1,1,11,0,25.6,13,6.5,10,243,810,791,1035,0,994.5,46.217108975531,9.223,12,,
2015,1,1,12,0,26.6,58,5.2,9.6,210,844,795,1006,0,993.9,48.8503708213785,9.214,19,,
2015,1,1,13,0,26.8,78,1.7,9.6,125,949,812,937,0,993.5,61.2975216090976,9.326,30,,
2015,1,1,14,0,26.5,89,0.1,9.8,84,968,709,793,0,993.3,80.2112751045553,9.288,43,,
2015,1,1,15,0,26,97,3.3,10.1,111,799,463,574,0,993,92.4352416717451,9.064,55,,
2015,1,1,16,0,24.7,104,2.8,10.7,82,720,274,357,0,993.1,94.4963123578451,8.669,68,,
2015,1,1,17,0,22.7,111,48.4,11.6,32,261,82,114,0,993.5,91.3971810272964,7.944,80,,
2015,1,1,18,0,20.6,119,27.1,12.6,7,0,0,7,0,993.8,92.0266496754254,7.522,91,,
2015,1,1,19,0,19.3,128,0,12.9,0,0,0,0,0,994.1,97.847373568288,7.323,101,,
2015,1,1,20,0,18.6,139,0,12.9,0,0,0,0,0,994.3,100.013358471935,6.719,111,,
2015,1,1,21,0,17.9,152,0,12.8,0,0,0,0,0,994.4,95.1664011621619,5.963,118,,
2015,1,1,22,0,17.3,167,0,12.8,0,0,0,0,0,994.4,93.4131992016552,5.531,122,,
2015,1,1,23,0,16.8,-177,0,12.8,0,0,0,0,0,994.1,93.3374271351298,5.506,123,,
2015,1,2,0,0,16.4,-161,1.3,12.9,0,0,0,0,0,993.8,94.3303576527183,5.367,121,,
2015,1,2,1,0,16.1,-147,45.5,12.9,0,0,0,0,0,993.7,75.993509845947,5.148,116,,
2015,1,2,2,0,16.1,-135,70.1,12.9,0,0,0,0,0,993.9,89.0343942465285,5.222,108,,
2015,1,2,3,0,16,-125,53.2,12.9,0,0,0,0,0,994,75.6812706340315,5.036,98,,
2015,1,2,4,0,16.5,-116,48,13.1,25,0,0,25,0,994.4,54.7412236073799,5.266,87,,
2015,1,2,5,0,17.4,-108,63.2,13.5,67,0,0,67,0,994.8,42.1000794821676,6.594,76,,
2015,1,2,6,0,18.3,-101,70.4,14,125,0,0,125,0,995.3,42.6386508751619,7.333,63,,
2015,1,2,7,0,19.4,-94,65.3,14.1,223,0,0,223,0,995.5,41.6335974007616,8.218,51,,
2015,1,2,8,0,20.4,-86,62,14,310,0,0,310,0,995.4,34.6910152197231,9.231,39,,
2015,1,2,9,0,21.5,-73,60.4,13.9,379,0,0,379,0,995.3,40.4634279775119,10.118,26,,
2015,1,2,10,0,22.3,-46,59.3,13.8,423,2,2,425,0,995.1,44.2811881895826,11.133,16,,
2015,1,2,11,0,22.7,12,39.7,13.7,537,111,108,645,0,994.8,53.2264028444405,11.782,12,,
2015,1,2,12,0,23.2,57,16,13.7,400,498,463,863,0,994.5,81.4607008649163,11.83,19,,
2015,1,2,13,0,23.3,78,5.7,13.3,218,770,658,877,0,994.4,88.6814101506146,12.083,30,,
2015,1,2,14,0,23.1,89,4.8,12.7,172,775,569,742,0,994.5,93.8812251733675,11.753,43,,
2015,1,2,15,0,22.8,97,5.2,12.1,146,716,408,554,0,994.6,100.075723174202,10.882,55,,
2015,1,2,16,0,21.8,104,2.1,11.6,87,703,268,355,0,995.1,108.118814053024,10.099,68,,
2015,1,2,17,0,20.2,111,13.2,11.2,57,285,83,141,0,995.8,116.01746219425,9.448,80,,
2015,1,2,18,0,18.6,119,7.4,10.8,20,17,2,22,0,996.6,118.104229298123,8.966,91,,
2015,1,2,19,0,17.6,128,0,10.5,0,0,0,0,0,997.3,122.520917738874,8.999,101,,
2015,1,2,20,0,17,139,0,10.3,0,0,0,0,0,997.9,127.621886074372,9.071,111,,
2015,1,2,21,0,16.6,151,0,10.2,0,0,0,0,0,998.5,144.07266278543,8.712,118,,
2015,1,2,22,0,16.1,166,0,10.1,0,0,0,0,0,998.8,148.106885252518,8.952,122,,
2015,1,2,23,0,15.5,-177,0.6,10.1,0,0,0,0,0,998.9,153.734887798977,8.619,123,,
2015,1,3,0,0,15,-161,33.4,10.1,0,0,0,0,0,998.9,136.720076427445,7.764,121,,
2015,1,3,1,0,14.6,-147,41.5,10.1,0,0,0,0,0,999.3,130.777794435972,6.772,116,,
