country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-33.609734,136.706349,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,17.7,-171,30.7,13.3,0,0,0,0,0,995,60.8576342688785,5.46519674519597,122,,
2015,1,1,1,0,17.2,-155,10.3,13.5,0,0,0,0,0,994.6,42.9109205147336,6.34665084910851,119,,
2015,1,1,2,0,16.6,-142,8.1,13.6,0,0,0,0,0,994.2,66.1443210168187,2.45244416938663,112,,
2015,1,1,3,0,16.7,-131,37,13.9,0,0,0,0,0,994.2,122.603164944224,1.8276641658192,103,,
2015,1,1,4,0,17.2,-121,58.1,14.4,2,0,0,0,0,994.5,154.201612969898,3.12444653188979,93,,
2015,1,1,5,0,17.8,-113,38.5,14.9,75,0,8,0,0,994.8,176.593185646787,4.34408363224954,82,,
2015,1,1,6,0,20,-105,15.2,14.8,139,310.97,137,34.41,0,994.9,193.906908285544,6.01265244256439,70,,
2015,1,1,7,0,23.4,-98,8.2,14.3,178,736.99,319,231.96,0,994.9,195.382974336517,5.06459021801648,58,,
2015,1,1,8,0,26.9,-90,2.7,13.8,141,893.06,590,461.49,0,994.9,188.269910666002,7.05817177239163,46,,
2015,1,1,9,0,29.4,-81,0,12.5,118,970.03,800,680.11,0,994.6,189.137089844299,9.83621623097567,34,,
2015,1,1,10,0,31.3,-64,1.6,10.6,160,1013.81,862,867.93,0,994.1,198.652166640225,11.0166573013877,22,,
2015,1,1,11,0,33,-24,7.8,8.7,297,241.34,716,693.1,0,993.6,198.779836839586,11.4779061635659,13,,
2015,1,1,12,0,34.1,33,5.5,7.6,249,1052.1,785,1094.06,0,993,201.85449181616,12.6346541469076,14,,
2015,1,1,13,0,34.6,67,2.2,7.2,177,685.43,824,1000.81,0,992.3,213.461967912359,14.3098680727844,23,,
2015,1,1,14,0,35,82,0.8,6.9,135,156.52,752,766.46,0,991.7,225.186076348151,15.0318595882661,35,,
2015,1,1,15,0,34.9,92,0,7.3,98,560.91,621,818.62,0,991.3,238.332040146514,15.1357094323722,48,,
2015,1,1,16,0,34.2,99,0,8.4,82,394.75,427,606.75,0,991.2,241.919653888939,14.9900616225676,60,,
2015,1,1,17,0,33.5,106,0,9.6,64,35.31,220,203.94,0,991.1,255.108257783915,15.5370642703414,72,,
2015,1,1,18,0,31.9,114,0,9.4,28,115.28,56,47.01,0,991.3,262.458687075165,16.0135090355272,84,,
2015,1,1,19,0,29.7,122,0,8.2,5,0,2,45.4,0,991.8,271.596595529545,14.0054372979018,95,,
2015,1,1,20,0,27.3,132,0,6.8,0,0,0,0,0,992.2,269.688585015738,14.3985831599419,105,,
2015,1,1,21,0,26.1,144,0,6.5,0,0,0,0,0,992.4,269.594702780724,14.3672118634843,113,,
2015,1,1,22,0,25.7,158,0,7,0,0,0,0,0,992.2,272.428036216789,14.9199128756781,119,,
2015,1,1,23,0,25.4,173,0,7.5,0,0,0,0,0,992,275.163967081,14.0570547756813,123,,
2015,1,2,0,0,25.2,-171,0,7.5,0,0,0,0,0,991.8,278.810144775811,13.2107586180538,122,,
2015,1,2,1,0,25,-155,0,7.1,0,0,0,0,0,991.5,285.14300097079,7.74558048546478,119,,
2015,1,2,2,0,24.8,-142,0,6.6,0,0,0,0,0,991.3,288.001797014239,6.5471324457218,112,,
2015,1,2,3,0,24.8,-131,0,6.2,0,0,0,0,0,991.4,284.896563196974,5.92578629903434,104,,
2015,1,2,4,0,25,-121,0,5.8,1,0,2,0,0,991.8,296.195960486768,5.43302917063296,93,,
2015,1,2,5,0,25.2,-113,0,5.5,31,0,85,0,0,992.2,308.876875766239,4.81697717157284,82,,
2015,1,2,6,0,27.3,-105,0,5.3,59,0,267,13.26,0,992.5,311.89891129499,4.90158764956978,71,,
2015,1,2,7,0,30.8,-98,0,5.3,72,4.92,483,70.8,0,992.7,316.619286511598,3.12789211393141,58,,
2015,1,2,8,0,34.4,-90,0,5.2,83,63.12,683,112.04,0,992.9,316.504690251933,3.99537876188889,46,,
2015,1,2,9,0,36.4,-81,0.9,4.9,114,77.62,815,432.49,0,992.7,50.3950414844449,7.29166826246612,34,,
2015,1,2,10,0,37.2,-64,0.5,4.3,114,520.68,940,735.26,0,992.2,90.011627837788,5.28366275665867,22,,
2015,1,2,11,0,37.8,-24,0,3.7,108,1036.26,1013,1005.91,0,991.7,112.852754129156,5.61576163254897,13,,
2015,1,2,12,0,38.4,32,0,3.4,110,1051.02,1004,1092.37,0,991.2,145.260240719956,7.56007053846079,14,,
2015,1,2,13,0,38.9,67,0,3.3,110,1055.1,933,1114.51,0,990.6,176.135388592355,8.73233538879645,23,,
2015,1,2,14,0,39.3,82,0,3.3,106,1048.47,804,1069.98,0,990.1,246.091140437466,6.11615683202631,35,,
2015,1,2,15,0,38.9,92,0,5.7,98,1030.56,632,962.85,0,989.8,281.435116159091,8.3910485326568,48,,
2015,1,2,16,0,37.8,99,0,10.1,86,997.82,429,801.66,0,989.7,287.612135659007,7.56380320597427,60,,
2015,1,2,17,0,36.7,106,0,14.5,68,409.08,218,496.43,0,989.6,265.871914757445,9.23321655489911,72,,
2015,1,2,18,0,34.5,114,0,14.8,30,845.25,54,375.23,0,989.6,258.106178714907,15.3207707235924,84,,
2015,1,2,19,0,31.5,122,0,12.1,5,629.62,2,149.97,0,989.8,313.7721803828,8.0163741376412,95,,
2015,1,2,20,0,28.4,132,0,8.9,0,0,0,0,0,990,303.418223855214,8.09676335824595,105,,
2015,1,2,21,0,26.2,144,0,8.4,0,0,0,0,0,990,290.443601322836,9.32190360140626,113,,
2015,1,2,22,0,24.7,157,0,9.9,0,0,0,0,0,989.7,289.986435034312,10.7154657034214,119,,
2015,1,2,23,0,23.4,173,0,11.7,0,0,0,0,0,989.5,288.479024566073,12.0747645822558,123,,
2015,1,3,0,0,23.2,-171,0,11.1,0,0,0,0,0,989.2,296.973882528324,12.2286881751407,122,,
2015,1,3,1,0,24.1,-155,0,8.7,0,0,0,0,0,988.8,33.0123271811932,14.4134017768594,119,,
2015,1,3,2,0,25,-142,0,6.2,0,0,0,0,0,988.4,45.5793064619997,9.38692830024788,112,,
2015,1,3,3,0,25.8,-131,0,4.9,0,0,0,0,0,988.5,72.1558388748518,9.91613925284816,104,,
2015,1,3,4,0,26.5,-121,0.3,4.5,1,0,0,0,0,989,82.5400341885477,10.6449896443173,94,,
2015,1,3,5,0,27.2,-113,14.8,4.3,73,0,8,0,0,989.6,90.0874963266709,10.6706811182531,82,,
2015,1,3,6,0,28.4,-105,8.3,5.2,105,0,181,18.47,0,990.2,95.0641070217096,10.4544015255575,71,,
2015,1,3,7,0,30.2,-98,0.1,7,121,99.51,395,66.29,0,991,102.464742957175,9.92080711413162,59,,
2015,1,3,8,0,31.9,-90,3.1,8.9,189,90.41,505,181.21,0,991.8,113.910644663595,8.73319962282033,46,,
2015,1,3,9,0,32.3,-81,7.3,10.1,273,101.51,552,261.29,0,992.3,110.39640350391,9.95222505410417,34,,
