country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-32.955673,137.615433,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,20.2,-170,0,14.7,0,0,0,0,0,995.6,299.509338378906,9.36474465089107,123,,
2015,1,1,1,0,19.6,-154,0.1,15.1,0,0,0,0,0,995.1,298.789794921875,10.793029454494,119,,
2015,1,1,2,0,19,-141,7.1,15.5,0,0,0,0,0,994.7,316.389373779297,10.0387361053867,112,,
2015,1,1,3,0,18.8,-130,11.4,15.7,0,0,0,0,0,994.7,333.80615234375,9.09982093971148,103,,
2015,1,1,4,0,18.9,-120,33.9,15.9,3,0,0,3,0,995,8.53781127929688,8.28750166944169,93,,
2015,1,1,5,0,19,-112,44.8,16.1,64,0,0,64,0,995.4,73.0331115722656,11.2304439989427,82,,
2015,1,1,6,0,20.8,-105,42.5,15.8,182,0,0,182,0,995.6,91.245361328125,12.1567878970519,70,,
2015,1,1,7,0,23.8,-98,61.6,15.2,191,1,1,192,0,995.7,97.2048950195313,11.7961518801375,58,,
2015,1,1,8,0,26.9,-91,46.9,14.5,374,54,41,416,0,995.7,102.756469726563,11.3860374811964,45,,
2015,1,1,9,0,29,-81,34.2,13,556,54,45,601,0,995.5,107.406463623047,10.0770498485833,33,,
2015,1,1,10,0,30.4,-64,18.8,11,427,434,415,843,0,995,99.1389770507812,13.1603949174092,21,,
2015,1,1,11,0,31.7,-21,11.4,9,376,602,587,963,0,994.5,104.3671875,12.5601555665382,12,,
2015,1,1,12,0,32.9,37,8,7.1,310,705,681,991,0,993.9,115.362731933594,10.6652023131907,14,,
2015,1,1,13,0,33.9,70,5.2,5.2,244,778,708,952,0,993.3,124.807067871094,9.38654369872612,24,,
2015,1,1,14,0,34.9,84,1.8,3.4,162,867,693,855,0,992.6,130.990051269531,8.98912819208621,36,,
2015,1,1,15,0,35.1,93,1.7,3.3,125,843,559,684,0,992.2,143.568725585938,7.95500040080773,49,,
2015,1,1,16,0,34.8,100,1,4.6,95,789,381,476,0,992.1,146.248779296875,7.72406124280506,61,,
2015,1,1,17,0,34.4,107,0,6.1,61,651,198,259,0,991.9,118.08740234375,10.1962254216051,73,,
2015,1,1,18,0,32.7,115,0,7.8,23,221,47,69,0,992.1,122.08740234375,9.85021205033931,85,,
2015,1,1,19,0,30.2,123,0,9.6,2,7,1,3,0,992.6,117.280303955078,10.6925632686533,96,,
2015,1,1,20,0,27.5,133,0,11.4,0,0,0,0,0,993.1,117.965270996094,11.3857050463601,106,,
2015,1,1,21,0,26,144,0,12.3,0,0,0,0,0,993.2,125.114868164063,11.2129716281754,114,,
2015,1,1,22,0,25.2,158,0,12.6,0,0,0,0,0,993.1,139.561218261719,8.70587612164123,120,,
2015,1,1,23,0,24.6,174,0,12.7,0,0,0,0,0,993,140.516906738281,7.36946640346759,123,,
2015,1,2,0,0,24.3,-170,0,12.6,0,0,0,0,0,992.8,144.632354736328,6.84592007112674,123,,
2015,1,2,1,0,24.2,-154,0,12.2,0,0,0,0,0,992.6,135.211090087891,6.70758232673228,119,,
2015,1,2,2,0,24.2,-141,0,11.9,0,0,0,0,0,992.4,133.455078125,7.3712428264152,112,,
2015,1,2,3,0,24.4,-130,0,11.5,0,0,0,0,0,992.6,158.110717773438,6.89669896418741,103,,
2015,1,2,4,0,24.6,-120,0.2,11.2,3,9,1,4,0,993,180.372863769531,6.62617457073069,93,,
2015,1,2,5,0,24.8,-112,9.2,10.9,59,192,42,101,0,993.5,124.283874511719,3.67332965697588,82,,
2015,1,2,6,0,26.4,-105,5.2,10.4,76,631,239,315,0,993.9,67.5850524902344,14.6686759073234,70,,
2015,1,2,7,0,28.9,-98,3.9,9.8,123,767,404,527,0,994.1,73.3558349609375,13.9137039742437,58,,
2015,1,2,8,0,31.6,-91,2.3,9.1,113,892,634,746,0,994.3,86.6951904296875,11.547933088403,45,,
2015,1,2,9,0,32.7,-81,4.7,9.3,187,843,699,885,0,994.2,87.7693176269531,9.9644950610546,33,,
2015,1,2,10,0,32.7,-64,4.3,10,191,874,815,1006,0,993.7,88.2662963867188,9.08261438328877,21,,
2015,1,2,11,0,32.6,-21,4.9,10.8,216,860,837,1053,0,993.1,79.9389038085937,9.92046747795546,12,,
2015,1,2,12,0,32.8,36,2.2,10.9,157,949,918,1074,0,992.6,75.78955078125,10.5412338803852,14,,
2015,1,2,13,0,33.3,70,0,10.3,104,1011,921,1025,0,992,72.0436096191406,11.2748732687282,24,,
2015,1,2,14,0,33.8,84,2,9.8,134,916,741,875,0,991.5,68.9216613769531,11.3145100297239,36,,
2015,1,2,15,0,33.9,93,1.1,9.8,108,901,592,700,0,991.1,67.8762512207031,10.4315512765358,49,,
2015,1,2,16,0,33.7,100,0,10.4,76,853,416,493,0,990.9,63.7567443847656,9.6550173244511,61,,
2015,1,2,17,0,33.5,107,0,10.9,58,680,207,265,0,990.7,60.1603698730469,9.55647149410121,73,,
2015,1,2,18,0,32.6,114,0,11.2,23,232,49,71,0,990.6,61.140380859375,9.76728726479435,85,,
2015,1,2,19,0,31.1,123,0,11.1,2,8,1,3,0,990.6,63.729248046875,9.83640523204427,96,,
2015,1,2,20,0,29.5,132,0,11.1,0,0,0,0,0,990.6,63.5101013183594,10.2406373538637,106,,
2015,1,2,21,0,28.3,144,0,11.3,0,0,0,0,0,990.5,63.33740234375,10.2890720289645,114,,
2015,1,2,22,0,27.3,158,0,11.8,0,0,0,0,0,990.4,61.5614318847656,10.4828342753713,120,,
2015,1,2,23,0,26.4,174,0,12.2,0,0,0,0,0,990.3,60.8516845703125,9.87541106520184,123,,
2015,1,3,0,0,26.2,-170,0,12.3,0,0,0,0,0,990.1,59.3355712890625,9.52887486744412,123,,
2015,1,3,1,0,26.6,-154,0,12,0,0,0,0,0,990,60.6947631835938,8.86067649930899,119,,
2015,1,3,2,0,27.1,-141,0,11.6,0,0,0,0,0,989.8,63.9429626464844,8.89929009598249,112,,
2015,1,3,3,0,27.6,-130,0,11.9,0,0,0,0,0,990,69.0382995605469,9.15938574323264,104,,
