Location,Mean wspd,CoV
KF249,10.27,0.458
KF250,10.0,0.46
KF251,9.76,0.466
KG249,9.92,0.448
KG250,9.63,0.44
KG251,9.39,0.438
KG252,9.25,0.462
KG253,9.23,0.469
KH248,10.13,0.449
KH249,9.72,0.445
KH250,9.54,0.433
KH251,9.24,0.434
KH252,9.21,0.44
KH253,9.22,0.447
KH254,9.22,0.454
KI248,10.15,0.461
KI249,9.78,0.436
KI250,9.51,0.429
KI251,9.26,0.434
KI252,9.53,0.438
KI253,9.77,0.449
KI254,9.84,0.472
KI255,9.41,0.488
KI256,8.75,0.498
KJ248,10.12,0.475
KJ249,9.86,0.449
KJ250,9.72,0.437
KJ251,9.8,0.444
KJ252,10.17,0.455
KJ253,10.41,0.468
KJ254,10.39,0.49
KJ255,10.13,0.504
KJ256,9.75,0.516
KJ257,9.26,0.526
KK248,10.01,0.49
KK249,9.91,0.47
KK250,10.26,0.457
KK251,10.46,0.466
KK252,10.55,0.477
KK253,10.97,0.497
KK254,10.96,0.503
KK255,10.96,0.503
KK256,10.81,0.532
KK257,9.7,0.564
KK258,7.95,0.538
KK259,7.36,0.549
KL254,11.18,0.514
KL255,11.24,0.523
KL256,11.33,0.537
KL257,10.95,0.574
KL258,8.75,0.566
KL259,7.95,0.566
