Datetime-local,electricity,irradiance_direct,irradiance_diffuse,temperature,zenith,DNI,GHI
2019-01-01 00:00:00,0.0,0.0,0.0,15.039,90.0,0.0,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,15.135,90.0,0.0,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,15.134,90.0,0.0,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,15.165,90.0,0.0,0.0
2019-01-01 04:00:00,0.0,0.001,0.0,15.259,90.0,1.0,6.123233995736766e-17
2019-01-01 05:00:00,0.168,0.165,0.035,15.777,89.1749295300443,165.0,37.37595026611505
2019-01-01 06:00:00,0.358,0.312,0.104,16.452,79.29484899967403,312.0,161.95554546320574
2019-01-01 07:00:00,0.5730000000000001,0.528,0.159,16.954,68.46319777327753,528.0,352.8281542123053
2019-01-01 08:00:00,0.6950000000000001,0.665,0.194,17.309,57.22712677725636,665.0,553.971271029071
2019-01-01 09:00:00,0.629,0.478,0.288,17.452,45.87790686744475,478.0,620.7786540600825
2019-01-01 10:00:00,0.604,0.344,0.387,17.57,34.8047768642634,344.0,669.4589589115978
2019-01-01 11:00:00,0.634,0.355,0.419,17.751,24.837181280140314,355.0,741.1643069344423
2019-01-01 12:00:00,0.6940000000000001,0.472,0.39,18.027,18.286681526450423,472.0,838.1632636416007
2019-01-01 13:00:00,0.67,0.442,0.386,18.275,19.22856461299517,442.0,803.3418355178084
2019-01-01 14:00:00,0.679,0.514,0.326,18.412,26.87402565290816,514.0,784.4893074875868
2019-01-01 15:00:00,0.611,0.453,0.291,18.235,37.20978892386243,453.0,651.7812549074253
2019-01-01 16:00:00,0.529,0.399,0.233,17.924,48.393991463326536,399.0,497.9378472307449
2019-01-01 17:00:00,0.396,0.299,0.165,17.527,59.74907167544602,299.0,315.63260396248506
2019-01-01 18:00:00,0.32,0.286,0.087,17.008,70.92557488416821,286.0,180.46367698981697
2019-01-01 19:00:00,0.119,0.131,0.016,16.386,81.62819956827494,131.0,35.07309112625559
2019-01-01 20:00:00,0.0,0.0,0.0,15.916,90.0,0.0,0.0
2019-01-01 21:00:00,0.0,0.0,0.0,15.673,90.0,0.0,0.0
