country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-40.72953958,144.6938711,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13.5,-163,65.9,9.6,0,0,0,0,0,1004.9,79.6604831359434,14.7647638519951,114,,
2015,1,1,1,0,13.6,-149,77.1,10.1,0,0,0,0,0,1004.5,72.3498757800699,11.5433963806152,109,,
2015,1,1,2,0,13.7,-137,84.6,10.6,0,0,0,0,0,1004,69.7435378254769,11.1922126945479,103,,
2015,1,1,3,0,13.8,-126,83.4,11.2,0,0,0,0,0,1004.2,72.8073100114546,11.1219733461691,94,,
2015,1,1,4,0,13.9,-116,88.6,11.8,5,0,0,5,0,1004.7,71.3582081063007,10.9494577491308,84,,
2015,1,1,5,0,14,-107,84.8,12.5,38,0,0,38,0,1005.2,71.5885921331649,9.61727822010296,74,,
2015,1,1,6,0,14.3,-98,87.3,13.1,47,0,0,47,0,1005.9,70.550347987396,8.25879407743266,63,,
2015,1,1,7,0,14.7,-88,94.8,13.5,30,0,0,30,0,1006.7,66.3305491865723,8.18887453273628,51,,
2015,1,1,8,0,15.2,-77,88.8,14,94,0,0,94,0,1007.5,70.1678701497816,8.10574641843674,40,,
2015,1,1,9,0,15.6,-61,74.3,13.3,241,2,2,243,0,1007.9,80.2175929681927,7.35696948478108,30,,
2015,1,1,10,0,16,-35,43.8,11.9,495,90,85,580,0,1008.1,88.1523897340054,7.75403120963541,22,,
2015,1,1,11,0,16.3,5,17.8,10.3,441,453,429,870,0,1008.2,89.2799954118582,6.96304827996751,19,,
2015,1,1,12,0,16.5,41,4,9.1,194,870,795,989,0,1008.4,94.0060428527029,7.69379534499935,23,,
2015,1,1,13,0,16.4,65,0,8.2,98,1003,848,945,0,1008.7,99.1623470457217,7.85015923405379,32,,
2015,1,1,14,0,16.4,80,0,7.3,86,986,722,808,0,1009.1,108.379737352126,8.2061152868229,43,,
2015,1,1,15,0,16,91,0,6.8,77,939,552,629,0,1009.3,116.363990308016,7.96605128068686,54,,
2015,1,1,16,0,15.5,100,0.2,6.7,68,839,356,424,0,1009.6,146.368337973144,6.81588719485256,65,,
2015,1,1,17,0,14.9,109,10.2,6.6,75,427,127,202,0,1009.9,182.943614188721,7.05934140727047,76,,
2015,1,1,18,0,14.1,118,6.3,6.6,29,79,14,43,0,1010.2,195.625295067766,11.3702030717147,87,,
2015,1,1,19,0,13,128,32.9,6.6,0,0,0,0,0,1010.6,202.717997214505,12.9144451343543,96,,
2015,1,1,20,0,12,139,22.3,6.6,0,0,0,0,0,1011,201.727448164775,14.3844424107651,104,,
2015,1,1,21,0,11.5,152,31.7,6.7,0,0,0,0,0,1011,198.113456880288,16.2029813975865,111,,
2015,1,1,22,0,11.3,167,20.6,6.9,0,0,0,0,0,1010.8,193.100631075193,16.7099068794774,115,,
2015,1,1,23,0,11.1,-178,33,7.1,0,0,0,0,0,1010.5,200.100798581283,17.6767067143034,116,,
2015,1,2,0,0,11.1,-163,48.4,7.3,0,0,0,0,0,1010.2,202.460380449336,17.9625796261847,114,,
2015,1,2,1,0,11.1,-149,49.9,7.5,0,0,0,0,0,1010,203.045992124173,18.488022742225,109,,
2015,1,2,2,0,11.1,-137,29.6,7.7,0,0,0,0,0,1009.7,203.248759142721,18.7472937744644,103,,
2015,1,2,3,0,11.8,-126,32.8,8.3,1,0,0,1,0,1009.7,200.795057406167,18.2381098464522,94,,
2015,1,2,4,0,12.8,-116,31.2,9.1,54,4,1,56,0,1009.8,198.508234564559,18.5467897767844,85,,
2015,1,2,5,0,14,-107,17.7,9.9,126,214,72,199,0,1010,197.662590133025,19.9399903517775,74,,
2015,1,2,6,0,15.4,-98,35.8,10.9,220,120,40,261,0,1009.9,193.935115135467,20.6064829669516,63,,
2015,1,2,7,0,17,-89,43.3,11.8,356,0,0,356,0,1009.6,194.036263490529,20.8217037831779,52,,
2015,1,2,8,0,18.6,-77,39.5,12.8,474,4,4,478,0,1009.2,192.807381846997,20.6384839191567,40,,
2015,1,2,9,0,19.4,-61,26,13.3,490,211,189,679,0,1008.7,192.525138424617,20.8077112472059,30,,
2015,1,2,10,0,19.7,-35,24.4,13.3,558,201,184,742,0,1008.1,193.482361671994,20.6953272132583,22,,
2015,1,2,11,0,19.9,5,51.8,13.4,440,47,44,484,0,1007.4,194.330678729062,20.6552168993239,19,,
2015,1,2,12,0,20.1,41,52.6,13.5,461,0,0,461,0,1006.8,194.711558893232,19.2950448343075,23,,
2015,1,2,13,0,20.2,65,43.1,13.7,507,0,0,507,0,1006.1,195.030891133902,19.0388738030356,32,,
2015,1,2,14,0,20.4,80,36.9,13.9,468,9,6,474,0,1005.5,201.995412435242,18.5231994534007,43,,
2015,1,2,15,0,20.2,91,48.8,13.9,303,5,4,306,0,1004.8,205.316834771546,16.1649950308593,54,,
2015,1,2,16,0,19.9,100,64.8,13.8,139,0,0,139,0,1004.2,205.309242699833,13.7718702682349,65,,
2015,1,2,17,0,19.6,109,73.7,13.7,51,0,0,51,0,1003.6,206.745377699607,14.2214345960696,76,,
2015,1,2,18,0,19.5,118,68.5,13.7,10,0,0,10,0,1003.3,206.192107517582,13.73531101702,87,,
2015,1,2,19,0,19.7,128,44.6,13.8,0,0,0,0,0,1003.1,202.825177191695,16.111620209477,96,,
2015,1,2,20,0,19.9,139,44.8,13.9,0,0,0,0,0,1002.9,211.407467759521,12.1853187722702,104,,
2015,1,2,21,0,20,152,50.5,14,0,0,0,0,0,1002.5,254.194911307537,9.13279261811264,111,,
2015,1,2,22,0,20,166,18.1,14,0,0,0,0,0,1001.8,283.883708960155,14.7947364703157,115,,
2015,1,2,23,0,20.1,-178,0,14,0,0,0,0,0,1001.2,294.066464352379,16.7976691552546,116,,
2015,1,3,0,0,20.1,-163,0.6,13.9,0,0,0,0,0,1000.8,298.983845825677,16.6903547610523,114,,
2015,1,3,1,0,20.1,-149,33.4,13.6,0,0,0,0,0,1000.6,290.661620167364,16.6857200412,110,,
