country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-40.72953958,144.6938711,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13.5,-163,65.9,9.6,0,0,0,0,0,1004.9,12.3497053277115,10.232,114,,
2015,1,1,1,0,13.6,-149,77.1,10.1,0,0,0,0,0,1004.5,211.550674599474,9.737,109,,
2015,1,1,2,0,13.7,-137,84.6,10.6,0,0,0,0,0,1004,231.486010604155,9.361,103,,
2015,1,1,3,0,13.8,-126,83.4,11.2,0,0,0,0,0,1004.2,258.770072764921,9.094,94,,
2015,1,1,4,0,13.9,-116,88.6,11.8,5,0,0,0,0,1004.7,270.393285282398,8.457,84,,
2015,1,1,5,0,14,-107,84.8,12.5,38,152,0,35.8648257228468,0,1005.2,302.786004298264,7.804,74,,
2015,1,1,6,0,14.3,-98,87.3,13.1,47,268,0,154.025405438706,0,1005.9,340.094511391646,7.308,63,,
2015,1,1,7,0,14.7,-88,94.8,13.5,30,410,0,321.267153189996,0,1006.7,338.272607511157,6.714,51,,
2015,1,1,8,0,15.2,-77,88.8,14,94,492,0,492.851241979496,0,1007.5,343.472508728231,6.054,40,,
2015,1,1,9,0,15.6,-61,74.3,13.3,241,351,2,561.407011590224,0,1007.9,359.397356413973,5.951,30,,
2015,1,1,10,0,16,-35,43.8,11.9,495,291,85,639.289942804655,0,1008.1,25.5950036018069,5.855,22,,
2015,1,1,11,0,16.3,5,17.8,10.3,441,308,429,714.028424855445,0,1008.2,26.7619430339548,5.475,19,,
2015,1,1,12,0,16.5,41,4,9.1,194,339,795,759.620153375602,0,1008.4,23.9441876439532,5.172,23,,
2015,1,1,13,0,16.4,65,0,8.2,98,418,848,792.729291516568,0,1008.7,15.7234935794685,5.09,32,,
2015,1,1,14,0,16.4,80,0,7.3,86,430,722,740.999206618663,0,1009.1,18.6326136423061,5.12,43,,
2015,1,1,15,0,16,91,0,6.8,77,347,552,595.012415492037,0,1009.3,16.9953833168988,5.185,54,,
2015,1,1,16,0,15.5,100,0.2,6.7,68,382,356,493.658562750596,0,1009.6,17.9199445891049,5.491,65,,
2015,1,1,17,0,14.9,109,10.2,6.6,75,355,127,343.998007961165,0,1009.9,18.5622725338552,6.521,76,,
2015,1,1,18,0,14.1,118,6.3,6.6,29,279,14,181.196967869368,0,1010.2,19.7943387153377,7.408,87,,
2015,1,1,19,0,13,128,32.9,6.6,0,116,0,33.332338978601,0,1010.6,19.5656394766751,8.487,96,,
2015,1,1,20,0,12,139,22.3,6.6,0,0,0,0,0,1011,21.0347418361426,9.816,104,,
2015,1,1,21,0,11.5,152,31.7,6.7,0,0,0,0,0,1011,21.3787078689238,11.54,111,,
2015,1,1,22,0,11.3,167,20.6,6.9,0,0,0,0,0,1010.8,22.7927682763088,12.847,115,,
2015,1,1,23,0,11.1,-178,33,7.1,0,0,0,0,0,1010.5,23.2149754317871,13.791,116,,
2015,1,2,0,0,11.1,-163,48.4,7.3,0,0,0,0,0,1010.2,31.1618577867293,14.613,114,,
2015,1,2,1,0,11.1,-149,49.9,7.5,0,0,0,0,0,1010,32.0053777675332,14.975,109,,
2015,1,2,2,0,11.1,-137,29.6,7.7,0,0,0,0,0,1009.7,29.6283271044659,14.965,103,,
2015,1,2,3,0,11.8,-126,32.8,8.3,1,0,0,0,0,1009.7,36.2711749746847,15.371,94,,
2015,1,2,4,0,12.8,-116,31.2,9.1,54,0,1,0,0,1009.8,43.6409246726945,15.193,85,,
2015,1,2,5,0,14,-107,17.7,9.9,126,105,72,34.074273749277,0,1010,49.5992851632113,14.567,74,,
2015,1,2,6,0,15.4,-98,35.8,10.9,220,285,40,160.476850553579,0,1009.9,52.3657772804668,14.627,63,,
2015,1,2,7,0,17,-89,43.3,11.8,356,462,0,341.178790096706,0,1009.6,51.9430923294128,14.853,52,,
2015,1,2,8,0,18.6,-77,39.5,12.8,474,533,4,516.855551950851,0,1009.2,56.6176771263613,14.885,40,,
2015,1,2,9,0,19.4,-61,26,13.3,490,618,189,693.503294016451,0,1008.7,55.9989130203525,14.386,30,,
2015,1,2,10,0,19.7,-35,24.4,13.3,558,742,184,848.583101542119,0,1008.1,52.9837153249536,13.591,22,,
2015,1,2,11,0,19.9,5,51.8,13.4,440,766,44,943.191033060704,0,1007.4,53.3533749321833,13.062,19,,
2015,1,2,12,0,20.1,41,52.6,13.5,461,801,0,999.455430138936,0,1006.8,56.790144409532,12.975,23,,
2015,1,2,13,0,20.2,65,43.1,13.7,507,812,0,994.6102834397,0,1006.1,41.3972691431495,12.51,32,,
2015,1,2,14,0,20.4,80,36.9,13.9,468,820,6,941.358963754994,0,1005.5,33.9198283665528,11.501,43,,
2015,1,2,15,0,20.2,91,48.8,13.9,303,824,4,840.100195260088,0,1004.8,23.7937707765963,10.219,54,,
2015,1,2,16,0,19.9,100,64.8,13.8,139,725,0,649.704286769809,0,1004.2,21.9312883415158,8.391,65,,
2015,1,2,17,0,19.6,109,73.7,13.7,51,588,0,431.496013562813,0,1003.6,21.5409759185384,7.203,76,,
2015,1,2,18,0,19.5,118,68.5,13.7,10,366,0,203.160001168652,0,1003.3,19.4249405690435,5.589,87,,
2015,1,2,19,0,19.7,128,44.6,13.8,0,151,0,37.6303125113089,0,1003.1,15.4221613187387,5.336,96,,
2015,1,2,20,0,19.9,139,44.8,13.9,0,0,0,0,0,1002.9,18.434948822922,5.928,104,,
2015,1,2,21,0,20,152,50.5,14,0,0,0,0,0,1002.5,6.21066908825736,7.281,111,,
2015,1,2,22,0,20,166,18.1,14,0,0,0,0,0,1001.8,357.207297634287,9.568,115,,
2015,1,2,23,0,20.1,-178,0,14,0,0,0,0,0,1001.2,358.939088309736,10.251,116,,
2015,1,3,0,0,20.1,-163,0.6,13.9,0,0,0,0,0,1000.8,358.95837332399,8.816,114,,
2015,1,3,1,0,20.1,-149,33.4,13.6,0,0,0,0,0,1000.6,356.027504059249,6.615,110,,
