country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-40.76,144.75,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0,0,0,0,1001.6,212.267116394405,13.2936364804511,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0,0,0,0,1001.2,223.721039735125,13.3565592177123,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0,0,0,0,1000.7,238.474352223732,12.2633939213293,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0,0,0,0,1000.8,262.007848341803,14.5857409502959,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0,0,0,0,1001.2,291.980184924351,16.1154494408256,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,144,0,35.8812662571859,0,1001.7,341.742551781028,18.663496585062,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,250,0,150.948621072653,0,1002.3,339.721406078957,14.9271159729956,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,407,0,320.492792356097,0,1003,346.130719968945,16.9282919382028,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,486,0,490.93802230974,0,1003.7,358.899903065499,17.0050451101136,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,349,0,560.190385643815,0,1004,24.8567562905733,16.2888490547672,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,286,7,636.281862863695,0,1004.1,26.534734472228,15.7567986169471,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,307,353,713.154804003971,0,1004.2,26.1072950910531,15.5595527074144,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,353,734,767.871530491757,0,1004.4,16.5929250237637,15.6926731739016,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,444,628,808.164815284679,0,1004.7,18.3064649612765,16.0433083035124,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,459,606,756.708213678923,0,1005,17.3121523429565,16.7397041601063,43,,
2015,1,1,15,0,16.9,91,0,7,74,368,544,606.585636146439,0,1005.3,17.969620044607,17.5795627002517,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,398,349,502.093224495412,0,1005.7,18.0808874691632,17.6613247851761,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,362,117,346.33221354757,0,1006.1,19.808248408593,17.6507147476238,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,289,10,184.341336253704,0,1006.5,19.1128266486481,17.5040987635427,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,119,0,33.7254816936946,0,1006.9,21.693700159876,17.8721865628741,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0,0,0,0,1007.3,22.594565000866,18.1950484825417,104,,
