country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-21.5,119.99,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,334.8398825578766,8.825606667995663,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,346.10529961195573,9.390988641125414,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,350.69599218819127,9.30068525461891,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,353.82683362319466,8.16427079770962,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,359.57354472813097,8.742171893971248,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,355.5887552719994,9.7701383936872,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,490.07,0,114.29,0,1002.3,351.1759852242228,10.183395743956536,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,756.51,0,349.96,0,1003,349.4009136592835,9.16443119579604,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,871.82,0,587.34,0,1003.7,348.2045239943265,7.93142317785653,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,933.8,0,796.5600000000001,0,1004,294.95975518740045,5.92790666647011,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,969.4,7,958.81,0,1004.1,302.4762790537497,5.704189588745636,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,988.01,353,1060.22,0,1004.2,311.1210908037382,5.226366044162962,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,993.67,734,1092.51,0,1004.4,313.39704951567046,4.730368318509411,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,599.02,628,919.53,0,1004.7,319.7711799502745,4.256872726423257,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,491.51,606,804.25,0,1005,330.15583602522554,4.394987009070932,43,,
2015,1,1,15,0,16.9,91,0,7,74,363.81,544,626.4300000000001,0,1005.3,323.8028835553066,3.17492541347741,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,861.54,349,561.39,0,1005.7,328.6819766903219,3.3653465985999453,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,735.26,117,321.98,0,1006.1,323.1408649873201,3.124559859202647,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,436.64,10,90.58,0,1006.5,334.3699277164015,3.466038741653609,87,,
