country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-21.71,119.97,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,321.609101677791,8.934888091807894,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,328.830265101072,9.153825598107735,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,338.0654199334678,9.002310366828427,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,345.2135036109671,7.848343334294974,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,341.28588288080624,7.316732460950695,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,336.831204765219,7.75671331846304,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,510.92,0,116.88,0,1002.3,346.76164379621173,9.558926649833454,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,772.85,0,352.77,0,1003,349.2531503381378,10.464022734271328,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,885.33,0,589.46,0,1003.7,354.6406577624222,9.498825880007368,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,945.98,0,798.11,0,1004,304.4497542531258,6.440499328691756,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,980.9,7,960.0,0,1004.1,301.3451535904167,5.890165268215434,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,999.27,353,1061.33,0,1004.2,308.85333458095545,5.355650247853925,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1004.73,734,1093.49,0,1004.4,311.7566055696901,5.067813548741338,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,998.38,628,1053.91,0,1004.7,319.5007369281255,4.642851287735334,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,689.9,606,821.11,0,1005,331.4042699084485,4.732804494085922,43,,
2015,1,1,15,0,16.9,91,0,7,74,941.26,544,777.46,0,1005.3,327.4471242352589,3.280651235840913,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,876.15,349,564.3000000000001,0,1005.7,323.53076560994816,3.5750874115187727,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,752.99,117,325.38,0,1006.1,329.8698080895637,3.4862880280369306,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,459.05,10,93.3,0,1006.5,339.17733855395034,3.910932562341936,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,348.53890339582114,4.081383405373184,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,350.55168312399184,4.085919860742149,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,334.31177653980933,1.870888317834863,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,341.71717160543415,2.5462333236779253,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,317.7818438138564,2.354772252550368,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,320.70496716188745,1.9303969687380649,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,3.351008127348109,2.6081389518501825,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,26.22995495784619,4.194083257370176,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,53.82893657142267,5.899235207780472,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,73.44658171430524,6.078137813418292,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,104.4535663394463,6.192968384941209,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,522.67,0,117.11,0,1007,121.56938015342335,6.924140877746514,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,788.8000000000001,3,356.6,0,1006.8,127.5181002653261,8.029800871404081,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,382.76,148,482.44,0,1006.5,138.72204430322472,8.401686604215392,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,965.11,211,810.59,0,1006.1,135.2319323757268,8.519839253285857,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,1001.45,72,976.7,0,1005.5,134.31174528604117,7.358323844259094,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,1021.53,0,1081.89,0,1005,141.19490554464153,5.63370372427099,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,1024.54,1,1112.73,0,1004.4,138.48591747689022,4.006448591750822,23,,
