country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-21.8,118.55,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,329.49539161903635,11.580331505425171,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,333.72788432650754,10.933961094169478,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,324.91355418242495,9.84713420153943,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,325.2455516124701,11.149242889819748,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,329.981356536763,9.328298918046466,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,325.14781742879944,7.975640894552306,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,14.68,0,1002.3,318.76504493284386,6.350670811424123,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,96.03,0,1003,305.23237062679215,8.095150576657028,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,52.18,0,361.26,0,1003.7,305.17449234157186,9.403010491956918,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,263.28000000000003,0,555.8000000000001,0,1004,303.3482841509738,2.670447759673945,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,971.23,7,936.62,0,1004.1,297.5894272906217,2.0901516680249363,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,992.06,353,1044.23,0,1004.2,281.6260345774339,2.40175344777038,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,998.94,734,1083.09,0,1004.4,274.1475419606734,2.96926329195158,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,993.84,628,1050.59,0,1004.7,281.3941746723159,3.4395236412991945,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,975.73,606,949.4,0,1005,291.248551728222,3.944390664614896,43,,
2015,1,1,15,0,16.9,91,0,7,74,939.54,544,787.03,0,1005.3,296.73203714833386,3.455848142533964,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,331.82,349,434.32,0,1005.7,312.6449252237765,3.0326893558752577,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,0.0,117,151.19,0,1006.1,326.1544434110547,3.268651685097089,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,495.18,10,110.97,0,1006.5,336.2507005210198,3.5891936857173743,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,347.3406366301658,3.495215770892088,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,348.394471638208,2.9153453409813994,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,13.801216843187431,2.257403713058541,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,31.24741792448458,2.792873970439953,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,49.4895175501868,3.128114247243251,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,46.91470331120331,3.598698785611771,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,89.55030383042617,6.1124618657428575,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,104.76371490268156,7.232242697491163,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,114.72507368703089,6.023116355952121,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,124.81195849828772,5.3167418403796045,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,133.73034590504994,4.9054853383938255,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,467.14,0,94.32,0,1007,153.1283617922993,5.863921751445254,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,760.89,3,326.79,0,1006.8,160.0517779164188,6.096527152306801,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,298.82,148,419.74,0,1006.5,158.82450535370322,5.953209616845447,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,83.87,211,513.97,0,1006.1,157.50469315612236,5.394469005172075,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,95.01,72,607.33,0,1005.5,144.69282522652088,4.7247982864684674,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,1006.29,0,1057.02,0,1005,146.95278022042834,3.9613586748925154,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,1010.75,1,1094.51,0,1004.4,151.3218160887467,3.459646293939967,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1003.31,44,1059.95,0,1003.7,140.36879931240185,2.155701263921986,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,982.9,27,956.37,0,1003.1,114.263822639877,1.6066816973754148,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,946.49,52,793.15,0,1002.5,111.55788911266052,2.381334093484631,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,883.83,29,583.58,0,1001.9,104.22887452984212,2.542759944903627,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,767.76,21,346.63,0,1001.3,108.7636348376513,1.9430164579517148,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,0.0,12,29.27,0,1000.9,99.46232220802564,1.5206906325745548,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,0.0,0,0.0,0,1000.6,90.0,1.875,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,99.48592377416162,1.3030658203160497,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,336.9981160521764,0.5988528642212132,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,290.14738016676074,2.372662362420295,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,340.8654851453851,4.742420949772747,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,42.39726217862369,4.995750147797264,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,118.58818540416894,4.828941453236283,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,123.4090698534884,6.699744507764373,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,119.89988158488376,3.20159178124053,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,142.02425759319408,4.94810938077374,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,153.09799588554972,6.799831900273496,74,,
2015,1,3,6,0,21.7,-98,23,14,250,1.89,88,22.77,0,999.3,152.08773604315377,9.318015738074106,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,137.03,383,68.92,0,999.4,155.40360791408955,9.185994360461471,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,360.62,625,449.11,0,999.4,158.33333390557436,8.428732930097096,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,113.95,252,540.41,0,999.1,170.015560820279,5.581263909719721,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,979.12,286,946.37,0,998.6,169.15597643551007,4.888533895987764,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,510.04,671,835.14,0,998,160.62747766875123,4.087150479973402,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,1005.84,767,1095.01,0,997.5,182.6208892383772,2.733603009592352,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,567.66,591,865.39,0,996.9,208.01858104857897,2.203790297796868,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,103.28,181,313.0,0,996.3,237.15968272333865,1.6784964012489882,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,947.91,0,799.88,0,996.1,280.77515930917656,1.817289581534792,54,,
2015,1,3,16,0,22.8,100,97.8,13.9,10,80.37,0,146.85,0,996.3,304.3760750457405,1.7086678183927406,66,,
2015,1,3,17,0,21.6,109,85.7,14.2,14,0.0,0,179.07,0,996.5,323.83926699038733,1.8142381076093808,77,,
2015,1,3,18,0,20.6,118,57.3,14.3,6,0.0,0,30.22,0,997.1,308.0538399119231,2.1735050039314534,87,,
2015,1,3,19,0,19.7,128,69.2,14.1,0,0.0,0,0.0,0,998.1,314.82309225679967,2.9145206496723968,96,,
2015,1,3,20,0,18.8,140,83,13.8,0,0.0,0,0.0,0,999,334.0231672929464,3.497616323984913,104,,
2015,1,3,21,0,18.1,153,82.6,13.5,0,0.0,0,0.0,0,999.5,341.8577957232297,3.777546729497794,111,,
2015,1,3,22,0,17.6,167,62.2,13,0,0.0,0,0.0,0,999.7,353.1411819673373,4.025544050459942,115,,
2015,1,3,23,0,17,-178,50.8,12.6,0,0.0,0,0.0,0,999.8,17.046725890051732,4.515619926012316,116,,
2015,1,4,0,0,16.4,-163,51,12.5,0,0.0,0,0.0,0,1000.1,26.22513964625415,6.027417708129232,114,,
2015,1,4,1,0,15.7,-149,56.5,12.6,0,0.0,0,0.0,0,1000.6,35.73495939272618,6.854476263050149,109,,
2015,1,4,2,0,15.1,-137,53.6,12.8,0,0.0,0,0.0,0,1001.2,40.44313712165842,8.014207308642158,103,,
2015,1,4,3,0,14.7,-126,50.9,12.6,0,0.0,0,0.0,0,1002.1,43.44717263004623,8.524643562935568,94,,
2015,1,4,4,0,14.5,-116,62.8,12.2,23,0.0,3,0.0,0,1003.4,44.52657452384557,9.858982424061846,84,,
2015,1,4,5,0,14.3,-107,25,11.8,51,0.0,175,0.0,0,1004.7,59.08807430710249,12.253194719671194,74,,
2015,1,4,6,0,14.9,-98,1.9,11.1,84,450.76,372,90.83,0,1005.5,79.1829184642628,15.812957858328348,63,,
2015,1,4,7,0,16.1,-88,1,10.3,79,747.84,584,322.19,0,1006.1,92.9424500512622,13.11650634470366,51,,
2015,1,4,8,0,17.4,-76,0,9.5,70,869.1800000000001,775,559.37,0,1006.6,102.44467572430152,10.798423115324129,40,,
2015,1,4,9,0,17.9,-60,0,8.9,71,934.41,907,771.74,0,1007.1,99.10301645063498,7.374865740833989,30,,
2015,1,4,10,0,17.9,-34,0,8.4,72,971.72,987,939.25,0,1007.5,109.60549351466068,5.855460044063856,22,,
2015,1,4,11,0,17.9,5,0,8,72,991.48,1008,1047.5,0,1008,123.04471313139628,4.813922542941628,19,,
2015,1,4,12,0,18,41,0,7.6,72,310.15000000000003,971,787.87,0,1008.2,140.26149632416218,3.8554842004657006,23,,
2015,1,4,13,0,18.1,65,0,7.4,70,9.08,880,484.53,0,1008.4,148.8000696776827,3.0688657323606066,32,,
2015,1,4,14,0,18.2,80,0,7.1,66,115.32,741,220.26,0,1008.5,146.070966680109,2.561075460901616,43,,
2015,1,4,15,0,18,90,0,7.2,60,70.11,565,53.21,0,1008.7,187.51496088659857,1.2252763562948443,54,,
2015,1,4,16,0,17.4,100,0,7.6,53,2.61,368,271.67,0,1009,206.4874361068212,1.0778965981731403,66,,
2015,1,4,17,0,16.9,109,0,8,40,137.69,175,52.15,0,1009.3,122.39432151354674,1.1008114365218984,77,,
2015,1,4,18,0,15.8,118,0,8.4,12,0.0,39,21.53,0,1009.7,96.972793946921,1.1882930153967357,87,,
2015,1,4,19,0,14.5,128,0,8.8,0,0.0,0,0.0,0,1010.2,99.2925323781999,1.2309056018200453,96,,
2015,1,4,20,0,13,140,0,9.2,0,0.0,0,0.0,0,1010.7,112.50395347072156,1.314875831120914,104,,
2015,1,4,21,0,12.5,152,1,9.5,0,0.0,0,0.0,0,1010.9,215.5470471449244,2.0838442273648874,111,,
2015,1,4,22,0,12.7,167,51.6,9.6,0,0.0,0,0.0,0,1010.8,233.2484441222421,0.6000012798317179,115,,
2015,1,4,23,0,12.9,-178,61.9,9.8,0,0.0,0,0.0,0,1010.7,257.05599854773925,3.018943690437556,116,,
