country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-21.99,118.29,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,340.49163368014695,10.98567034428928,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,333.66908428922005,10.856394085269056,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,329.6121401542001,9.715522603223084,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,342.7033392609457,8.33514170114238,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,343.05670659190787,8.122173801796114,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,330.7971213406356,7.1325845821695335,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,8.2,0,1002.3,321.88647979237413,3.4522653369661134,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,124.95,0,86.12,0,1003,289.67961804057245,4.507076988852499,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,0.0,0,239.24,0,1003.7,281.9415318549287,8.294318255118265,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,375.24,0,622.25,0,1004,27.49363256035474,2.075622070324405,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,426.46,7,742.5500000000001,0,1004.1,269.14472104251587,1.72839046829345,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1001.8,353,1052.33,0,1004.2,269.32885282224703,2.202549534299478,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1008.38,734,1092.19,0,1004.4,283.87058304985607,2.4994846955650765,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1003.19,628,1060.43,0,1004.7,302.3506327325625,2.7550046514718813,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,518.15,606,817.88,0,1005,304.92291767768546,2.83855745850046,43,,
2015,1,1,15,0,16.9,91,0,7,74,97.94,544,267.45,0,1005.3,323.8031133793835,3.006966287678,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,11.7,349,316.39,0,1005.7,326.0572660773966,3.4966408487031453,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,139.41,117,52.94,0,1006.1,326.0572660773966,3.4966408487031453,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,2.25,10,39.12,0,1006.5,322.1518549050153,3.6735734366128585,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,324.26128183595074,3.6959968292823695,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,339.34958945244114,3.1508439948536378,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,356.1597823370948,2.756188462228133,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,8.600693859801197,4.298336643493336,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,30.20898840183673,3.127067016121848,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,104.87399211338584,6.515932900941763,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,98.97713185411652,6.243264629111974,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,100.572398445953,4.628355410678701,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,111.54283668572845,3.274534571224343,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,133.12020307952457,3.0392152502600127,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,149.8264602458139,3.470185843054826,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,475.89,0,93.79,0,1007,152.09931681530384,3.5068348269591225,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,772.4200000000001,3,328.19,0,1006.8,153.9361784533695,4.755401781189185,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,894.45,148,569.25,0,1006.5,155.9964385598446,5.199666233223445,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,958.63,211,784.44,0,1006.1,166.98172966959066,4.9506410199389626,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,541.6,72,817.84,0,1005.5,165.10856738495215,4.192402824711268,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,1014.91,0,1064.03,0,1005,163.4783264398651,2.818779549211526,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,1019.11,1,1102.54,0,1004.4,175.46395361656482,1.9067719136471275,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1011.62,44,1068.81,0,1003.7,173.05240846775416,1.0333874226720412,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,83.01,27,523.7,0,1003.1,101.81561380322889,0.4844655619486213,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,956.42,52,803.37,0,1002.5,90.0,1.2242005238172695,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,370.84,29,463.2,0,1001.9,84.16987922213309,1.2305656920759969,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,18.67,21,234.97,0,1001.3,92.11558854218504,0.6988774115024214,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,526.54,12,119.91,0,1000.9,247.17709755519888,1.0332971435213667,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,0.0,0,0.0,0,1000.6,247.43422122949767,1.628690615738645,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,235.5642968967935,1.9438326351035928,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,225.89537268945816,2.334868100572913,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,69.3386926868015,4.374761573421573,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,130.85074254447977,5.159834385735643,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,128.58396913171055,5.274672116213808,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,127.64332616586046,6.487509809599805,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,117.32708031923596,8.19877455141549,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,129.91001518370467,7.069396062785166,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,134.5912747482979,7.492130620365551,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,138.31405406221887,8.249328367068335,74,,
2015,1,3,6,0,21.7,-98,23,14,250,6.95,88,22.17,0,999.3,149.0337218648155,9.933644226897504,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,767.21,383,324.71,0,999.4,157.2201676598545,11.463567716014545,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,888.62,625,564.5500000000001,0,999.4,160.08322676989303,10.269001865410765,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,356.98,252,566.17,0,999.1,171.32799164289906,7.107049635981862,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,450.13,286,754.61,0,998.6,162.16081521102922,6.696990612308416,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,1007.51,671,1056.74,0,998,172.2203881864765,4.998403378822945,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,89.72,767,745.13,0,997.5,185.2028835270078,3.566292662703744,23,,
