country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-22.22,119.56,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,323.24579753008527,13.44873082017468,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,323.4521159883067,11.5928852316757,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,319.5237739563256,11.219971397898156,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,319.01218107234723,8.81004843660105,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,318.64817165226816,8.19305792430334,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,327.2923211391856,10.51533943461952,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,20.57,0,1002.3,333.4176898481685,9.624938201158033,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,251.38,0,253.82,0,1003,334.3959986582287,9.699196854906516,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,345.89,0,461.06,0,1003.7,335.2265005669075,9.934792061075276,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,953.72,0,798.1,0,1004,319.42867902565115,5.782659517659315,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,990.35,7,962.77,0,1004.1,307.03092854202043,4.994621742373095,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1010.59,353,1067.52,0,1004.2,306.72140012514825,4.631016813948607,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,758.03,734,984.2,0,1004.4,304.4875711912265,4.194427513486858,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1007.39,628,1061.03,0,1004.7,304.3242350016093,4.203499961771469,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,987.27,606,953.51,0,1005,309.743610691226,4.677383869589372,43,,
2015,1,1,15,0,16.9,91,0,7,74,383.52,544,615.35,0,1005.3,304.98357961427286,3.480037264722172,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,888.33,349,575.15,0,1005.7,327.4501080796334,4.146581891985315,66,,
