country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-22.35,119.9,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,320.2791824038569,15.258174291599522,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,320.50130887972244,12.779407281005788,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,327.3616915280857,10.670324894459617,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,320.68617150748224,9.674062606618453,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,317.4505325449616,9.991118776999707,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,322.22380208342827,8.993196646763193,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,2.22,0,39.86,0,1002.3,332.714993306272,10.3829845091717,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,783.57,0,356.89,0,1003,335.7764566553112,9.166823742338584,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,894.47,0,593.35,0,1003.7,329.5268691694785,8.398252020562886,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,955.81,0,802.78,0,1004,312.13922684101954,6.551853550011509,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,991.79,7,965.97,0,1004.1,312.45534060301094,5.75091346470164,21,,
