country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-22.58,118.82,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,328.77548935062777,10.795065336575382,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,330.82021691459124,10.886703701777584,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,319.4172371156722,10.812509817533677,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,318.8334231580783,13.328965846959546,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,324.50592289436383,12.742952157648595,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,319.196056361362,12.359368576745904,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,2.57,0,32.81,0,1002.3,311.2508126569397,12.009243478557888,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,357.41,0,261.93,0,1003,303.7288023573545,11.86239673791802,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,359.6,0,462.21,0,1003.7,294.60660377838894,11.95094799495028,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,980.03,0,809.41,0,1004,9.53999296380266,5.771995807733342,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,1014.67,7,977.54,0,1004.1,17.51233113572181,4.057959994645638,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1033.35,353,1085.26,0,1004.2,28.758679657440325,3.6354741577642953,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1037.59,734,1121.41,0,1004.4,15.549618515298732,2.1854141046617985,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,631.25,628,950.73,0,1004.7,348.9575324170951,1.7093604899968255,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,65.7,606,402.72,0,1005,335.93855898745693,2.1586530226332084,43,,
2015,1,1,15,0,16.9,91,0,7,74,48.04,544,422.13,0,1005.3,334.56919786855764,1.0752741596048423,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,377.42,349,477.29,0,1005.7,352.0399211651043,1.7378293414582733,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,127.36,117,55.43,0,1006.1,331.2081882197014,1.9968608908994123,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,0.0,10,29.99,0,1006.5,329.7962439951923,2.714616369435121,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,20.55390785716168,3.5989857667748946,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,35.53554367067409,3.5800143577068706,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,46.680079780491496,3.567103521194147,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,27.00012190094526,4.257406093132092,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,83.49138579932657,2.715685495207136,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,95.35763712403964,2.777486514802166,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,110.47402052845337,2.802955128753204,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,129.67322271996898,1.949979001844168,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,234.56328049811293,0.9371667130920776,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,237.2931197635116,1.2904573479151882,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,228.39882900260795,1.8250779524276937,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,74.49,0,41.03,0,1007,221.87846079903048,1.9438091325077032,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,0.0,3,97.43,0,1006.8,219.83668595503943,2.986654004172188,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,18.47,148,216.21,0,1006.5,206.83628357035056,3.1305302457017823,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,225.05,211,554.6800000000001,0,1006.1,219.72421111051747,1.7070562965909457,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,88.94,72,349.87,0,1005.5,181.12508987102737,1.2119786434889912,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,1040.23,0,1091.31,0,1005,170.48591188727232,0.9311808961883044,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,194.77,1,862.73,0,1004.4,256.85698627218824,0.7404815193062855,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,736.67,44,966.44,0,1003.7,306.3788808631181,0.7942461664809889,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,1016.33,27,984.52,0,1003.1,0.0,1.1105425023760114,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,170.01,52,592.75,0,1002.5,64.10145621963306,1.1116436126805924,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,20.34,29,299.28000000000003,0,1001.9,70.3598292933724,1.4445855538475865,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,816.74,21,365.07,0,1001.3,68.31564714754484,1.3140776653013346,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,561.76,12,123.46,0,1000.9,69.50211307078803,0.5900729170964449,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,0.0,0,0.0,0,1000.6,27.21711218826141,0.9351696655852008,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,52.967631059919256,2.698142844023291,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,50.123835122515175,3.164590053173016,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,112.2172261022052,2.327619519069522,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,149.4170611190375,2.5355399005810795,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,165.51712395563254,1.122412530682503,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,134.09468631405082,2.439170471400498,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,150.48353657390737,2.364739703886847,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,175.8271721524809,3.191289787574746,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,158.81198671650725,5.084365992485001,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,157.26952754473928,7.392196788280263,74,,
2015,1,3,6,0,21.7,-98,23,14,250,0.0,88,33.07,0,999.3,160.04477230648604,8.199844411092139,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,811.62,383,350.63,0,999.4,164.10132396324138,8.319120949238554,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,379.26,625,478.63,0,999.4,173.90172063553393,7.964336537369502,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,983.72,252,809.19,0,999.1,178.36034342582934,4.694987310344721,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,1018.16,286,978.5,0,998.6,173.50875458496785,3.745994988232684,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,1036.58,671,1087.24,0,998,179.67783722407228,3.481374995228437,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,1042.74,767,1126.4,0,997.5,188.41912381158755,3.217503353549564,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,698.23,591,956.09,0,996.9,226.32506354648592,2.0539272272652256,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,134.17000000000002,181,217.24,0,996.3,288.3709519562959,1.448838735079223,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,435.63,0,682.3000000000001,0,996.1,341.296249215484,1.9490138133862152,54,,
