country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-22.77,119.74,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,324.4849735299675,17.125771119233175,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,322.765230574138,13.387303035661228,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,313.0966227369729,12.450690988192866,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,311.8726390265742,13.366546869080452,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,308.2454689495121,12.681772581349572,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,319.1385231574403,13.493883806568851,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,2.18,0,43.91,0,1002.3,323.1936346071627,12.868753174985322,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,782.5600000000001,0,361.56,0,1003,321.6317597047008,11.84913564669,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,894.27,0,600.0500000000001,0,1003.7,319.5577937694728,10.546831874966784,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,955.38,0,810.74,0,1004,317.18044945655026,6.098477653983373,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,991.01,7,974.75,0,1004.1,317.801995937736,5.230633861806356,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1010.27,353,1078.19,0,1004.2,318.0575843380407,4.882511394983653,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1013.72,734,1109.34,0,1004.4,327.78820877638486,4.727665854395021,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,398.2,628,813.76,0,1004.7,332.5847605456792,4.372789865241818,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,159.62,606,646.34,0,1005,345.5394118378756,4.531963719364479,43,,
