country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-22.87,119.61,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,312.2951230813065,10.062105251877163,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,331.6991106884787,12.440926389174107,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,324.80209721714016,11.138653537930333,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,307.940927364543,12.290474444766188,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,307.4018791395654,13.675273090247586,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,314.8362728312103,14.24647480048992,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,2.28,0,43.3,0,1002.3,313.30886656167684,13.633636480424688,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,787.77,0,359.41,0,1003,311.65787275510326,12.41137031534034,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,899.76,0,597.54,0,1003.7,306.9134994782734,11.086280565171045,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,960.37,0,807.76,0,1004,345.6429421935269,7.378708939728715,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,995.56,7,971.53,0,1004.1,343.06990231192685,5.7738984432646365,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1014.46,353,1074.98,0,1004.2,344.7989779522093,5.24094425812326,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,650.9,734,974.23,0,1004.4,335.20086974035416,4.469321311161214,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,477.43,628,832.11,0,1004.7,346.00819747670545,3.946752144506378,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,522.01,606,814.32,0,1005,347.15705919245704,3.9861570732642337,43,,
2015,1,1,15,0,16.9,91,0,7,74,399.37,544,639.08,0,1005.3,359.2786088481499,2.69343125330923,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,0.0,349,212.4,0,1005.7,359.2048022040794,2.4434530959157805,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,126.24,117,54.06,0,1006.1,355.22500723308264,3.135883754882556,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,0.0,10,29.37,0,1006.5,334.46606056962486,3.135940242526796,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,333.1681304987424,4.202901286118532,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,343.535338439895,4.20722029241485,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,11.703007657262788,2.3561570939120986,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,25.16348667765345,4.758359028340211,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,74.2463367496041,5.147202223188771,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,86.64267430632043,6.396623003395798,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,79.9353180165121,6.3697075522263935,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,83.2453322316511,4.827669770114591,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,88.47093792650583,2.113130540945168,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,122.31514975720204,1.5313322829434612,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,127.67369312355532,1.69235611625933,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,92.64,0,44.93,0,1007,127.5539562295283,2.721720501343023,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,113.75,3,50.8,0,1006.8,138.58903473108762,2.832864627234419,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,384.35,148,481.08,0,1006.5,142.99876008377004,2.7171176310703684,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,347.12,211,581.8100000000001,0,1006.1,123.59156478662273,1.908640235539972,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,998.49,72,973.01,0,1005.5,136.84899234483288,1.4950145340960956,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,566.3000000000001,0,873.15,0,1005,170.7286116321145,1.1283042993188603,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,1020.24,1,1108.86,0,1004.4,242.05615991844792,0.6302667075269232,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1011.72,44,1068.88,0,1003.7,330.9863005127848,1.663404283350012,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,990.49,27,960.56,0,1003.1,332.7691801348634,2.1854279436047985,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,955.15,52,794.86,0,1002.5,29.25004055732842,1.3025113911627726,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,893.6,29,583.4,0,1001.9,27.024429541778773,1.2757286882951056,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,777.74,21,344.8,0,1001.3,9.309414051534532,1.3358115413940956,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,36.58,12,34.76,0,1000.9,328.0020848636102,1.9296055709717124,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,0.0,0,0.0,0,1000.6,316.1992620105995,3.4637969546927363,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,352.26282271265035,4.472499635314287,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,18.49804246641588,3.5110536651272777,111,,
