country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-24.32,117.89,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,96.26373098304111,10.178882153885327,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,100.1829225475152,13.89606063742974,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,106.89794141433184,16.875601066815097,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,120.3919751952468,16.90312454282227,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,128.3080624874608,15.882623543748489,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,131.84091861973286,14.81398077755324,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,45.28,0,36.41,0,1002.3,129.9022603120211,13.34163907588285,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,162.33,0,1003,126.79238800493177,10.668305951448254,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,907.79,0,586.45,0,1003.7,134.2496869697468,9.49526043992317,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,969.09,0,800.44,0,1004,23.123890963718225,7.492022452453912,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,523.79,7,811.08,0,1004.1,8.518461236534904,5.1231241077865,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,145.5,353,796.82,0,1004.2,3.907352861923528,5.623639850842407,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,33.19,734,621.42,0,1004.4,358.7593767867714,5.773333952354688,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,36.36,628,449.43,0,1004.7,2.674001916792861,5.829838132746708,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,55.46,606,529.79,0,1005,1.566375689562733,5.377009233178409,43,,
2015,1,1,15,0,16.9,91,0,7,74,422.93,544,681.76,0,1005.3,357.48846677339344,5.203488656287405,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,383.91,349,498.86,0,1005.7,6.449147829770368,5.105800122313824,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,66.6,117,276.78000000000003,0,1006.1,15.910905569688964,5.015643889221339,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,0.0,10,43.22,0,1006.5,20.76999343813833,5.080151298744347,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,24.388186519422504,5.021571016973332,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,31.66327547994205,5.364452653936595,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,34.09803597847514,5.993291762227298,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,32.90621509756977,3.871070994052634,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,66.34407621024411,5.1864766861308,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,54.685247851462464,5.253843860722453,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,45.39067952989302,4.627857127125544,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,28.145960528984176,1.7923176236058176,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,20.025767073358224,1.0950736918615296,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,324.6438083313782,0.4320343019995097,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,227.292092745304,0.5103283678064438,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,508.76,0,106.7,0,1007,227.92435071179463,1.218613769082656,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,0.0,3,110.06,0,1006.8,246.94114566314968,1.4466193559781293,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,902.36,148,581.52,0,1006.5,271.13925294317744,1.831400842356013,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,411.77,211,654.44,0,1006.1,260.39431554604244,1.983853464948881,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,1000.58,72,964.81,0,1005.5,254.3819044392959,2.130160366950577,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,631.74,0,948.01,0,1005,237.27568486886025,1.4686737146679096,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,1027.33,1,1117.81,0,1004.4,265.44255409442457,0.5532590173228114,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,647.45,44,964.41,0,1003.7,335.61515712192244,0.6055270059974773,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,561.88,27,859.0,0,1003.1,351.1358023716982,0.8111983774765519,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,441.15,52,693.73,0,1002.5,47.67407179757805,1.113838527586697,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,394.38,29,509.27,0,1001.9,58.73506096003655,1.9267965803753144,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,301.53000000000003,21,296.51,0,1001.3,72.26753188062082,2.46246495787676,77,,
