country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-24.42,117.76,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,93.17591534379278,11.697694164403917,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,96.45332476694824,13.474871965472715,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,110.3303932661513,17.695703106671495,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,120.64902470774882,17.268524000764394,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,129.87796421633595,15.874657647707542,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,133.01219194529915,14.206442398771102,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,33.2,0,1002.3,134.66599623094766,13.080552607185783,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,122.46,0,243.56,0,1003,135.18354080792415,11.723079812315008,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,906.98,0,583.74,0,1003.7,136.57049244967726,10.934666045037462,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,424.41,0,658.91,0,1004,19.827413752363952,6.625612556113116,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,88.42,7,374.45,0,1004.1,2.22375362700916,5.115980433743306,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,76.15,353,324.77,0,1004.2,0.2352007998809995,5.620756581506475,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,5.17,734,412.14,0,1004.4,0.8203804200175568,5.920134031868805,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,462.63,628,851.94,0,1004.7,2.889723539592524,5.842192434371276,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,193.87,606,684.44,0,1005,5.126280112729376,5.145581362760194,43,,
2015,1,1,15,0,16.9,91,0,7,74,332.56,544,598.24,0,1005.3,359.5389346834588,5.000161894229657,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,381.3,349,497.76,0,1005.7,9.716723706834443,4.945953422242684,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,809.77,117,383.95,0,1006.1,16.144338780283476,4.94501011121312,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,0.0,10,42.9,0,1006.5,22.717855662813577,4.970376425316292,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,27.01325723984246,5.336494570472746,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,29.892272453524413,5.535198823426066,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,23.68726303693193,4.377366234776398,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,50.12132857026808,4.143487196744317,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,53.81824562948316,3.850391198337007,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,41.718284126722494,4.791074698645277,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,24.033301454037822,4.057195562164309,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,358.51616406327133,2.941967598340565,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,356.25699418295403,2.5311438448051256,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,341.09121433770645,1.9286403923749167,84,,
