country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-24.52,117.75,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,91.9704253595113,12.855929208593002,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,94.41783653522276,13.67915569173674,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,112.11429108802383,17.77643349831987,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,120.94554574457987,16.88559892147452,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,128.83747407450477,15.967345293879022,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,132.2221362588728,13.744635062391769,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,51.99,0,37.49,0,1002.3,137.85361594654353,12.806794731416632,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,157.84,0,1003,138.5537939572573,11.66114616035216,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,113.1,0,427.58,0,1003.7,137.58387626076387,10.642569038865467,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,73.9,0,504.79,0,1004,15.019008979523846,6.891715732138394,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,97.18,7,634.35,0,1004.1,4.973582776918363,5.718008512080912,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,108.23,353,751.5,0,1004.2,357.7775275880952,5.754328502705609,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,13.06,734,337.02,0,1004.4,0.042419003721136,6.004447045230361,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,73.66,628,694.67,0,1004.7,2.4446730633552534,5.965244243409377,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,495.9,606,814.86,0,1005,5.015362513008881,5.310517278676092,43,,
2015,1,1,15,0,16.9,91,0,7,74,423.05,544,668.8000000000001,0,1005.3,359.53952526091183,5.000161479744264,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,54.6,349,433.35,0,1005.7,11.138226825099023,4.968588339755344,66,,
