country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-27.8,139.92,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,228.4306354382825,6.970334336826396,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,229.5592276821305,6.359247477048036,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,231.3967861468496,5.553367940690342,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,231.91122711902463,5.87632963677158,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,238.79784598421008,4.343133269420133,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,247.7509763427876,2.9712160810011783,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,245.6302513994134,2.508639232394568,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,230.79463582301284,2.626354603915843,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,751.98,0,350.73,0,1003.7,216.9758381897305,3.799179547838341,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,868.97,0,584.15,0,1004,205.18666286783423,4.359745007795048,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,933.12,7,793.13,0,1004.1,199.43042841587837,5.471761654656936,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,971.21,353,959.28,0,1004.2,199.50812175437787,5.930310841727778,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,992.75,734,1068.83,0,1004.4,195.78703248605703,5.6994927481291455,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,647.82,628,1004.38,0,1004.7,210.01644465553508,7.136946800838604,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,997.37,606,1085.54,0,1005,226.5442018496788,7.996571443198795,43,,
2015,1,1,15,0,16.9,91,0,7,74,980.49,544,990.77,0,1005.3,235.3898871713592,8.761148379976484,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,947.67,349,836.1,0,1005.7,248.86872742186404,10.382005696395352,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,891.11,117,634.46,0,1006.1,255.73955988739,11.91039964193837,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,790.04,10,403.57,0,1006.5,270.0666839962555,13.313031263027332,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,577.9300000000001,0,168.41,0,1006.9,267.13987932052976,12.918991446682725,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,270.0,11.957651417581284,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,274.1041801881024,9.771969350334642,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,263.91512685974976,3.021156032743177,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,267.3600403173538,4.239004461874752,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,275.089712216493,9.467081380136005,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,271.389760231668,10.3077849159441,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,289.728239760854,9.523887803868684,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,296.8357977553792,8.505931713520873,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,289.6938399644436,6.468223607431648,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,289.6938399644436,6.468223607431648,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,299.47901503523093,6.461536407619538,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,492.44,3,119.48,0,1006.8,340.48714810465145,7.484620016953269,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,753.35,148,349.56,0,1006.5,15.395225567085047,10.2264560691517,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,871.25,211,583.87,0,1006.1,0.7661937633944262,7.879839284469532,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,935.8,72,793.83,0,1005.5,321.7111681390238,7.350809048486791,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,974.19,0,961.01,0,1005,308.70518816333544,6.52235693730701,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,996.04,1,1071.58,0,1004.4,42.59818043979027,17.326195854548583,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1004.91,44,1116.05,0,1003.7,54.03303492075258,13.688068038656262,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,1003.41,27,1092.01,0,1003.1,50.71805201736066,11.17354004197759,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,990.56,52,1000.87,0,1002.5,44.02266827202914,11.00631974681533,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,961.97,29,848.5600000000001,0,1001.9,44.53358240423688,12.203843731259584,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,909.0,21,646.9300000000001,0,1001.3,44.52672696643464,12.027072979349851,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,343.58,12,333.45,0,1000.9,46.71539087367057,13.104151628750554,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,600.92,0,174.43,0,1000.6,47.52160226938452,12.934026330902832,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,56.87736279574267,14.118616301387434,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,57.21229785434917,13.554016355878854,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,54.53846329361011,12.651549916895622,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,51.834232281646734,11.675714215640356,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,44.53205299697902,10.82245542105268,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,42.48342843951605,10.63073430248884,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,43.11343857974703,10.739527328661758,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,41.74537503436534,10.460576901056278,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,42.1568718157601,10.191084270817967,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,43.6189586919067,11.002067057415712,74,,
2015,1,3,6,0,21.7,-98,23,14,250,0.0,88,0.0,0,999.3,44.87725056227282,11.592780066252798,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,116.47,383,59.86,0,999.4,45.30256182020969,12.034863000687055,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,301.52,625,265.72,0,999.4,45.974607136252246,12.669126375078914,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,383.95,252,476.35,0,999.1,39.62678283438822,12.800975126938384,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,401.3,286,647.61,0,998.6,46.67651848813847,13.407899637309848,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,973.43,671,959.37,0,998,53.221731055889,13.69485558213065,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,994.91,767,1069.97,0,997.5,60.42435587106991,13.968835878598304,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,1003.23,591,1114.3,0,996.9,78.88771607117457,13.802164815976695,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,648.63,181,977.14,0,996.3,90.73620514024566,13.989795150323424,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,979.16,0,991.06,0,996.1,93.9069871373788,13.645352406530876,54,,
2015,1,3,16,0,22.8,100,97.8,13.9,10,369.73,0,656.49,0,996.3,96.56544170693326,13.290678149117632,66,,
2015,1,3,17,0,21.6,109,85.7,14.2,14,13.52,0,314.13,0,996.5,97.77494183396476,12.821382363220408,77,,
2015,1,3,18,0,20.6,118,57.3,14.3,6,32.83,0,229.86,0,997.1,96.7731523278626,12.289285069468953,87,,
2015,1,3,19,0,19.7,128,69.2,14.1,0,0.0,0,48.35,0,998.1,93.27354534831392,11.632621374088462,96,,
2015,1,3,20,0,18.8,140,83,13.8,0,0.0,0,0.0,0,999,90.58044751225144,10.809442203438936,104,,
2015,1,3,21,0,18.1,153,82.6,13.5,0,0.0,0,0.0,0,999.5,96.5442421634051,11.756355462561856,111,,
2015,1,3,22,0,17.6,167,62.2,13,0,0.0,0,0.0,0,999.7,96.6861003859634,11.50801969809354,115,,
2015,1,3,23,0,17,-178,50.8,12.6,0,0.0,0,0.0,0,999.8,94.2136912322303,10.20734376212368,116,,
2015,1,4,0,0,16.4,-163,51,12.5,0,0.0,0,0.0,0,1000.1,88.25144286434704,9.34422744054771,114,,
2015,1,4,1,0,15.7,-149,56.5,12.6,0,0.0,0,0.0,0,1000.6,81.2463672735405,9.034993620704451,109,,
2015,1,4,2,0,15.1,-137,53.6,12.8,0,0.0,0,0.0,0,1001.2,81.09844509242168,8.659045206148326,103,,
2015,1,4,3,0,14.7,-126,50.9,12.6,0,0.0,0,0.0,0,1002.1,78.10554270150618,7.884157705115755,94,,
2015,1,4,4,0,14.5,-116,62.8,12.2,23,0.0,3,0.0,0,1003.4,81.10637669765129,7.049633584796219,84,,
2015,1,4,5,0,14.3,-107,25,11.8,51,0.0,175,0.0,0,1004.7,83.80870734988974,6.628538232090713,74,,
2015,1,4,6,0,14.9,-98,1.9,11.1,84,0.0,372,0.0,0,1005.5,84.2573483358766,6.246223943146698,63,,
2015,1,4,7,0,16.1,-88,1,10.3,79,108.9,584,57.4,0,1006.1,86.86975203285192,6.224162956469709,51,,
2015,1,4,8,0,17.4,-76,0,9.5,70,763.51,775,350.0,0,1006.6,103.57505377621952,6.007712114398786,40,,
2015,1,4,9,0,17.9,-60,0,8.9,71,877.86,907,584.45,0,1007.1,126.317145842436,7.53878221467274,30,,
2015,1,4,10,0,17.9,-34,0,8.4,72,937.95,987,792.73,0,1007.5,134.6035415913508,9.184575506319849,22,,
2015,1,4,11,0,17.9,5,0,8,72,973.43,1008,958.4,0,1008,135.34865977763025,8.64322935283657,19,,
2015,1,4,12,0,18,41,0,7.6,72,992.96,971,1067.54,0,1008.2,81.21172497699968,5.443037805393029,23,,
2015,1,4,13,0,18.1,65,0,7.4,70,999.3,880,1110.25,0,1008.4,90.7073578371526,4.769992680286916,32,,
2015,1,4,14,0,18.2,80,0,7.1,66,994.74,741,1084.11,0,1008.5,73.19326698637065,5.4842571606979496,43,,
2015,1,4,15,0,18,90,0,7.2,60,978.53,565,991.18,0,1008.7,83.10839815492045,5.630557504078109,54,,
2015,1,4,16,0,17.4,100,0,7.6,53,946.38,368,837.99,0,1009,96.1583034517564,5.209817091130264,66,,
2015,1,4,17,0,16.9,109,0,8,40,890.46,175,637.24,0,1009.3,87.39747688466383,5.755936839100737,77,,
2015,1,4,18,0,15.8,118,0,8.4,12,790.25,39,406.6,0,1009.7,67.97060688337473,6.893800046937121,87,,
2015,1,4,19,0,14.5,128,0,8.8,0,182.73,0,90.75,0,1010.2,72.55135013604047,6.604517878423761,96,,
2015,1,4,20,0,13,140,0,9.2,0,0.0,0,0.0,0,1010.7,72.33845059191515,6.0506919895774285,104,,
2015,1,4,21,0,12.5,152,1,9.5,0,0.0,0,0.0,0,1010.9,64.96643431826442,5.566290097724163,111,,
2015,1,4,22,0,12.7,167,51.6,9.6,0,0.0,0,0.0,0,1010.8,57.08602392882364,3.6806706057382055,115,,
2015,1,4,23,0,12.9,-178,61.9,9.8,0,0.0,0,0.0,0,1010.7,67.06237026744941,4.169565408234265,116,,
2015,1,5,0,0,12.9,-163,51.9,9.9,0,0.0,0,0.0,0,1010.6,66.29560505535716,5.285832808020113,114,,
2015,1,5,1,0,12.7,-149,52,10,0,0.0,0,0.0,0,1010.6,67.47228138105334,5.780999679076949,109,,
2015,1,5,2,0,12.5,-137,52,10.2,0,0.0,0,0.0,0,1010.6,68.98202870451632,6.523926422997584,103,,
2015,1,5,3,0,12.6,-126,51.6,10.3,1,0.0,0,0.0,0,1010.8,67.34889249488765,7.140656191187078,94,,
2015,1,5,4,0,13,-116,53.8,10.5,37,0.0,0,0.0,0,1011.2,59.77093415188256,7.626999510573087,84,,
2015,1,5,5,0,13.4,-107,59.7,10.7,99,0.0,0,0.0,0,1011.6,57.12510229877216,7.995254343814265,74,,
2015,1,5,6,0,14.4,-98,71.9,10.8,122,0.0,2,0.0,0,1011.9,49.78508772086553,9.238467792384034,63,,
2015,1,5,7,0,15.8,-88,44.8,10.8,295,102.57,92,50.31,0,1012.2,51.4929482432874,9.379655733633122,52,,
2015,1,5,8,0,17.3,-76,25.4,10.9,435,29.96,184,102.17,0,1012.5,54.31491896966446,9.522492044530352,40,,
2015,1,5,9,0,18.1,-60,35.2,10.9,541,51.02,75,224.21,0,1012.4,56.53536043902369,9.10305893397917,30,,
2015,1,5,10,0,18.4,-34,57.6,10.8,435,948.57,0,799.4300000000001,0,1012.2,60.21665994834518,9.924578661127663,22,,
2015,1,5,11,0,18.7,5,55.7,10.8,469,195.94,0,656.59,0,1011.9,64.54123639668506,11.677320521174266,19,,
2015,1,5,12,0,18.9,41,57.7,10.8,434,1011.67,0,1085.53,0,1011.8,66.49193642898842,13.661771770610333,23,,
2015,1,5,13,0,19.1,64,56.7,10.9,396,1021.33,2,1132.78,0,1011.6,76.30006927010919,13.57421677212614,32,,
2015,1,5,14,0,19.2,79,35.5,11,394,679.91,101,1008.11,0,1011.5,79.36905238992313,12.873867674972876,43,,
2015,1,5,15,0,19,90,13.3,11.2,235,1002.7,279,1014.31,0,1011.5,81.11121886088216,12.589216979040524,54,,
2015,1,5,16,0,18.4,100,2.4,11.4,96,251.84,294,643.52,0,1011.7,89.25708358379336,13.54453165258266,66,,
2015,1,5,17,0,17.9,109,0,11.7,50,423.02,153,554.38,0,1011.9,100.57986663706272,13.340428543243515,76,,
2015,1,5,18,0,16.9,118,0,11.8,15,809.6800000000001,32,416.07,0,1012.3,97.33028662412522,12.33948924332826,87,,
2015,1,5,19,0,15.6,128,0,11.7,0,0.0,0,71.22,0,1012.7,98.6776902941059,12.091936595941728,96,,
2015,1,5,20,0,14.2,139,0,11.7,0,0.0,0,0.0,0,1013.2,104.50688389547032,11.774152726955048,105,,
2015,1,5,21,0,13.5,152,0,11.6,0,0.0,0,0.0,0,1013.3,115.41025474265297,12.65391101164949,111,,
2015,1,5,22,0,13.2,167,0,11.6,0,0.0,0,0.0,0,1013.2,118.28570634022134,11.985924992037395,115,,
2015,1,5,23,0,13,-178,0,11.5,0,0.0,0,0.0,0,1013,117.29136779490044,10.751547013428048,116,,
2015,1,6,0,0,12.8,-163,0,11.5,0,0.0,0,0.0,0,1012.9,112.30677926242936,9.787178067109725,114,,
2015,1,6,1,0,12.6,-149,0,11.4,0,0.0,0,0.0,0,1012.7,107.53941953151276,9.008691925994606,110,,
2015,1,6,2,0,12.5,-137,0,11.3,0,0.0,0,0.0,0,1012.5,103.6517040449388,8.325072927096967,103,,
