country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-27.88,140.42,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,225.67808687878068,6.7984472392767055,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,219.3822342371471,5.498554962299279,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,214.87532834460217,5.028046340279691,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,222.69470549957444,4.591978815205697,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,230.3303145927132,3.7204674370136863,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,255.86222826896025,1.5352849110429496,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,352.8749836510982,1.0077822185373186,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,10.304846468766016,1.3975424859373686,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,750.16,0,356.07,0,1003.7,42.40799585942119,3.9089498431056136,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,864.86,0,587.22,0,1004,63.94090768854426,2.922051514397523,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,927.92,7,793.27,0,1004.1,180.3249859133831,1.9775977696484508,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,965.78,353,956.71,0,1004.2,205.1633830816631,2.7249494240364878,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,987.7,734,1064.14,0,1004.4,198.23935976008872,3.266693571890168,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,644.07,628,993.84,0,1004.7,232.88916079213536,3.27759493797132,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,643.58,606,963.89,0,1005,241.2938039530959,6.5027439192325724,43,,
2015,1,1,15,0,16.9,91,0,7,74,90.35,544,393.87,0,1005.3,244.7090808732092,8.21886067648871,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,465.94,349,706.11,0,1005.7,258.6674608828137,10.34921032211453,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,400.39,117,520.92,0,1006.1,256.93341577060266,11.759611927076962,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,785.28,10,395.83,0,1006.5,269.75498869180564,13.115515663312276,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,564.5500000000001,0,161.05,0,1006.9,269.02283384177383,12.686155575285897,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,267.6842329526148,11.818963027336313,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,270.3525026668244,5.469677987523181,111,,
