country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-28.02,139.81,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,234.18752632717457,7.196563579447387,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,236.70895522746912,6.53307859297115,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,233.2023202363773,6.195342937059974,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,240.10109816138544,5.767635997529664,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,249.07549825507883,4.550068680800324,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,255.3637877152989,3.6173853728436702,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,266.8701021822583,3.004481739665154,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,268.9030160772161,2.039418056346958,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,755.33,0,350.48,0,1003.7,264.9999081029398,1.88216245950804,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,872.29,0,583.72,0,1004,227.2861280751657,5.2631926547083445,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,936.45,7,792.7,0,1004.1,215.20730079142712,6.626157765925045,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,974.2,353,958.72,0,1004.2,212.1726260141463,6.793095749498677,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,995.09,734,1067.91,0,1004.4,215.16574124512684,7.148499758500417,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1002.93,628,1111.13,0,1004.7,222.4666524441713,8.875117200423789,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,999.0,606,1084.82,0,1005,230.40769939510628,9.671813208252129,43,,
2015,1,1,15,0,16.9,91,0,7,74,574.91,544,870.46,0,1005.3,240.36488212683705,10.11174066411536,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,461.74,349,711.72,0,1005.7,256.1597754435364,10.452060617003529,66,,
