country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-28.22,140.08,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,239.48390440474813,7.068013834842507,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,235.82481908072128,6.453335077765919,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,232.35237935989235,5.525509026325086,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,234.24679173647945,5.50064307193977,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,247.86649348183383,4.549239305731637,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,260.4476383582553,3.7662199075663545,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,264.9709061454982,3.262559832839385,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,259.0534526646487,2.1643814249264324,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,747.83,0,354.74,0,1003.7,229.3349291856129,3.5080947058981464,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,863.96,0,586.8100000000001,0,1004,226.4666842566311,5.91193782179171,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,927.63,7,793.99,0,1004.1,228.44358968055852,6.109827772184698,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,965.53,353,958.43,0,1004.2,233.07535574714387,5.854205221879133,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,987.11,734,1066.69,0,1004.4,233.11188138469484,6.9004019713069065,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,995.4,628,1109.05,0,1004.7,233.28203240012027,8.600431858913169,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,991.92,606,1082.19,0,1005,239.33893552912875,8.928173211473206,43,,
2015,1,1,15,0,16.9,91,0,7,74,975.85,544,988.21,0,1005.3,251.1524725284939,9.397905164991055,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,944.04,349,834.8100000000001,0,1005.7,256.980053967055,10.870468267888691,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,886.96,117,633.5,0,1006.1,263.94485486797134,11.811884288414769,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,783.57,10,402.46,0,1006.5,271.58142540136146,13.588150036650132,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,568.41,0,167.72,0,1006.9,275.616735457555,13.48672507406052,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,92.13542079127684,3.864703546218596,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,265.1166366603032,3.383264837376829,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,265.49391475630546,5.740707471731013,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,272.01364103747454,6.574053751136619,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,281.1971214334643,10.757772829052008,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,277.461641673223,11.27346108313421,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,295.11898693248816,10.136638028005368,102,,
