country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-28.31,140.45,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,239.64047587286257,6.924874445349127,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,232.69555325833215,5.940552897756626,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,228.83931591680928,5.280181453072377,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,232.43319632526027,5.330612626753056,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,241.51072464696057,4.665198514510095,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,260.05030695598964,2.893796042399952,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,258.69006752597977,1.9121323175972944,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,237.99461679191648,1.1792476415070754,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,738.51,0,357.98,0,1003.7,217.35230136498083,1.7297338434136962,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,855.13,0,588.9,0,1004,211.2695143334201,2.164732462260246,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,919.59,7,794.71,0,1004.1,215.63705717147008,2.4000097892261008,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,958.17,353,957.76,0,1004.2,238.05899337010644,3.120885797169828,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,980.28,734,1064.69,0,1004.4,228.71009667327476,4.623368298919906,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,988.87,628,1105.78,0,1004.7,240.59883201780127,5.909481398793731,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,985.31,606,1077.66,0,1005,255.1353010377719,7.603360060579975,43,,
2015,1,1,15,0,16.9,91,0,7,74,578.27,544,865.7,0,1005.3,256.30923922439035,9.39044342528918,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,472.5,349,709.29,0,1005.7,260.2778956828149,10.956811639508617,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,876.6,117,626.24,0,1006.1,263.6307912627313,12.60525968614667,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,768.5,10,394.78,0,1006.5,270.3204933173791,13.505669045666506,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,545.3,0,161.16,0,1006.9,274.9105802665252,12.275788852534331,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,77.79780699620704,4.497236232515458,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,294.7213333995889,1.7375133632765207,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,273.4276129354125,4.663527312186583,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,277.1990065636935,5.798438699361391,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,282.4543437360176,10.318355590985972,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,285.7131594936691,10.986101092261157,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,294.4942195099073,9.588179258828044,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,307.779084752307,9.141532952485262,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,310.174286703385,9.45610372242121,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,318.3548622098649,8.464818625320591,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,306.946361701198,7.820334429471737,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,479.25,3,126.41,0,1006.8,292.0313353025431,8.198971263959507,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,733.47,148,354.28000000000003,0,1006.5,290.78198801401953,7.541488536382435,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,853.22,211,586.19,0,1006.1,287.7522355628598,7.874975595995196,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,920.28,72,793.94,0,1005.5,279.7284392883364,9.917341292425162,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,959.75,0,958.28,0,1005,283.2880086968027,11.09794393815134,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,981.21,1,1065.15,0,1004.4,22.56838927611659,13.432449228378232,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,989.12,44,1106.04,0,1003.7,50.45573498833426,14.884595377929047,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,986.42,27,1079.2,0,1003.1,55.35292576079678,14.07402845119442,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,590.67,52,870.72,0,1002.5,59.55601322408182,12.386311103702043,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,72.25,29,490.32,0,1001.9,55.01037763894624,10.683754211634264,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,412.13,21,533.86,0,1001.3,52.59771495123283,10.703463829286523,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,785.51,12,403.25,0,1000.9,47.80851128132974,11.913697025912128,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,566.62,0,166.77,0,1000.6,37.835893489322814,12.188806259499486,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,37.99732388719934,12.468341587518232,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,45.313928894962544,12.940827222481904,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,50.057086543069886,12.032684698181132,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,50.21109399597288,11.48550259079057,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,43.995963584128845,11.086179814420303,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,38.21918638698418,10.628492816404233,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,36.78662297370067,10.395611333146592,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,37.06742448864651,10.120660496236296,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,33.23218405846467,9.534592512909752,84,,
