country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-28.51,140.72,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,242.95055409646176,6.871767656816253,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,237.4259428654275,5.340002340823457,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,225.84733595598303,5.742402352234965,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,233.130102354156,5.625,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,244.7988763545249,4.697073557013984,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,263.8844964337146,3.5200319600821808,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,292.38013505195954,2.29809703885628,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,333.434948822922,1.956559480312316,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,742.35,0,362.37,0,1003.7,357.70938995736145,3.127499000799201,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,857.14,0,592.29,0,1004,340.77980862273927,2.6579632881132405,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,920.91,7,796.91,0,1004.1,284.62120229907043,1.0486747498568865,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,958.62,353,958.18,0,1004.2,234.2797990559722,2.3215435530515807,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,979.45,734,1062.67,0,1004.4,262.25634091907125,2.6739076650855,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,986.88,628,1101.41,0,1004.7,247.51817214726483,5.55714799478006,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,982.54,606,1071.62,0,1005,251.10529282808864,8.212127244198985,43,,
2015,1,1,15,0,16.9,91,0,7,74,562.7,544,857.53,0,1005.3,253.0391034667375,10.334309919808918,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,931.8,349,820.72,0,1005.7,263.6421061332989,11.420718542464668,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,871.75,117,619.03,0,1006.1,260.7053231828712,11.700138133306735,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,763.41,10,389.02,0,1006.5,270.8297372590166,13.538133865469463,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,538.97,0,157.37,0,1006.9,271.14805004722126,10.51920686424233,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,343.8892651826465,1.28067674118892,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,317.72039098783983,1.6430801887973037,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,289.600543481606,3.923391399948189,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,279.20757487283737,4.533894888457257,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,279.67122525823726,10.387822601495802,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,292.1619332184051,10.92209975984947,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,301.0925028154165,9.914570570150907,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,313.89746213835696,9.187152677320594,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,318.8169191466936,9.294456580459316,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,321.07657743092227,9.151953682488896,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,317.2690532382194,8.842299596722533,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,490.7,3,131.39,0,1006.8,304.1186555294105,7.996464776362945,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,739.07,148,359.36,0,1006.5,296.9454203503698,9.08146846414631,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,856.0600000000001,211,590.0500000000001,0,1006.1,290.3222293360248,10.755229084293356,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,921.54,72,796.08,0,1005.5,286.0119973023959,11.29352501977172,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,960.18,0,958.66,0,1005,282.85737025918405,11.124495586616522,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,981.29,1,1064.01,0,1004.4,346.8478835977904,9.823827742030202,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,988.97,44,1103.52,0,1003.7,37.72743803840558,16.867051054217214,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,985.91,27,1075.37,0,1003.1,45.2898366100236,15.416135232443768,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,581.73,52,863.89,0,1002.5,49.26704296428164,14.115366439448856,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,486.31,29,711.52,0,1001.9,44.14155185608365,12.493588405978668,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,408.07,21,525.66,0,1001.3,40.59733180864123,11.649614973702043,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,342.78000000000003,12,319.0,0,1000.9,37.86988753809618,12.161633194538345,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,564.96,0,163.93,0,1000.6,35.27911542900222,12.06050533644188,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,36.19531536208956,11.616976590383006,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,44.948103341713306,11.487021716281234,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,49.669089716225926,10.815803044306174,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,48.7369754008011,10.795928523612394,116,,
