country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,10,-24.076559,151.281738,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2014,1,1,0,0,25,-170,0,22.8,0,0,0,0,0,991.4,189.216033935547,5.163,132,,
2014,1,1,1,0,24.7,-153,0,22.6,0,0,0,0,0,991.5,188.604217529297,5.569,127,,
2014,1,1,2,0,24.6,-139,0,22.5,0,0,0,0,0,991.6,196.273971557617,5.777,120,,
2014,1,1,3,0,24.5,-129,0,22.5,0,0,0,0,0,991.7,200.619888305664,5.894,110,,
2014,1,1,4,0,24.5,-120,0.4,22.3,1,0,0,1,0,992.1,202.555557250977,6.223,99,,
2014,1,1,5,0,24.5,-114,15.5,22,40,0,0,40,0,992.8,200.184234619141,6.947,86,,
2014,1,1,6,0,24.5,-109,31.1,21.8,145,2,1,146,0,993.6,193.435806274414,7.5,74,,
2014,1,1,7,0,25,-104,29.2,21.8,285,64,36,320,0,993.9,189.552352905273,7.96,60,,
2014,1,1,8,0,25.9,-100,40.3,22,364,39,24,388,0,993.9,183.540069580078,8.518,47,,
2014,1,1,9,0,26.9,-96,26.1,22.2,409,262,229,638,0,993.8,181.9521484375,9.017,34,,
2014,1,1,10,0,27.3,-91,26.7,22.1,585,135,119,704,0,993.6,173.655395507813,9.158,20,,
2014,1,1,11,0,27.3,-73,31.8,21.8,677,25,24,701,0,993.5,168.698669433594,8.898,7,,
2014,1,1,12,0,27.2,67,20.9,21.5,567,247,241,808,0,993.3,168.946228027344,8.424,9,,
2014,1,1,13,0,27.1,92,8.1,21.3,383,529,486,868,0,993.1,169.528076171875,7.378,21,,
2014,1,1,14,0,27,96,7.2,21.2,333,510,421,754,0,992.9,169.158203125,6.673,35,,
2014,1,1,15,0,26.9,100,21.8,21.1,374,163,125,499,0,992.6,168.049682617188,6.186,48,,
2014,1,1,16,0,26.6,104,45.7,21.1,231,7,4,235,0,992.8,170.369812011719,5.771,62,,
2014,1,1,17,0,26,109,24.9,21.1,107,83,16,123,0,993.2,174.750549316406,5.556,75,,
