country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,10,-24.327077,151.951904,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2014,1,1,0,0,25.6,-169,0,22.5,0,0,0,0,0,999.7,150.063201904297,4.92811309399829,131,,
2014,1,1,1,0,25.4,-152,0,22.5,0,0,0,0,0,999.7,150.224853515625,5.28936276679716,127,,
2014,1,1,2,0,25.3,-139,0,22.4,0,0,0,0,0,999.8,163.909545898438,6.39269114840762,119,,
2014,1,1,3,0,25.1,-128,0,22.4,0,0,0,0,0,999.8,170.632934570313,7.596459429382,109,,
2014,1,1,4,0,25,-120,0.3,22.3,1,0,0,1,0,1000.3,173.034729003906,9.07540822229027,98,,
2014,1,1,5,0,24.9,-114,12.5,22.1,47,8,3,50,0,1001,171.110717773438,10.3401400216261,86,,
2014,1,1,6,0,24.7,-108,9,21.9,110,306,111,220,0,1001.7,169.005004882813,10.9890373249966,73,,
2014,1,1,7,0,25.1,-104,15.2,21.8,250,291,135,385,0,1002.1,168.020446777344,10.3025564442923,60,,
2014,1,1,8,0,25.9,-100,15.5,21.9,320,368,262,581,0,1002.1,167.863647460938,9.27924769032074,46,,
2014,1,1,9,0,26.7,-95,13.4,22,378,440,366,745,0,1002.1,169.424621582031,8.59757267857795,33,,
2014,1,1,10,0,26.9,-90,13.6,21.9,452,418,392,844,0,1002,166.6357421875,7.65046103252479,19,,
2014,1,1,11,0,26.8,-62,11.7,21.7,451,469,464,915,0,1001.9,166.251586914063,7.23623526307758,6,,
2014,1,1,12,0,26.5,60,3.8,21.4,299,706,692,991,0,1001.7,168.810119628906,6.79820002415983,9,,
2014,1,1,13,0,26.4,91,6.8,21.3,333,603,561,894,0,1001.5,169.94970703125,6.54523522169721,22,,
2014,1,1,14,0,26.5,96,9.7,21.3,345,487,396,741,0,1001.3,171.030944824219,6.31590099138447,35,,
2014,1,1,15,0,26.5,100,21.3,21.4,360,198,146,507,0,1001.1,171.676879882813,5.98404612546839,49,,
2014,1,1,16,0,26.3,104,29.2,21.4,284,18,11,295,0,1001.1,175.145446777344,5.62911057616363,62,,
2014,1,1,17,0,26,109,29,21.4,134,0,0,134,0,1001.4,184.712768554688,5.05655418110282,75,,
2014,1,1,18,0,25.7,115,9.5,21.4,28,0,0,28,0,1001.8,197.8671875,4.69923897781374,88,,
2014,1,1,19,0,25.5,121,0,21.4,0,0,0,0,0,1002.1,212.567306518555,4.68583225627569,100,,
2014,1,1,20,0,25.3,130,0,21.3,0,0,0,0,0,1002.4,222.331802368164,4.60245199002919,111,,
2014,1,1,21,0,25.2,141,0,21.2,0,0,0,0,0,1002.6,227.728332519531,3.69301679102464,121,,
2014,1,1,22,0,24.9,155,0.5,21.2,0,0,0,0,0,1002.5,249.737228393555,2.77868200365474,128,,
2014,1,1,23,0,24.5,173,18.3,21.2,0,0,0,0,0,1002.2,263.576538085937,2.445904757078,132,,
2014,1,2,0,0,24.2,-169,27.2,21.2,0,0,0,0,0,1001.9,267.965118408203,2.97175699330542,131,,
2014,1,2,1,0,23.9,-153,26.7,21.1,0,0,0,0,0,1001.6,267.298767089844,3.55115020123672,127,,
2014,1,2,2,0,23.7,-139,8.9,21.1,0,0,0,0,0,1001.5,261.567138671875,4.68050504705406,119,,
2014,1,2,3,0,23.5,-128,0,21,0,0,0,0,0,1001.3,259.038269042969,5.98651839394527,109,,
2014,1,2,4,0,23.4,-120,0.8,20.9,1,0,0,1,0,1001.5,257.374938964844,6.80737100775434,98,,
2014,1,2,5,0,23.5,-114,30,20.9,36,5,2,38,0,1001.8,254.453826904297,6.87400772416603,86,,
2014,1,2,6,0,23.6,-108,25.2,20.8,134,189,69,202,0,1002.2,249.509521484375,6.44058414709567,73,,
