country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-32.41,137.69,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,303.69006752597977,14.12817577863172,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,320.3225242182984,14.623977011982184,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,323.1635007287436,13.071664848180031,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,331.69054299949875,12.216451528644145,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,345.8531492342753,10.918018215662135,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,24.84057196957872,10.013333147608927,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,101.11809743300483,17.502290146180556,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,105.0645021927528,17.481111451804114,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,798.5500000000001,0,351.18,0,1003.7,109.77731016906932,15.77260428646071,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,908.66,0,579.72,0,1004,111.6466690121316,13.46570971678471,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,968.8,7,785.78,0,1004.1,109.8903947205544,13.049900791249062,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1004.47,353,952.03,0,1004.2,120.20490156174446,11.06127980588205,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,651.66,734,946.47,0,1004.4,122.81065782435724,9.757917593479824,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1032.97,628,1115.25,0,1004.7,132.13346442332363,8.618963782798147,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,1028.91,606,1097.05,0,1005,151.60625032982483,6.949713316314347,43,,
2015,1,1,15,0,16.9,91,0,7,74,1012.08,544,1012.04,0,1005.3,143.12120943402397,4.048803802191685,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,503.41,349,739.27,0,1005.7,143.7555213782427,3.5308145297681857,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,427.52,117,563.44,0,1006.1,158.50730208862456,4.199780084983906,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,17.38,10,262.24,0,1006.5,123.4718993568896,7.636787850532259,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,47.13,0,131.68,0,1006.9,116.26187525778198,10.218465829304058,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,277.88,0,35.39,0,1007.3,107.11277562184142,10.304439997637122,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,110.1530063333114,8.92689368001592,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,152.54883085285087,5.836300413626878,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,184.5475417742925,5.615285051457118,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,140.25324934308424,3.1028399002382625,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,253.0344323070189,1.0056682721668584,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,15.659571768992578,4.933104793491177,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,157.80176652774503,5.394473511113749,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,135.70989031934027,4.654215202388318,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,151.3729132675782,4.934795349435279,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,32.23054976950874,2.955400921655663,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,113.85,3,52.93,0,1006.8,64.49696342394577,12.193452775326197,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,1.81,148,182.47,0,1006.5,66.17814764410167,12.998452636649048,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,895.41,211,570.4,0,1006.1,75.00923008866363,13.215825931218127,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,957.42,72,775.85,0,1005.5,73.40034727036601,13.411911021493896,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,995.12,0,942.68,0,1005,69.24235105577566,14.337814484043616,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,1017.63,1,1057.37,0,1004.4,68.26312191356391,13.13450475125992,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1027.93,44,1109.82,0,1003.7,58.96802991126066,12.608719171924417,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,1026.28,27,1094.49,0,1003.1,61.55959032592671,11.811160249349353,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,1012.28,52,1012.6,0,1002.5,65.60783905076778,10.89641596748464,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,984.62,29,871.9200000000001,0,1001.9,65.16893496196053,10.521518988056997,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,937.88,21,684.25,0,1001.3,65.40376937463805,10.824425222896505,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,857.5600000000001,12,465.14,0,1000.9,67.92508523805759,11.207274372248431,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,699.41,0,234.94,0,1000.6,71.29213108899859,11.183099951653302,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,289.99,0,36.5,0,1000.4,68.9560648863295,10.685256969166314,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,65.87499296878707,10.504399485632838,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,64.65766652601059,11.389502062001538,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,67.46401691890878,11.415120791718117,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,64.54179138738425,10.569787237312283,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,60.20196696881351,10.90354060367026,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,60.00649988330952,11.502260169254956,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,62.59954104093805,11.502328580612032,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,67.50004044912691,11.006248766259766,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,95.11572979669364,10.667492643517596,74,,
2015,1,3,6,0,21.7,-98,23,14,250,0.0,88,0.0,0,999.3,109.71733216612635,11.598487307220957,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,98.78,383,70.89,0,999.4,108.93550435356336,11.807415660263963,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,813.24,625,352.68,0,999.4,108.66071925790736,12.229825510735024,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,298.13,252,471.27,0,999.1,108.36305921826278,12.300134920944362,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,118.25,286,280.38,0,998.6,103.6320031481635,13.259224509241989,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,120.94,671,628.63,0,998,93.82202801811326,13.126802634434378,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,472.3,767,867.4300000000001,0,997.5,91.41821670290052,11.856592337011405,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,103.56,591,640.5,0,996.9,89.57773243126309,11.065162706621912,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,95.4,181,595.36,0,996.3,82.85457662489347,11.403425346727891,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,124.57,0,633.25,0,996.1,64.84060578423629,10.699595206706352,54,,
2015,1,3,16,0,22.8,100,97.8,13.9,10,188.13,0,667.99,0,996.3,61.808098734010855,11.56138675669111,66,,
2015,1,3,17,0,21.6,109,85.7,14.2,14,217.24,0,547.03,0,996.5,55.9495846375591,11.996765027368006,77,,
2015,1,3,18,0,20.6,118,57.3,14.3,6,109.2,0,344.31,0,997.1,55.19600413278948,12.568623561133029,87,,
2015,1,3,19,0,19.7,128,69.2,14.1,0,708.42,0,237.98,0,998.1,58.75565394018167,12.21715359964564,96,,
2015,1,3,20,0,18.8,140,83,13.8,0,298.89,0,37.37,0,999,55.73976306686592,9.258153954060218,104,,
2015,1,3,21,0,18.1,153,82.6,13.5,0,0.0,0,0.0,0,999.5,48.98521474062324,7.685214527800472,111,,
2015,1,3,22,0,17.6,167,62.2,13,0,0.0,0,0.0,0,999.7,55.70637081294046,8.72941511857056,115,,
2015,1,3,23,0,17,-178,50.8,12.6,0,0.0,0,0.0,0,999.8,53.06927641350308,8.185835926506334,116,,
2015,1,4,0,0,16.4,-163,51,12.5,0,0.0,0,0.0,0,1000.1,59.08532674098348,7.6269920636493564,114,,
2015,1,4,1,0,15.7,-149,56.5,12.6,0,0.0,0,0.0,0,1000.6,56.12998267966964,6.728742273263479,109,,
2015,1,4,2,0,15.1,-137,53.6,12.8,0,0.0,0,0.0,0,1001.2,47.9504486352962,6.345432947857677,103,,
2015,1,4,3,0,14.7,-126,50.9,12.6,0,0.0,0,0.0,0,1002.1,44.26259788341332,6.867920466301035,94,,
2015,1,4,4,0,14.5,-116,62.8,12.2,23,0.0,3,0.0,0,1003.4,50.39762155146616,7.843678935570558,84,,
2015,1,4,5,0,14.3,-107,25,11.8,51,0.0,175,0.0,0,1004.7,70.94032758491647,7.406004654416166,74,,
2015,1,4,6,0,14.9,-98,1.9,11.1,84,0.0,372,0.0,0,1005.5,84.48772226638471,6.109803008450707,63,,
2015,1,4,7,0,16.1,-88,1,10.3,79,547.76,584,120.52,0,1006.1,117.30784698539615,8.624230593180174,51,,
2015,1,4,8,0,17.4,-76,0,9.5,70,799.71,775,345.61,0,1006.6,120.5294121088424,8.120388798677482,40,,
2015,1,4,9,0,17.9,-60,0,8.9,71,911.57,907,575.48,0,1007.1,125.06153489119588,7.994094904167325,30,,
2015,1,4,10,0,17.9,-34,0,8.4,72,972.0,987,782.98,0,1007.5,111.5802511975238,8.42189604373091,22,,
2015,1,4,11,0,17.9,5,0,8,72,1008.07,1008,951.1,0,1008,95.65475247005094,8.710840551393126,19,,
