country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-32.62,137.83,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,300.1719768237051,13.815072216966216,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,318.0235459365307,13.71152206722901,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,330.1047582676947,12.334693435371856,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,359.01474649685724,9.922077764045111,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,49.96958514925888,11.961265580782866,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,95.2046413541612,16.284220141739254,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,97.30504298332238,17.07100428186579,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,103.98478800035753,15.049110934035568,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,798.65,0,352.29,0,1003.7,109.77584467426618,14.141457019242448,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,907.85,0,579.15,0,1004,108.24579475176228,11.726411726433074,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,967.72,7,783.48,0,1004.1,107.928250274846,11.263128261256991,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1003.21,353,948.09,0,1004.2,115.99303234715244,9.570250827498178,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1023.32,734,1059.64,0,1004.4,107.97517800331894,6.486347988429585,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,682.38,628,995.13,0,1004.7,109.2080081865484,7.326770166143894,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,674.45,606,973.19,0,1005,145.47052993239856,3.947052559693359,43,,
2015,1,1,15,0,16.9,91,0,7,74,1010.49,544,1005.24,0,1005.3,83.44742006029026,6.461098562832511,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,979.92,349,862.6,0,1005.7,97.68136473169432,5.87023190780788,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,930.36,117,674.47,0,1006.1,128.49569851734452,2.7571779780234498,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,111.83,10,326.46,0,1006.5,92.46965627766048,8.722604302408918,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,63.440000000000005,0,1006.9,87.55571627440895,10.099551032959376,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,274.09000000000003,0,34.72,0,1007.3,90.99665367089688,8.546903860655213,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,101.27088565389532,4.831344353652822,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,185.44115902236817,3.4827741911736814,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,233.59271042171417,3.869229973023813,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,171.83348337882694,1.67663999353601,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,170.79617061032536,2.555708685874547,109,,
