country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-32.86,137.2,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,323.4430349899141,12.887317266957291,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,329.8279454273229,12.63818697360016,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,342.88098359844224,10.962626992183758,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,355.5756359673256,10.382872423669614,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,27.218382188665885,9.615717430272026,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,99.37145811224332,13.95937837413886,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,98.6811256877279,13.40355567296158,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,107.8143593044212,13.392115085216725,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,803.53,0,349.83,0,1003.7,118.02439757843536,13.085241907059045,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,915.31,0,579.71,0,1004,114.81683271958292,13.64468890100206,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,976.18,7,787.46,0,1004.1,116.1391747531008,13.588808125296149,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,586.69,353,833.99,0,1004.2,121.0311370813398,13.150199263864272,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,657.0500000000001,734,953.02,0,1004.4,137.09287339935406,12.75615785636771,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,686.67,628,1012.41,0,1004.7,157.5212495739877,11.865009939522777,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,210.07,606,850.95,0,1005,155.3179940311977,9.47745773868493,43,,
2015,1,1,15,0,16.9,91,0,7,74,235.47,544,798.08,0,1005.3,162.7780314150549,7.862159973469674,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,988.53,349,879.64,0,1005.7,180.1744581883362,7.93083235976337,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,431.76,117,576.52,0,1006.1,174.73937653596158,7.559739839723637,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,22.16,10,179.76,0,1006.5,131.97567134520193,12.640063077341557,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,704.4300000000001,0,243.22,0,1006.9,121.83192900896694,16.13421711310348,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.01,0,4.14,0,1007.3,124.47640065445796,16.25270229550843,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,140.34124620545572,14.638155589823857,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,133.14491136923806,10.101292465247212,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,149.13455283546386,9.43869182106284,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,143.16086544863305,8.995171633649653,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,128.88198727050104,4.299753254477562,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,135.38204873077234,5.404705906194339,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,118.22626323910616,7.713356552907838,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,140.01839771758262,11.93873872179882,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,143.0130297572735,3.570393826378053,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,61.80759985242014,10.915067040305937,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,102.7,3,54.13,0,1006.8,73.64118400545505,14.512395822113078,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,289.2,148,259.97,0,1006.5,81.7798228655397,15.05760046281303,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,902.57,211,570.71,0,1006.1,91.83157220525254,14.770955289050798,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,965.27,72,777.87,0,1005.5,89.77021983478807,13.6433481879767,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,1002.99,0,946.36,0,1005,80.8073431016461,13.849002505063444,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,1025.07,1,1062.47,0,1004.4,73.31021708038799,11.832137295565408,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1034.99,44,1116.38,0,1003.7,71.19551020200606,11.54713545233462,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,1033.43,27,1102.88,0,1003.1,71.494668514875,10.63350823806602,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,1020.03,52,1023.03,0,1002.5,68.08341358796758,10.654692724236412,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,993.22,29,884.02,0,1001.9,60.187240869538186,10.672054991033498,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,947.7,21,697.39,0,1001.3,57.58123512281298,11.28694046948207,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,869.54,12,478.48,0,1000.9,63.14829640822416,10.741900291847085,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,716.45,0,247.22,0,1000.6,59.1812203083727,10.69035969563184,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,323.44,0,43.82,0,1000.4,55.27525546769999,9.525345852495914,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,57.71461659728129,10.53101202150892,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,54.16234704572173,11.10180165558726,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,50.42510232061096,11.772344467294689,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,49.46715906138928,11.348182673891005,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,50.27389595735178,11.53933490284427,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,52.0198972956112,10.848388798029164,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,53.23888861911581,10.737144405272604,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,53.202172873427855,11.77136161812482,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,55.007979801441365,12.206555615733702,74,,
