country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-32.22,116.07,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,163.10998068971207,14.58087937430385,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,163.7887253768131,16.02022195282566,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,163.71043633964405,15.548626075364968,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,166.265936301205,14.655285141122947,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,172.26523125086203,14.809186500683206,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,181.44199616864697,14.9016940366778,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,588.36,0,135.4,0,1002.3,185.72899103305608,14.049569935354103,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,824.86,0,361.46,0,1003,186.18362097205988,10.380448821389376,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,934.65,0,591.64,0,1003.7,172.3986816998356,4.672931744237559,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,991.34,0,795.88,0,1004,94.39870535499551,3.259601202601325,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,1024.25,7,958.87,0,1004.1,75.25643716352926,2.4558603380485624,21,,
