country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-33.07,137.34,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,321.63198495607406,13.010478030965864,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,329.58362647771924,12.988333313934657,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,334.7891124717186,11.827335853765677,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,355.3148828390698,9.645834714875315,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,96.62574778023412,13.098882768357427,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,92.26130692637004,12.960829318269596,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,98.88709568620584,13.828888320402998,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,102.65395335616904,13.746764537777036,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,804.22,0,351.78000000000003,0,1003.7,110.21813951889794,12.5497418481213,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,915.07,0,580.22,0,1004,108.97384530570524,12.34889672353253,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,975.81,7,786.58,0,1004.1,107.867926234631,12.369413484514167,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,586.35,353,829.54,0,1004.2,117.51005096964413,13.030318021807584,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,524.6800000000001,734,871.41,0,1004.4,129.15191995719815,12.85644421174813,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1039.07,628,1117.22,0,1004.7,149.55447068608458,10.96658644539738,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,699.3000000000001,606,971.31,0,1005,141.50888011863174,9.96920803739042,43,,
2015,1,1,15,0,16.9,91,0,7,74,146.32,544,569.49,0,1005.3,148.37694238210997,8.207249783485825,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,987.66,349,874.97,0,1005.7,155.61041563849744,7.935371488751098,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,115.93,117,485.9,0,1006.1,138.64109220019623,8.346923717149343,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,102.63,10,47.76,0,1006.5,118.26220719252863,13.60701709013779,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,67.38,0,1006.9,120.34567756432568,15.669640634562205,96,,
