country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-32.61,116.66,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,156.7541739056677,12.084488415130032,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,157.02728196552982,10.815758636119956,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,158.41279634341367,10.42924028587012,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,158.88620033247776,10.066115017435871,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,164.55862449038,9.90144055640535,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,178.53664168512864,9.509227029888397,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,624.58,0,149.37,0,1002.3,188.5531655349671,8.5147618760787,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,845.0500000000001,0,377.15,0,1003,186.0136324887769,5.858049590296535,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,947.87,0,606.34,0,1003.7,174.71179174517033,3.9687359467456793,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,1003.27,0,810.13,0,1004,107.47905151528768,2.913199169289143,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,611.07,7,847.41,0,1004.1,95.06198882444744,2.2876096200834466,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1053.45,353,1079.07,0,1004.2,47.789967620886216,2.23264024266511,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1057.62,734,1120.19,0,1004.4,15.896496044449805,3.2993289682902684,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1051.95,628,1094.7,0,1004.7,9.628433565275714,5.402954345741346,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,230.03,606,762.37,0,1005,13.324952815097332,6.96622820495761,43,,
2015,1,1,15,0,16.9,91,0,7,74,62.66,544,429.92,0,1005.3,20.07621399419668,7.002327304028874,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,396.81,349,527.02,0,1005.7,22.5457076881628,8.099547712070036,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,398.95,117,348.14,0,1006.1,22.39693530975046,8.933072511325475,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,701.45,10,212.55,0,1006.5,21.428222584186585,8.500494793262828,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,231.01,0,23.22,0,1006.9,25.518974724140435,9.66297560356794,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,24.884338465857184,9.686146149398258,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,27.182354495368088,7.99576329164981,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,33.454511780131725,7.88037216996748,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,41.50671460274134,8.382748552032503,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,59.32748466060116,10.440100861448173,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,67.86576162153114,9.922873510249833,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,83.75905742293799,7.77558196430321,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,99.624824542176,5.343656634137938,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,95.04912711074672,4.575128382955692,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,75.01375310911533,5.246054124539256,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,59.33,0,1007,68.35663593294242,6.414318443752416,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,835.1800000000001,3,371.44,0,1006.8,60.86913165401256,5.987946117361775,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,17.84,148,301.63,0,1006.5,42.48787651122399,5.438214850367485,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,184.06,211,601.39,0,1006.1,30.205970586959666,6.36410272556618,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,1028.23,72,964.39,0,1005.5,20.806791012711244,6.686039560158166,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,185.33,0,791.41,0,1005,15.666672267295835,7.8691922364134435,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,400.63,1,923.76,0,1004.4,16.177218180933323,8.800295500531572,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1048.04,44,1091.02,0,1003.7,19.947229022054387,10.484527098967243,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,1032.75,27,1002.43,0,1003.1,22.135237969,10.74368480723289,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,1005.48,52,857.36,0,1002.5,29.81026982237148,11.469534283187356,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,958.47,29,666.15,0,1001.9,29.01822236687661,11.754251984273123,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,493.1,21,363.86,0,1001.3,33.46672729003842,11.664419758390796,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,707.72,12,214.73,0,1000.9,35.935114036963284,10.010757345000007,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,236.2,0,23.74,0,1000.6,36.11698251600404,9.200588167500872,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,37.536227412214885,9.832833786874764,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,45.75514257961413,10.940091064043006,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,73.23471124443404,9.530081601357937,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,92.69183916711812,9.402781887477849,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,99.71176887916543,10.367833467057388,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,105.600131197773,10.58032124316808,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,110.44841558831835,11.74849440147502,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,114.94276803123536,10.05119968168118,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,124.42627634480556,9.487509009367969,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,129.65717327644666,8.916686597316607,74,,
2015,1,3,6,0,21.7,-98,23,14,250,0.0,88,58.59,0,999.3,140.10732068711883,8.545283507913764,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,263.48,383,281.73,0,999.4,143.4255471697113,7.471205586546006,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,313.3,625,456.43,0,999.4,141.41797756708047,5.658263582461216,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,327.35,252,598.07,0,999.1,130.46751128062738,4.473979224107631,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,500.03,286,786.22,0,998.6,131.87182348637754,4.235184851452065,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,659.99,671,926.79,0,998,118.69595202909414,4.165265007268474,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,690.07,767,982.2,0,997.5,108.63774409683948,4.302473717755059,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,334.26,591,810.01,0,996.9,108.63774409683948,4.302473717755059,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,149.1,181,557.35,0,996.3,110.17251920182628,4.210097323247517,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,89.39,0,528.87,0,996.1,104.69131929601838,3.260278463899256,54,,
2015,1,3,16,0,22.8,100,97.8,13.9,10,190.76,0,523.9,0,996.3,97.29447386818794,3.1794195495854884,66,,
2015,1,3,17,0,21.6,109,85.7,14.2,14,43.98,0,282.03000000000003,0,996.5,94.61581164438422,3.4630755297815727,77,,
2015,1,3,18,0,20.6,118,57.3,14.3,6,729.02,0,220.59,0,997.1,96.09793608443186,3.800189875146206,87,,
2015,1,3,19,0,19.7,128,69.2,14.1,0,0.0,0,2.38,0,998.1,108.59652704045448,4.250622110839799,96,,
2015,1,3,20,0,18.8,140,83,13.8,0,0.0,0,0.0,0,999,128.58634719648893,4.994040919351502,104,,
2015,1,3,21,0,18.1,153,82.6,13.5,0,0.0,0,0.0,0,999.5,149.97825852404367,5.707311906832425,111,,
2015,1,3,22,0,17.6,167,62.2,13,0,0.0,0,0.0,0,999.7,140.51399085080516,5.881129464400769,115,,
2015,1,3,23,0,17,-178,50.8,12.6,0,0.0,0,0.0,0,999.8,118.5324938158564,10.93108982702254,116,,
