country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-32.85,116.88,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,155.1300436974833,12.336762072881925,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,154.1250450668689,11.066724719440511,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,156.05847444443907,10.825330545324086,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,154.25649305290938,10.151480150066778,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,163.28497519652308,9.90668114523997,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,173.28992302801407,8.89490010713049,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,615.7,0,151.5,0,1002.3,183.58920518373776,7.8510713017981155,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,77.4,0,252.76,0,1003,176.85343884523922,5.20906494824829,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,130.2,0,445.54,0,1003.7,175.61583723031094,3.886371834184682,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,993.4,0,807.53,0,1004,110.87563034599584,2.89280751989574,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,1026.5,7,968.23,0,1004.1,92.50513551552524,1.7825283770154077,21,,
