country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-33.03,117.64,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,150.80432999914763,10.177098228169648,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,152.2527338578285,10.05867532984634,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,156.89117548068907,10.532846969998994,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,157.38473544974386,9.450010272219023,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,164.6101499670497,8.79776353732169,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,171.2211412072504,7.5168451829735,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,636.84,0,164.25,0,1002.3,182.1660728272985,7.206162391630959,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,842.5,0,391.27,0,1003,191.11517997019172,6.182941412337012,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,940.59,0,617.46,0,1003.7,172.28130095051142,4.221287855178079,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,995.35,0,818.27,0,1004,126.7763401865418,4.369654468079677,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,1027.78,7,976.75,0,1004.1,121.5501793792825,3.2165433126928904,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1045.61,353,1079.93,0,1004.2,105.53132461352646,1.8673078362580748,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,688.72,734,1007.15,0,1004.4,34.33581252227032,0.9893593916667652,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,675.19,628,973.64,0,1004.7,14.54214802297156,2.453605690841597,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,156.84,606,691.88,0,1005,21.0934215720265,3.9571058916399577,43,,
2015,1,1,15,0,16.9,91,0,7,74,997.52,544,845.28,0,1005.3,17.880453541429688,4.667398532420156,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,945.82,349,650.29,0,1005.7,16.567688042262716,5.025604805273364,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,856.53,117,427.56,0,1006.1,19.25936060827621,5.102521330337986,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,192.72,10,125.5,0,1006.5,33.26555842231568,5.680885603625396,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,1.6,0,1006.9,45.60559184005479,7.765995111101225,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,45.2942977320767,10.445777134810012,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,39.47387626382965,11.671051250627496,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,46.15548770692703,10.80138917364338,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,163.5867233237915,4.518951255322988,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,177.57864512437698,6.872216908586284,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,189.10773515563332,6.429300973759027,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,194.65840109633507,5.76814857990726,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,197.1803821484429,2.584157502906504,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,217.10442338530285,1.2875782839439214,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,280.550427758753,0.5358152059392326,74,,
