country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-33.19,117.09,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,105.7,6.366,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,103.5,5.611,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,102.1,5.824,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,100.1,6.422,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,97.9,6.821,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,343.0,0,21.00000000000002,0,1001.7,95.4,7.002,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,608.0,0,186.0665660359171,0,1002.3,93.9,6.67,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,781.0,0,411.7074735173405,0,1003,96.6,4.828,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,868.0,0,635.3818154492828,0,1003.7,95.6,2.657,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,915.0,0,829.1644705596581,0,1004,96.8,0.986,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,940.0,7,979.6001415933468,0,1004.1,109.2,2.762,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,953.0,353,1077.2713951913702,0,1004.2,150.7,4.205,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,950.0,734,1112.5721092604197,0,1004.4,202.7,5.147,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,937.0,628,1087.4032120048748,0,1004.7,215.7,5.9190000000000005,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,907.0,606,996.6883501331912,0,1005,232.1,6.652,43,,
2015,1,1,15,0,16.9,91,0,7,74,858.0,544,845.5546136244634,0,1005.3,216.9,7.227,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,775.0,349,641.6641657510309,0,1005.7,215.4,7.545,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,622.0,117,396.3982352844747,0,1006.1,203.5,7.864,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,327.0,10,140.77695392315542,0,1006.5,200.1,8.488,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,8.0,0,2.537634757870569,0,1006.9,198.4,9.785,96,,
