country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-33.19,116.05,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,161.247436004389,14.348332885583456,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,164.61151439098353,14.273222855918725,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,169.45857848475964,13.870605531479338,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,174.96936723232648,11.972489289566296,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,177.8243051935815,10.847528319522292,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,180.30974649149053,9.502423465364275,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,598.63,0,141.98,0,1002.3,183.0002214316348,8.864129767795838,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,62.870000000000005,0,234.3,0,1003,178.569931704915,6.514300546243884,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,175.85,0,451.85,0,1003.7,171.31971408712718,4.969497405645425,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,990.65,0,796.7,0,1004,114.75655096759766,2.4777135174342786,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,603.08,7,833.6800000000001,0,1004.1,66.80140948635182,1.9039432764659767,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1041.9,353,1066.17,0,1004.2,33.69006752597977,3.1548573660309907,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1047.34,734,1110.17,0,1004.4,12.32197618905542,4.862002084993027,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1042.39,628,1087.96,0,1004.7,6.7321910457635,7.464041146229931,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,1026.45,606,1001.38,0,1005,4.690681312509184,8.102289302604722,43,,
2015,1,1,15,0,16.9,91,0,7,74,997.19,544,857.66,0,1005.3,358.10035803972795,7.541720909116716,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,428.05,349,553.64,0,1005.7,0.0,8.200152307158726,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,863.84,117,449.25,0,1006.1,3.776345824848761,7.591635691776323,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,210.68,10,142.67000000000002,0,1006.5,12.942343124357592,6.361767017092088,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,2.96,0,1006.9,13.0240790513339,7.043930464876088,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,15.402821710549349,8.375998707192363,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,25.8112448865038,6.80379159335746,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,37.6642182017041,7.0583458230412734,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,51.01588497428219,6.834865926667492,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,62.29136811578724,5.859869606627216,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,69.72143630726174,4.651003868978076,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,73.27363169407062,3.7330991882050015,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,62.493718052632914,3.382338908995763,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,38.51591300917141,3.673452246531641,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,17.540637377229757,4.52159640428392,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,588.0,0,138.39,0,1007,6.122609191045456,5.040259977001173,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,816.33,3,360.64,0,1006.8,359.06129458425687,4.587277953318022,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,921.52,148,585.32,0,1006.5,350.3193982709003,5.426973001192733,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,980.53,211,787.76,0,1006.1,359.70658146041086,7.337520062619252,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,1015.49,72,950.07,0,1005.5,4.103177739727187,8.734812778742254,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,303.90000000000003,0,839.88,0,1005,4.742472109661605,8.616924976754909,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,57.02,1,450.45,0,1004.4,4.65370013272701,10.321603645473347,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,361.32,44,803.94,0,1003.7,10.775442355105042,11.83365726545309,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,609.8100000000001,27,868.95,0,1003.1,13.26330701646026,12.36746593839898,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,994.42,52,856.19,0,1002.5,14.901664524727437,11.033653262411129,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,418.65,29,536.25,0,1001.9,17.603581463319074,11.448698493712342,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,863.08,21,449.72,0,1001.3,22.040179704635023,10.559235280113722,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,701.47,12,223.17,0,1000.9,30.31700918462917,10.078419100279996,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,271.96,0,31.38,0,1000.6,46.91297380995525,10.851243992618777,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,62.79847368220448,9.570757115198797,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,81.79262550956878,7.880561466768809,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,95.45926508050798,8.802197522568624,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,99.6267667509581,10.015273338368171,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,104.8980682155206,10.696218384267262,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,108.97592365778092,11.301284132644868,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,111.89615975341133,11.194854321909803,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,114.34833953023718,8.822265846986948,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,120.68416055991304,8.86634733525694,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,124.64679699618516,8.904094981698126,74,,
2015,1,3,6,0,21.7,-98,23,14,250,14.06,88,37.43,0,999.3,121.43270911776114,8.629007497190083,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,150.16,383,258.37,0,999.4,122.26655709883464,8.381794293196451,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,197.79,625,448.11,0,999.4,131.42366562500263,5.667892024377317,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,200.0,252,591.71,0,999.1,123.92120149045296,4.323208710054054,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,587.69,286,801.34,0,998.6,122.19542220882336,4.386985417492113,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,477.33,671,838.3000000000001,0,998,114.30454926593671,4.251837837923738,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,607.86,767,933.01,0,997.5,110.97099882595091,3.841905107348104,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,705.54,591,959.49,0,996.9,101.50535709482574,3.571770952475645,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,525.38,181,820.34,0,996.3,89.37821867329995,3.4626277390993248,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,1008.78,0,868.0600000000001,0,996.1,70.92160963238564,3.17436045125259,54,,
2015,1,3,16,0,22.8,100,97.8,13.9,10,962.23,0,678.78,0,996.3,45.114092947653376,4.357608027309299,66,,
2015,1,3,17,0,21.6,109,85.7,14.2,14,328.48,0,354.5,0,996.5,30.74671043473517,6.283546522185565,77,,
2015,1,3,18,0,20.6,118,57.3,14.3,6,720.79,0,228.75,0,997.1,29.331181585516333,6.481172741666175,87,,
2015,1,3,19,0,19.7,128,69.2,14.1,0,0.0,0,3.11,0,998.1,41.74273000625652,6.852220384748803,96,,
2015,1,3,20,0,18.8,140,83,13.8,0,0.0,0,0.0,0,999,86.930098813585,11.441266580725188,104,,
2015,1,3,21,0,18.1,153,82.6,13.5,0,0.0,0,0.0,0,999.5,102.30218595459884,9.735831084657171,111,,
2015,1,3,22,0,17.6,167,62.2,13,0,0.0,0,0.0,0,999.7,112.48111231966884,10.131937049808895,115,,
2015,1,3,23,0,17,-178,50.8,12.6,0,0.0,0,0.0,0,999.8,124.268448982878,11.631011893152694,116,,
2015,1,4,0,0,16.4,-163,51,12.5,0,0.0,0,0.0,0,1000.1,133.3906747951312,13.554256945305388,114,,
2015,1,4,1,0,15.7,-149,56.5,12.6,0,0.0,0,0.0,0,1000.6,140.86034662852387,13.585201484724209,109,,
2015,1,4,2,0,15.1,-137,53.6,12.8,0,0.0,0,0.0,0,1001.2,145.16060977554656,12.4277424200342,103,,
2015,1,4,3,0,14.7,-126,50.9,12.6,0,0.0,0,0.0,0,1002.1,137.57946723785733,10.024610952820057,94,,
2015,1,4,4,0,14.5,-116,62.8,12.2,23,0.0,3,0.0,0,1003.4,136.13787633452398,8.928983882498432,84,,
2015,1,4,5,0,14.3,-107,25,11.8,51,0.0,175,0.0,0,1004.7,137.07869965754844,7.818567262988615,74,,
2015,1,4,6,0,14.9,-98,1.9,11.1,84,612.82,372,139.19,0,1005.5,135.82626295942646,7.40749837679863,63,,
