country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-34.2,138.57,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,335.656583549689,10.09443136530104,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,343.4877969532678,7.729754819688225,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,354.9874642219245,7.56490490321756,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,33.08736273634565,9.485051499435022,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,70.45903665043147,8.810515364727115,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,78.2531583148459,10.177169836600491,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,64.5190328315141,4.569481487752194,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,56.4051190046149,8.55372245017893,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,826.47,0,372.02,0,1003.7,97.04934887374355,7.2689737784592285,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,411.34,0,481.74,0,1004,106.73832841671862,9.489270140272106,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,287.11,7,634.89,0,1004.1,102.7675439268644,8.569812369209371,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,212.97,353,714.9,0,1004.2,92.6758948261006,7.993453238852724,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1034.97,734,1061.26,0,1004.4,107.36283341775652,5.5025443880282925,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1041.56,628,1105.71,0,1004.7,116.23557740826648,5.736680554146697,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,794.48,606,980.12,0,1005,119.66015987241413,4.297860932760951,43,,
2015,1,1,15,0,16.9,91,0,7,74,1021.1,544,998.11,0,1005.3,145.28805450622343,5.803605722165141,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,991.4,349,855.38,0,1005.7,144.90053401143012,4.937457385420284,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,430.1,117,543.9300000000001,0,1006.1,180.04184591057066,2.48655393186234,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,0.0,10,183.08,0,1006.5,154.7871689153127,10.226033053645637,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,700.27,0,226.98,0,1006.9,177.08169650531318,5.617021685188879,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,288.11,0,35.56,0,1007.3,159.8821193449902,11.640064339120816,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,170.89383934395937,9.369906906600418,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,159.13147465918644,7.969761378694915,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,166.86597769360367,7.7014609003746815,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,169.33021719550334,8.776744840770979,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,172.3039482779834,9.334077351297235,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,179.4332595939593,9.000440304686776,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,194.0746866380165,6.830040900619574,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,186.94889495309764,8.56289913242162,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,187.72132692014915,9.839209574099202,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,175.606076998719,10.012348621919775,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,35.72,3,69.56,0,1006.8,155.84367018065984,8.201070094428053,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,414.35,148,283.41,0,1006.5,143.26850716539332,7.821970264815909,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,343.92,211,457.86,0,1006.1,148.02100296263825,8.529092788700925,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,458.47,72,641.48,0,1005.5,133.60921388545444,6.732858584522682,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,561.71,0,810.87,0,1005,115.05984339654684,6.03182698495805,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,644.51,1,929.75,0,1004.4,130.04807487711128,4.220881402618264,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1034.27,44,1098.21,0,1003.7,131.95400154644693,4.0085762378597565,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,1032.7,27,1079.85,0,1003.1,131.15430595899886,2.417365839476668,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,1020.15,52,997.66,0,1002.5,62.29203080419677,1.955324162847221,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,994.06,29,858.1,0,1001.9,30.85028230677358,4.90853372562519,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,947.53,21,671.89,0,1001.3,46.89679406600061,8.414864489665304,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,865.74,12,455.06,0,1000.9,40.94960863302566,8.039266078612206,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,705.67,0,229.0,0,1000.6,40.31177548468577,9.110327969786168,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,295.15000000000003,0,36.29,0,1000.4,42.14552445543586,10.381038450667257,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,43.03287599868736,10.651676847774937,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,43.756810753314994,10.433565089037534,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,41.24827092947402,10.806537373275493,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,39.04038173337028,11.3118945910127,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,37.15117566917411,11.65050360165371,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,36.3965457205544,11.646981702649592,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,38.67314381398273,11.459817328265345,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,39.90445642952631,11.9421086033344,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,37.8045426770787,12.702053193763929,74,,
2015,1,3,6,0,21.7,-98,23,14,250,0.0,88,0.0,0,999.3,38.31818467955577,12.154245955824544,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,612.65,383,146.75,0,999.4,31.42997479640013,12.054655575046093,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,837.97,625,372.34,0,999.4,44.06952974676671,12.45232244853437,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,124.08,252,396.4,0,999.1,44.06388975284915,12.377304756710243,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,124.18,286,574.11,0,998.6,44.70465692738202,12.21239906819278,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,126.58,671,416.87,0,998,43.48471360230741,11.446181621723952,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,696.24,767,943.99,0,997.5,38.02963907746221,10.815005208382562,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,624.34,591,958.65,0,996.9,35.4143270471273,11.066360632897428,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,707.21,181,975.19,0,996.3,37.432449184596464,9.874239432263352,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,676.11,0,892.82,0,996.1,35.91939199897422,9.681927279988502,54,,
2015,1,3,16,0,22.8,100,97.8,13.9,10,102.73,0,402.38,0,996.3,23.411877454116336,8.408058654534743,66,,
2015,1,3,17,0,21.6,109,85.7,14.2,14,113.3,0,430.55,0,996.5,16.27381281245772,9.117106877246435,77,,
2015,1,3,18,0,20.6,118,57.3,14.3,6,86.32000000000001,0,187.23,0,997.1,27.63345223333704,8.628073988568977,87,,
2015,1,3,19,0,19.7,128,69.2,14.1,0,208.49,0,160.94,0,998.1,34.24757171913126,8.793582489856604,96,,
2015,1,3,20,0,18.8,140,83,13.8,0,0.0,0,22.48,0,999,35.31623601645049,8.033185059056997,104,,
2015,1,3,21,0,18.1,153,82.6,13.5,0,0.0,0,0.0,0,999.5,37.605190660147855,10.301211468357408,111,,
2015,1,3,22,0,17.6,167,62.2,13,0,0.0,0,0.0,0,999.7,36.32356316539767,10.129239462371944,115,,
2015,1,3,23,0,17,-178,50.8,12.6,0,0.0,0,0.0,0,999.8,33.99137267508161,9.390627603882898,116,,
2015,1,4,0,0,16.4,-163,51,12.5,0,0.0,0,0.0,0,1000.1,36.40044779289161,8.275640991253507,114,,
2015,1,4,1,0,15.7,-149,56.5,12.6,0,0.0,0,0.0,0,1000.6,33.79725747206379,7.865085981131346,109,,
2015,1,4,2,0,15.1,-137,53.6,12.8,0,0.0,0,0.0,0,1001.2,33.06969427813999,8.246912014921367,103,,
2015,1,4,3,0,14.7,-126,50.9,12.6,0,0.0,0,0.0,0,1002.1,37.939765637611,9.55544477949424,94,,
2015,1,4,4,0,14.5,-116,62.8,12.2,23,0.0,3,0.0,0,1003.4,40.81680137199805,9.179328885109898,84,,
2015,1,4,5,0,14.3,-107,25,11.8,51,0.0,175,0.0,0,1004.7,43.71872441764236,9.04330981945155,74,,
2015,1,4,6,0,14.9,-98,1.9,11.1,84,0.0,372,0.0,0,1005.5,32.81163443011059,7.776694025413215,63,,
2015,1,4,7,0,16.1,-88,1,10.3,79,0.0,584,59.33,0,1006.1,44.55435657038242,6.540935576605544,51,,
2015,1,4,8,0,17.4,-76,0,9.5,70,811.37,775,360.27,0,1006.6,54.91489639773937,5.716799718563451,40,,
2015,1,4,9,0,17.9,-60,0,8.9,71,917.14,907,583.5500000000001,0,1007.1,93.1140615752284,4.9164174082117365,30,,
2015,1,4,10,0,17.9,-34,0,8.4,72,975.96,987,784.54,0,1007.5,104.65520145577034,5.99632163715312,22,,
2015,1,4,11,0,17.9,5,0,8,72,1010.92,1008,945.96,0,1008,103.87815410202973,4.982664128602206,19,,
2015,1,4,12,0,18,41,0,7.6,72,652.76,971,934.2,0,1008.2,111.30420290127574,4.175604472790441,23,,
2015,1,4,13,0,18.1,65,0,7.4,70,1038.37,880,1101.37,0,1008.4,84.56773967231618,4.16076558539966,32,,
2015,1,4,14,0,18.2,80,0,7.1,66,675.26,741,966.95,0,1008.5,50.35910142956556,3.6424119333431153,43,,
2015,1,4,15,0,18,90,0,7.2,60,620.84,565,874.41,0,1008.7,14.48779213109458,5.647234998268497,54,,
2015,1,4,16,0,17.4,100,0,7.6,53,531.66,368,737.9,0,1009,8.710951470368173,7.552966120022894,66,,
2015,1,4,17,0,16.9,109,0,8,40,439.22,175,566.7,0,1009.3,358.2923451005618,7.755260258334494,77,,
2015,1,4,18,0,15.8,118,0,8.4,12,868.47,39,457.62,0,1009.7,335.94178753956413,7.531022890147127,87,,
2015,1,4,19,0,14.5,128,0,8.8,0,709.6800000000001,0,231.07,0,1010.2,328.63724051488987,7.991391666107324,96,,
2015,1,4,20,0,13,140,0,9.2,0,300.31,0,37.06,0,1010.7,335.7681574808372,8.13101172306405,104,,
2015,1,4,21,0,12.5,152,1,9.5,0,0.0,0,0.0,0,1010.9,348.32246954100947,9.263684764463664,111,,
2015,1,4,22,0,12.7,167,51.6,9.6,0,0.0,0,0.0,0,1010.8,349.1605279578662,11.490996922479932,115,,
2015,1,4,23,0,12.9,-178,61.9,9.8,0,0.0,0,0.0,0,1010.7,355.6288343170565,11.480341056405376,116,,
2015,1,5,0,0,12.9,-163,51.9,9.9,0,0.0,0,0.0,0,1010.6,356.5859731971733,12.594298810135498,114,,
2015,1,5,1,0,12.7,-149,52,10,0,0.0,0,0.0,0,1010.6,352.2363113390372,12.688252385641077,109,,
2015,1,5,2,0,12.5,-137,52,10.2,0,0.0,0,0.0,0,1010.6,358.95707819944573,13.735196530294608,103,,
2015,1,5,3,0,12.6,-126,51.6,10.3,1,0.0,0,0.0,0,1010.8,5.77343270115756,16.153888684233426,94,,
2015,1,5,4,0,13,-116,53.8,10.5,37,0.0,0,0.0,0,1011.2,32.552300165631834,14.470207798482257,84,,
2015,1,5,5,0,13.4,-107,59.7,10.7,99,0.0,0,0.0,0,1011.6,31.356896618347434,14.722241027892665,74,,
2015,1,5,6,0,14.4,-98,71.9,10.8,122,0.0,2,0.0,0,1011.9,25.834990415741345,14.424621575901694,63,,
2015,1,5,7,0,15.8,-88,44.8,10.8,295,0.0,92,70.36,0,1012.2,29.91266479334979,14.3598762286043,52,,
2015,1,5,8,0,17.3,-76,25.4,10.9,435,107.23,184,253.12,0,1012.5,35.253109395070055,12.90208388162456,40,,
2015,1,5,9,0,18.1,-60,35.2,10.9,541,924.75,75,585.84,0,1012.4,37.89958348768749,11.950330040971258,30,,
2015,1,5,10,0,18.4,-34,57.6,10.8,435,983.87,0,788.5500000000001,0,1012.2,44.82998259331913,12.64215765742754,22,,
2015,1,5,11,0,18.7,5,55.7,10.8,469,1020.02,0,952.4,0,1011.9,49.88994409247431,12.002835390575024,19,,
2015,1,5,12,0,18.9,41,57.7,10.8,434,1041.79,0,1064.25,0,1011.8,49.68245104241544,9.90841176732766,23,,
2015,1,5,13,0,19.1,64,56.7,10.9,396,1051.77,2,1114.08,0,1011.6,49.77750841826537,9.87212741355553,32,,
2015,1,5,14,0,19.2,79,35.5,11,394,1051.51,101,1097.96,0,1011.5,52.673364076611165,10.219946025099238,43,,
2015,1,5,15,0,19,90,13.3,11.2,235,1040.6,279,1017.04,0,1011.5,59.37688325198303,10.377093598417758,54,,
2015,1,5,16,0,18.4,100,2.4,11.4,96,1017.19,294,877.8000000000001,0,1011.7,61.99054353977891,9.812077462152349,66,,
2015,1,5,17,0,17.9,109,0,11.7,50,973.1,153,689.89,0,1011.9,66.86881701647519,10.13884740595712,76,,
2015,1,5,18,0,16.9,118,0,11.8,15,893.32,32,469.38,0,1012.3,69.94121656292788,7.968070613398907,87,,
2015,1,5,19,0,15.6,128,0,11.7,0,735.12,0,238.09,0,1012.7,68.01940201099353,5.393894732001152,96,,
2015,1,5,20,0,14.2,139,0,11.7,0,324.12,0,38.7,0,1013.2,115.24071637593852,3.2202450869715644,105,,
2015,1,5,21,0,13.5,152,0,11.6,0,0.0,0,0.0,0,1013.3,120.1949372972964,3.264936488405298,111,,
2015,1,5,22,0,13.2,167,0,11.6,0,0.0,0,0.0,0,1013.2,99.71420729075231,7.935732680788244,115,,
2015,1,5,23,0,13,-178,0,11.5,0,0.0,0,0.0,0,1013,90.75100482500056,9.536792952597509,116,,
2015,1,6,0,0,12.8,-163,0,11.5,0,0.0,0,0.0,0,1012.9,84.74922124353355,8.195364060618237,114,,
2015,1,6,1,0,12.6,-149,0,11.4,0,0.0,0,0.0,0,1012.7,81.37101444954715,8.091591920285738,110,,
2015,1,6,2,0,12.5,-137,0,11.3,0,0.0,0,0.0,0,1012.5,76.60920736499315,8.48056007713537,103,,
2015,1,6,3,0,12.9,-126,0.1,11.7,1,0.0,1,0.0,0,1012.6,73.73394647573429,9.114854763345932,94,,
2015,1,6,4,0,13.8,-116,3.7,12.4,36,0.0,37,0.0,0,1012.9,77.10523657069234,9.361071295075174,85,,
2015,1,6,5,0,14.8,-107,2,13.1,65,0.0,176,0.0,0,1013.2,77.59818312553534,9.726974390399125,74,,
2015,1,6,6,0,16.2,-98,0.2,13.4,84,0.0,361,0.0,0,1013.5,85.03822223556887,9.28479366538116,63,,
2015,1,6,7,0,17.9,-88,8.2,13.4,205,591.79,379,137.53,0,1013.7,85.41874191394328,8.939535009983745,52,,
2015,1,6,8,0,19.6,-76,29.4,13.4,429,19.4,138,204.4,0,1014,77.7610481253297,10.104658664946973,41,,
2015,1,6,9,0,20.5,-60,14,13.1,255,929.12,570,586.29,0,1013.9,104.44577242162144,10.529857536216124,30,,
2015,1,6,10,0,20.6,-34,0,12.6,106,514.1,920,678.57,0,1013.6,121.59384061845516,12.5804800967473,22,,
2015,1,6,11,0,20.7,5,0,12.1,106,183.27,943,700.23,0,1013.4,123.73794749585733,12.54213373224114,19,,
2015,1,6,12,0,20.7,41,0,11.9,103,202.99,910,796.2,0,1013,123.24898190079398,11.402631221187905,24,,
2015,1,6,13,0,20.8,64,0,12.1,98,1050.58,821,1112.38,0,1012.7,122.62749362525938,10.36925407324498,32,,
2015,1,6,14,0,20.8,79,0,12.3,93,1049.36,684,1095.75,0,1012.3,114.44449723375942,9.455486798443056,43,,
2015,1,6,15,0,20.4,90,0,12.7,85,1038.22,513,1015.08,0,1012.1,118.117156883762,8.909351262850155,54,,
2015,1,6,16,0,19.8,100,0,13.1,73,1013.81,325,875.77,0,1012.2,125.427257522224,8.351047314152956,66,,
2015,1,6,17,0,19,109,0,13.5,52,969.35,147,688.26,0,1012.2,136.27701137479227,7.39022702112346,76,,
2015,1,6,18,0,18.2,118,0,13.8,16,889.47,31,468.31,0,1012.2,146.83440624423685,7.574836386875421,87,,
2015,1,6,19,0,17.3,128,0,13.9,0,731.3100000000001,0,237.57,0,1012.3,149.51236810142245,9.224099484212744,96,,
2015,1,6,20,0,16.5,139,0,14,0,319.2,0,38.54,0,1012.4,148.3203167148868,8.503613992184246,105,,
2015,1,6,21,0,16,152,0,13.8,0,0.0,0,0.0,0,1012.1,148.54256004761987,8.143867556696446,111,,
2015,1,6,22,0,15.9,166,0,13.4,0,0.0,0,0.0,0,1011.5,138.81671908684189,7.403527761258951,115,,
2015,1,6,23,0,15.9,-178,0,13,0,0.0,0,0.0,0,1010.9,133.0408379390177,7.01221573147053,116,,
2015,1,7,0,0,15.9,-163,0,12.9,0,0.0,0,0.0,0,1010.4,137.0700306530411,7.341023430013012,114,,
2015,1,7,1,0,15.9,-149,0,13,0,0.0,0,0.0,0,1009.9,135.7073193685443,7.160001745809843,110,,
2015,1,7,2,0,15.9,-137,0,13,0,0.0,0,0.0,0,1009.5,139.17314868406868,6.9381234929798605,103,,
