country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-33.61,115.85,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,146.91797945979908,11.895297957514334,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,154.12071041782713,12.600904572723902,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,170.36357006054072,12.76498641607146,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,181.7168252066022,11.965241068697376,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,183.1620139631048,10.988402152019148,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,182.8278614094658,9.60837334955651,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,576.63,0,139.43,0,1002.3,170.7631483250941,7.185119518625287,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,4.32,0,183.65,0,1003,166.92826042392062,4.994989592026128,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,52.17,0,357.08,0,1003.7,188.5572189266016,5.056287814233897,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,65.17,0,367.71,0,1004,66.03751102542185,2.462214450449026,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,98.35,7,518.87,0,1004.1,20.63761964974969,2.134621667844103,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,227.31,353,803.89,0,1004.2,4.279230640747471,3.382067776507488,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1033.09,734,1100.85,0,1004.4,358.89829388479365,6.501201811972922,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1027.6,628,1079.1,0,1004.7,347.26279324859485,7.947947055213763,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,612.7,606,866.46,0,1005,341.5542351057536,7.908680230257443,43,,
2015,1,1,15,0,16.9,91,0,7,74,514.13,544,725.5,0,1005.3,334.23550848185835,7.775317944722706,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,932.43,349,665.4,0,1005.7,333.41257394948434,8.10996979214489,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,847.8000000000001,117,448.88,0,1006.1,337.994416711935,8.358973396969677,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,686.13,10,224.46,0,1006.5,0.8228053465809921,8.375863656578117,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,272.44,0,34.19,0,1006.9,23.17246779269857,9.517857606090834,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,21.23162778542905,9.64523738719633,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,29.42738143270259,7.603671921877019,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,37.45289337929762,6.767796453160785,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,37.763707319606,4.8987075830794495,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,23.624538342008464,3.1251086929389738,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,10.556448948091145,3.41149459928344,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,15.685945138249735,3.218911893557362,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,21.082476007466084,3.4553201942174616,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,12.406179068612404,4.061798299221978,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,5.4001812073703945,3.984636857624504,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,562.03,0,135.12,0,1007,359.8851333234668,4.709879401316327,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,794.76,3,354.6,0,1006.8,1.4622645038560336,4.343366135791069,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,904.07,148,577.95,0,1006.5,347.93244843537616,2.41418562008185,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,965.03,211,779.3100000000001,0,1006.1,324.5434875179276,3.6713958206847512,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,1001.16,72,941.08,0,1005.5,336.63262263259054,6.939448178515109,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,1021.29,0,1049.83,0,1005,350.2855722548843,10.399112771456256,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,1028.34,1,1095.8,0,1004.4,351.6641733423565,11.241401093201318,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,1024.56,44,1076.18,0,1003.7,355.6319971314595,13.16086592094844,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,1009.41,27,992.56,0,1003.1,21.08127696417733,12.858226019353658,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,980.41,52,851.82,0,1002.5,19.82647904988545,11.424857891665129,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,534.29,29,557.04,0,1001.9,28.25317498313126,11.349803872370982,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,349.33,21,357.41,0,1001.3,45.0,11.310370117786048,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,685.98,12,225.02,0,1000.9,59.14996605631018,11.208503376512288,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,274.09000000000003,0,34.57,0,1000.6,64.1404835761387,9.16540651805396,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,76.50481291639545,9.631487562572824,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,86.99694131625313,9.498880886739268,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,90.75978582411346,9.604599133912544,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,96.27927141647598,10.28574186762386,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,101.82261206334056,10.958868870675447,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,109.32383484868222,10.192107119776084,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,109.5646177873258,9.68411811203615,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,111.4767909795404,8.193938308286192,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,110.44354567960931,7.873242616873653,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,114.90476880809518,7.717674520216565,74,,
2015,1,3,6,0,21.7,-98,23,14,250,0.0,88,42.42,0,999.3,121.14895256434198,7.008017085352245,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,0.0,383,176.44,0,999.4,128.74794609017198,4.793132285934797,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,251.6,625,450.63,0,999.4,117.31380440702247,4.358593349295171,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,965.87,252,778.24,0,999.1,113.02830351971414,4.479611962309459,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,154.09,286,637.01,0,998.6,104.42823336630931,4.515041571518064,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,233.54,671,803.35,0,998,91.5489478944524,4.6243291509736215,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,391.12,767,841.87,0,997.5,85.09827562838967,4.388690054280014,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,588.66,591,901.96,0,996.9,81.38435181583588,4.172079817069659,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,284.98,181,788.99,0,996.3,82.09283729704157,4.543195461346562,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,667.32,0,746.14,0,996.1,75.96375653207355,4.123105625617661,54,,
2015,1,3,16,0,22.8,100,97.8,13.9,10,442.97,0,568.53,0,996.3,75.97011850314158,5.156172174417032,66,,
2015,1,3,17,0,21.6,109,85.7,14.2,14,860.99,0,456.31,0,996.5,83.1204948515483,7.304954425330766,77,,
2015,1,3,18,0,20.6,118,57.3,14.3,6,702.38,0,229.9,0,997.1,83.79989921548434,10.438417253607769,87,,
2015,1,3,19,0,19.7,128,69.2,14.1,0,291.16,0,35.9,0,998.1,83.09443888129289,11.455743070840631,96,,
2015,1,3,20,0,18.8,140,83,13.8,0,0.0,0,0.0,0,999,85.01553268336136,11.536546106223945,104,,
2015,1,3,21,0,18.1,153,82.6,13.5,0,0.0,0,0.0,0,999.5,92.88277093973876,12.239522291270058,111,,
2015,1,3,22,0,17.6,167,62.2,13,0,0.0,0,0.0,0,999.7,97.06036962494044,12.184343232495932,115,,
2015,1,3,23,0,17,-178,50.8,12.6,0,0.0,0,0.0,0,999.8,102.98190668866062,11.128751473155232,116,,
2015,1,4,0,0,16.4,-163,51,12.5,0,0.0,0,0.0,0,1000.1,113.0323524884551,10.561208807230845,114,,
2015,1,4,1,0,15.7,-149,56.5,12.6,0,0.0,0,0.0,0,1000.6,123.6130822410745,9.722289659899976,109,,
2015,1,4,2,0,15.1,-137,53.6,12.8,0,0.0,0,0.0,0,1001.2,129.1026577387803,8.342642266995846,103,,
2015,1,4,3,0,14.7,-126,50.9,12.6,0,0.0,0,0.0,0,1002.1,114.98511834395477,7.420856168903029,94,,
2015,1,4,4,0,14.5,-116,62.8,12.2,23,0.0,3,0.0,0,1003.4,111.93600890766676,6.717447315227527,84,,
2015,1,4,5,0,14.3,-107,25,11.8,51,0.0,175,0.0,0,1004.7,111.2898867250144,5.885102747964342,74,,
2015,1,4,6,0,14.9,-98,1.9,11.1,84,586.99,372,136.04,0,1005.5,111.78193341502862,5.097416724902391,63,,
2015,1,4,7,0,16.1,-88,1,10.3,79,824.97,584,361.62,0,1006.1,107.15157015027675,4.294750960906399,51,,
2015,1,4,8,0,17.4,-76,0,9.5,70,933.87,775,590.47,0,1006.6,86.08941101770222,3.6310937135957553,40,,
2015,1,4,9,0,17.9,-60,0,8.9,71,994.94,907,797.24,0,1007.1,74.60296562550309,3.757499257343762,30,,
2015,1,4,10,0,17.9,-34,0,8.4,72,1031.06,987,963.57,0,1007.5,68.73933690254478,4.826101972041242,22,,
2015,1,4,11,0,17.9,5,0,8,72,1051.32,1008,1075.87,0,1008,68.77560673474045,4.827446892556274,19,,
2015,1,4,12,0,18,41,0,7.6,72,1060.19,971,1125.55,0,1008.2,74.79763829415361,4.272140015750793,23,,
2015,1,4,13,0,18.1,65,0,7.4,70,1058.56,880,1108.27,0,1008.4,67.94704335984864,4.987541824285757,32,,
2015,1,4,14,0,18.2,80,0,7.1,66,1046.0,741,1025.33,0,1008.5,69.21929909623992,6.687408371907868,43,,
2015,1,4,15,0,18,90,0,7.2,60,1017.22,565,881.26,0,1008.7,71.91503778348851,6.837806523766476,54,,
2015,1,4,16,0,17.4,100,0,7.6,53,968.55,368,689.99,0,1009,80.53767779197437,9.12414379544733,66,,
2015,1,4,17,0,16.9,109,0,8,40,884.8100000000001,175,467.56,0,1009.3,81.14204123637165,9.741181909809509,77,,
2015,1,4,18,0,15.8,118,0,8.4,12,722.84,39,235.57,0,1009.7,86.31750780812291,9.767807089673957,87,,
2015,1,4,19,0,14.5,128,0,8.8,0,306.21,0,37.0,0,1010.2,92.99933352416548,9.510667658220065,96,,
2015,1,4,20,0,13,140,0,9.2,0,0.0,0,0.0,0,1010.7,96.3965654150134,10.055517851317946,104,,
2015,1,4,21,0,12.5,152,1,9.5,0,0.0,0,0.0,0,1010.9,99.46006995398837,9.872458672483264,111,,
2015,1,4,22,0,12.7,167,51.6,9.6,0,0.0,0,0.0,0,1010.8,105.0859195808415,10.085787356049243,115,,
2015,1,4,23,0,12.9,-178,61.9,9.8,0,0.0,0,0.0,0,1010.7,106.9078740335462,10.29894054379423,116,,
2015,1,5,0,0,12.9,-163,51.9,9.9,0,0.0,0,0.0,0,1010.6,116.60022255875184,10.318591185831869,114,,
2015,1,5,1,0,12.7,-149,52,10,0,0.0,0,0.0,0,1010.6,121.97124229764972,11.318208211669583,109,,
2015,1,5,2,0,12.5,-137,52,10.2,0,0.0,0,0.0,0,1010.6,125.53501396197925,11.804597715944572,103,,
2015,1,5,3,0,12.6,-126,51.6,10.3,1,0.0,0,0.0,0,1010.8,123.67491442879724,9.902172145464196,94,,
2015,1,5,4,0,13,-116,53.8,10.5,37,0.0,0,0.0,0,1011.2,134.99014488294517,9.704357288276045,84,,
2015,1,5,5,0,13.4,-107,59.7,10.7,99,0.0,0,0.0,0,1011.6,146.7025312696062,9.54588761788457,74,,
2015,1,5,6,0,14.4,-98,71.9,10.8,122,575.32,2,132.41,0,1011.9,155.03739595208458,9.768671007874008,63,,
2015,1,5,7,0,15.8,-88,44.8,10.8,295,815.96,92,356.48,0,1012.2,161.30298469898707,8.96857776696668,52,,
2015,1,5,8,0,17.3,-76,25.4,10.9,435,926.09,184,584.4300000000001,0,1012.5,165.55200319837286,8.516993648269434,40,,
2015,1,5,9,0,18.1,-60,35.2,10.9,541,988.27,75,791.09,0,1012.4,156.03007231935987,7.384486277366442,30,,
2015,1,5,10,0,18.4,-34,57.6,10.8,435,1025.63,0,957.94,0,1012.2,160.53443526210663,6.758968949545687,22,,
2015,1,5,11,0,18.7,5,55.7,10.8,469,1046.95,0,1071.13,0,1011.9,165.65014153606398,6.06176384932066,19,,
2015,1,5,12,0,18.9,41,57.7,10.8,434,1057.45,0,1122.56,0,1011.8,172.66343292108365,4.912860278180805,23,,
2015,1,5,13,0,19.1,64,56.7,10.9,396,1057.39,2,1107.14,0,1011.6,176.38785938620913,4.005596922421247,32,,
2015,1,5,14,0,19.2,79,35.5,11,394,1046.42,101,1025.92,0,1011.5,179.95989730315785,3.372640234133847,43,,
2015,1,5,15,0,19,90,13.3,11.2,235,1018.86,279,882.9200000000001,0,1011.5,185.90996245467443,3.641996880903661,54,,
2015,1,5,16,0,18.4,100,2.4,11.4,96,971.55,294,692.3100000000001,0,1011.7,188.3935382447176,3.409155548946779,66,,
2015,1,5,17,0,17.9,109,0,11.7,50,889.36,153,470.0,0,1011.9,195.3874832088169,3.759775177909834,76,,
2015,1,5,18,0,16.9,118,0,11.8,15,726.89,32,236.95,0,1012.3,195.6861004452418,4.1522813099494025,87,,
2015,1,5,19,0,15.6,128,0,11.7,0,309.52,0,37.35,0,1012.7,179.96992823720734,4.497640027496073,96,,
2015,1,5,20,0,14.2,139,0,11.7,0,0.0,0,0.0,0,1013.2,179.9151046527602,6.372646403411486,105,,
2015,1,5,21,0,13.5,152,0,11.6,0,0.0,0,0.0,0,1013.3,185.36487352163496,9.25750446286403,111,,
2015,1,5,22,0,13.2,167,0,11.6,0,0.0,0,0.0,0,1013.2,183.6540263087826,7.586128397399186,115,,
2015,1,5,23,0,13,-178,0,11.5,0,0.0,0,0.0,0,1013,184.2783203014918,9.737002749259185,116,,
2015,1,6,0,0,12.8,-163,0,11.5,0,0.0,0,0.0,0,1012.9,192.2171947303907,16.32728260837459,114,,
2015,1,6,1,0,12.6,-149,0,11.4,0,0.0,0,0.0,0,1012.7,193.9345645836873,16.453516530774927,110,,
2015,1,6,2,0,12.5,-137,0,11.3,0,0.0,0,0.0,0,1012.5,197.659917656864,17.15017173109247,103,,
2015,1,6,3,0,12.9,-126,0.1,11.7,1,0.0,1,0.0,0,1012.6,199.0595972078748,17.030282903921595,94,,
2015,1,6,4,0,13.8,-116,3.7,12.4,36,0.0,37,0.0,0,1012.9,204.23127210312063,16.578550822999222,85,,
2015,1,6,5,0,14.8,-107,2,13.1,65,0.0,176,0.0,0,1013.2,209.7239664996073,16.995660096273635,74,,
2015,1,6,6,0,16.2,-98,0.2,13.4,84,568.49,361,129.41,0,1013.5,214.9684961634576,17.090030562044358,63,,
2015,1,6,7,0,17.9,-88,8.2,13.4,205,811.1800000000001,379,352.58,0,1013.7,218.8554377409692,15.409679495509938,52,,
2015,1,6,8,0,19.6,-76,29.4,13.4,429,921.77,138,579.94,0,1014,214.3370594551448,10.599496373027195,41,,
2015,1,6,9,0,20.5,-60,14,13.1,255,983.98,570,786.14,0,1013.9,206.049035309852,7.379323596636902,30,,
2015,1,6,10,0,20.6,-34,0,12.6,106,1020.8,920,952.46,0,1013.6,202.79929267038864,5.155142519921238,22,,
2015,1,6,11,0,20.7,5,0,12.1,106,1041.52,943,1065.22,0,1013.4,207.34987578006988,4.081206929328627,19,,
2015,1,6,12,0,20.7,41,0,11.9,103,1049.62,910,1114.75,0,1013,231.3190695171643,4.000109607560248,24,,
2015,1,6,13,0,20.8,64,0,12.1,98,1047.06,821,1097.64,0,1012.7,260.53182547426803,3.7993981276665454,32,,
2015,1,6,14,0,20.8,79,0,12.3,93,1033.4,684,1015.22,0,1012.3,286.9406269144804,3.002945582005723,43,,
2015,1,6,15,0,20.4,90,0,12.7,85,1005.72,513,873.77,0,1012.1,318.4336902730952,1.5036320655090207,54,,
2015,1,6,16,0,19.8,100,0,13.1,73,958.16,325,685.01,0,1012.2,4.800891927207204,3.0153001943040447,66,,
