country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-34.41,138.85,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,339.060942420166,11.974732419426736,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,346.2347312028685,8.652992216501563,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,358.76463480791006,8.531449975552757,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,30.935375049548497,10.5269500954575,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,51.43927347042364,9.271717132571847,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,45.81149597825407,9.8954442863737,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,16.65350949350693,7.184418701772298,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,39.93477709760134,8.716935412042938,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,838.79,0,379.68,0,1003.7,68.95535595890038,3.789344922027957,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,87.08,0,350.97,0,1004,79.19950028649725,5.650966597047596,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,517.33,7,685.74,0,1004.1,73.73947899624437,6.801539056753585,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,351.24,353,717.35,0,1004.2,62.09040009971272,7.572820558649333,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,667.84,734,943.7,0,1004.4,76.99282463431081,5.327766479056471,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1046.01,628,1106.34,0,1004.7,96.49528944643578,4.869658505800626,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,681.51,606,966.68,0,1005,125.35073486778208,3.570924941490543,43,,
2015,1,1,15,0,16.9,91,0,7,74,624.8100000000001,544,870.66,0,1005.3,171.12072114660543,5.767315043786707,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,997.99,349,855.07,0,1005.7,163.60894023721266,5.992612986523581,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,629.61,117,573.7,0,1006.1,175.92575733253886,5.793168659043702,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,865.66,10,450.02,0,1006.5,145.5008045899932,7.243474128236898,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,86.65,0,1006.9,136.91321610573203,8.848810747283,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,3.3200000000000003,0,1007.3,169.23489145148426,9.646493330276751,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,164.8574254211377,10.44194857514846,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,166.79031426397273,9.365681163035624,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,172.56958329870622,8.416206864272183,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,174.45471589479826,9.359868959450942,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,177.49106871767617,10.075724526014897,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,181.08732873518224,9.6928113903457,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,187.9168618366384,7.260263821515502,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,199.53324369183264,7.76283543038641,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,187.06187545387948,10.646833314652046,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,177.2167603663155,12.264467358043628,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,0.0,3,62.13,0,1006.8,175.9347437366171,9.332414737179905,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,308.44,148,277.16,0,1006.5,158.112581635246,6.291935371535485,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,920.22,211,590.98,0,1006.1,168.12598403389882,7.754324889609096,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,110.41,72,520.99,0,1005.5,148.13939779894054,6.337984059272105,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,308.58,0,687.76,0,1005,145.15341399580302,3.925345390297404,19,,
