country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-34.53,138.59,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,350.32419335747545,7.031906938541033,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,20.452938725081708,5.20299956639384,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,32.18462982255812,5.760123059132557,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,50.01766487441864,6.614256853636725,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,72.57625137331127,8.349021387201882,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,38.70030439555438,7.251636658347308,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,24.178128745635377,6.103890791231915,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,81.74646712712394,6.728755468513789,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,809.9200000000001,0,368.45,0,1003.7,89.37888311681485,6.284431894468282,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,913.69,0,589.96,0,1004,78.39665898859255,8.700622165891648,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,504.74,7,658.45,0,1004.1,77.19979985372748,7.027133165463599,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,296.88,353,687.96,0,1004.2,72.9820276084236,6.833596356886696,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1024.85,734,1053.3,0,1004.4,94.5813509107236,3.84196217175804,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,561.88,628,910.86,0,1004.7,89.86989953687407,4.954699604739615,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,680.0600000000001,606,960.65,0,1005,97.15466311741704,2.9205527959861746,43,,
2015,1,1,15,0,16.9,91,0,7,74,1011.3,544,990.82,0,1005.3,150.07149222450732,3.8946707627097448,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,981.1,349,849.04,0,1005.7,150.59229533810628,3.378802458816808,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,374.79,117,521.5,0,1006.1,220.31758454406796,2.265662136488154,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,81.46000000000001,10,263.83,0,1006.5,189.6549754871964,7.792247491858959,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,44.88,0,61.39,0,1006.9,137.3201244074735,7.543499276662083,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,3.42,0,1007.3,192.87097554923807,8.67259300336455,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,172.03357303116377,9.019226268762056,111,,
