country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-34.64,138.47,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,48.41655003549704,3.559542351369421,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,78.01327641785736,6.018729372583607,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,80.87188331737855,5.988322161217908,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,86.08508513787206,5.675730591254513,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,88.46559715352493,7.002510911285234,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,30.209445119959184,4.39718555624264,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,82.3780994543385,6.974103297646839,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,96.82109960077906,7.89336904772325,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,804.04,0,366.49,0,1003.7,76.3682272202243,9.016485797534466,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,909.37,0,588.12,0,1004,66.09491819327206,10.11795306965662,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,111.74,7,457.14,0,1004.1,71.47328279373278,9.87424647974377,21,,
