country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-34.84,138.88,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,333.6342261168697,4.894983063558772,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,342.4612849701167,3.733198591986492,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,352.83248912302395,3.6589893930854527,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,30.55748164984197,5.654967905537077,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,27.34474143849485,8.767463163114257,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,1.806030980795356,13.277889790326808,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,23.54237078809905,10.042096375462824,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,14.221605016537808,8.605778358932463,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,423.12,0,311.24,0,1003.7,11.618745883062218,8.311198725736487,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,958.43,0,612.17,0,1004,17.266200790966252,8.84399391338545,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,450.2,7,660.8000000000001,0,1004.1,24.342510360337712,9.585709138161125,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,669.04,353,838.75,0,1004.2,43.67962319955882,8.821890369467182,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,679.92,734,954.18,0,1004.4,9.419996202627884,5.679414772154455,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1065.36,628,1117.94,0,1004.7,49.98612228748453,6.76984495023447,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,612.71,606,920.55,0,1005,47.37211478918226,5.761213703069775,43,,
2015,1,1,15,0,16.9,91,0,7,74,120.84,544,445.46,0,1005.3,46.79176713400824,6.2705929248720365,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,1020.47,349,866.97,0,1005.7,84.80878449568831,7.083312542430926,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,449.62,117,572.3100000000001,0,1006.1,78.38078739007324,8.955395064803762,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,275.2,10,347.05,0,1006.5,112.6302070148223,10.016057360334912,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,90.9,0,1006.9,105.77427255067516,8.719871385643776,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,28.7,0,1007.3,88.05148199726585,10.218131922110516,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,129.56573021553584,11.152921553605209,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,140.25251856237878,8.235618523434916,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,129.93246831868998,8.087018045098583,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,128.90891747179995,6.586172683888975,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,138.41290850282837,6.337454663254644,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,146.44167728849504,6.10544200302073,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,153.5855273411978,4.691193708879639,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,189.0731740822531,2.895033507870826,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,181.30252760062257,8.611035146620834,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,168.7124357158675,10.109194458059042,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,28.06,3,50.39,0,1006.8,170.62449255536865,10.444360779059508,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,47.47,148,118.19,0,1006.5,190.24413873063696,7.881623463619753,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,405.06,211,494.19,0,1006.1,198.0816251785617,5.654847928518733,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,487.45,72,672.87,0,1005.5,182.3127404034406,8.208409074605992,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,1027.84,0,956.23,0,1005,173.8918494879223,8.789398291389894,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,590.26,1,888.45,0,1004.4,197.78715159095316,6.4214583394497895,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,126.77,44,736.8100000000001,0,1003.7,224.40900161375845,4.519700990888734,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,1053.17,27,1087.44,0,1003.1,262.0252276280748,4.115942072078124,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,1041.34,52,1004.48,0,1002.5,307.9141599320909,4.3953333746930525,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,549.58,29,743.44,0,1001.9,331.125952790884,4.648311169404285,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,972.83,21,678.5600000000001,0,1001.3,351.154627893976,5.725473253427936,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,894.11,12,461.35,0,1000.9,26.581957383586257,7.73589421771748,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,738.19,0,234.22,0,1000.6,32.97865600243966,8.376690846337388,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,330.15000000000003,0,38.29,0,1000.4,32.80234958285064,9.530482106211435,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,41.07875901338355,10.901102283828328,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,39.21132020386199,11.468209177738252,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,31.023035337692026,11.726171866908713,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,27.456079933821968,13.28435898929242,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,26.488298726091443,12.70913555690235,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,27.383915913793487,12.241308903306198,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,30.470732809460745,11.596170103804846,94,,
2015,1,3,4,0,20.6,-116,50,13.5,17,0.0,0,0.0,0,998.4,26.42327568015645,11.80990622844054,84,,
2015,1,3,5,0,20.5,-107,48.1,13.8,138,0.0,2,0.0,0,999,25.50942143700172,13.06136263015442,74,,
2015,1,3,6,0,21.7,-98,23,14,250,0.0,88,0.0,0,999.3,25.96381827549027,12.277197985825431,63,,
2015,1,3,7,0,23.6,-88,7.5,14.1,203,130.91,383,72.27,0,999.4,28.673844041483108,12.153511131702524,51,,
2015,1,3,8,0,25.6,-76,1,14.2,162,98.91,625,163.14,0,999.4,35.82384022941119,11.254034214985069,40,,
2015,1,3,9,0,26.3,-60,23.7,14,440,53.59,252,366.61,0,999.1,35.9225876591679,11.375416939907604,30,,
2015,1,3,10,0,26,-33,21.3,13.6,496,290.92,286,618.86,0,998.6,40.26636681874828,10.384488940565967,22,,
2015,1,3,11,0,25.5,6,4.6,13.1,291,395.27,671,756.39,0,998,42.154138268517954,10.988971595048977,19,,
2015,1,3,12,0,25.2,42,0.1,13,202,362.21,767,805.22,0,997.5,40.48924225136261,11.090527406656507,23,,
2015,1,3,13,0,24.9,65,4.1,13.1,248,369.48,591,851.4300000000001,0,996.9,29.133287976760585,11.554034084753962,32,,
2015,1,3,14,0,24.7,80,55.5,13.3,171,284.58,181,771.38,0,996.3,22.569630291577997,11.96523418231316,43,,
2015,1,3,15,0,23.9,91,93.3,13.5,50,1057.83,0,1019.44,0,996.1,19.178843796176693,12.572819942016348,54,,
2015,1,3,16,0,22.8,100,97.8,13.9,10,303.78000000000003,0,696.8000000000001,0,996.3,15.006300586332545,13.076334153917742,66,,
2015,1,3,17,0,21.6,109,85.7,14.2,14,79.47,0,366.61,0,996.5,15.296971812051764,14.255036509800536,77,,
2015,1,3,18,0,20.6,118,57.3,14.3,6,94.11,0,318.64,0,997.1,30.223061816514985,13.409678294319075,87,,
2015,1,3,19,0,19.7,128,69.2,14.1,0,95.68,0,65.23,0,998.1,34.10263474258727,12.989067413174828,96,,
2015,1,3,20,0,18.8,140,83,13.8,0,0.0,0,18.34,0,999,35.54906764120193,12.965376046825533,104,,
2015,1,3,21,0,18.1,153,82.6,13.5,0,0.0,0,0.0,0,999.5,32.54523030085943,11.617851235375417,111,,
2015,1,3,22,0,17.6,167,62.2,13,0,0.0,0,0.0,0,999.7,31.32874958419734,10.9752066275512,115,,
2015,1,3,23,0,17,-178,50.8,12.6,0,0.0,0,0.0,0,999.8,28.49840001197333,11.094290308398692,116,,
2015,1,4,0,0,16.4,-163,51,12.5,0,0.0,0,0.0,0,1000.1,24.957764982735227,9.879049269527483,114,,
2015,1,4,1,0,15.7,-149,56.5,12.6,0,0.0,0,0.0,0,1000.6,20.189308095185424,9.542872983059516,109,,
2015,1,4,2,0,15.1,-137,53.6,12.8,0,0.0,0,0.0,0,1001.2,19.047984032645104,9.95833150722581,103,,
2015,1,4,3,0,14.7,-126,50.9,12.6,0,0.0,0,0.0,0,1002.1,20.25314248877754,10.34621671198876,94,,
2015,1,4,4,0,14.5,-116,62.8,12.2,23,0.0,3,0.0,0,1003.4,24.326349140857246,10.515131636057545,84,,
2015,1,4,5,0,14.3,-107,25,11.8,51,0.0,175,0.0,0,1004.7,23.980853472964892,10.349926381126831,74,,
2015,1,4,6,0,14.9,-98,1.9,11.1,84,0.0,372,0.0,0,1005.5,18.756279761896224,9.194826712002824,63,,
