country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-34.95,138.75,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,351.9403178687747,2.3986929410159656,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,347.43788472106866,1.6648553249657927,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,16.887909794111067,2.62615044246307,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,52.85403255424518,3.7474640099851406,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,1.9535098164287772,9.225592308805677,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,343.60401063239414,11.956454893901745,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,35.26999142576028,9.181353503832716,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,19.186737428019683,6.097631263062509,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,268.16,0,306.82,0,1003.7,21.311970278048197,8.194286600068313,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,428.39,0,515.89,0,1004,20.408431129092605,9.009986281811225,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,451.67,7,669.59,0,1004.1,40.43072549089538,7.69600637814827,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,807.64,353,880.01,0,1004.2,67.5681526793739,7.885344218195692,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,621.8100000000001,734,918.55,0,1004.4,58.24400023716851,3.4570119251677065,23,,
