country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-35.18,138.5,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,88.07446825773786,2.597375551663544,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,130.65125036732258,1.356407197038673,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,48.158471308068215,4.065933941656743,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,46.16840105551512,3.026403563326958,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,319.6029283583828,4.30150994080633,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,306.690164462986,5.419661992317843,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,31.57474135445733,10.154149171307887,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,32.17462918385513,6.769078477693427,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,358.29,0,288.75,0,1003.7,45.55168084222544,6.409254062237131,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,274.84000000000003,0,467.74,0,1004,61.23748405898448,5.932380805270999,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,605.12,7,678.47,0,1004.1,79.9496294047263,5.7302030006880695,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,1005.56,353,947.41,0,1004.2,78.13906507895354,5.756541595941899,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1023.99,734,1052.26,0,1004.4,86.22220856409388,4.10482837940097,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1030.32,628,1095.79,0,1004.7,128.16591497278228,6.736449327038086,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,1025.33,606,1074.16,0,1005,131.9388205678355,7.120117206903774,43,,
2015,1,1,15,0,16.9,91,0,7,74,1008.42,544,989.18,0,1005.3,119.88069402033568,6.540875996793656,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,270.28000000000003,349,664.45,0,1005.7,141.05278566567551,9.86384439265568,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,68.97,117,408.97,0,1006.1,141.24890221057342,8.554427228932795,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,840.1800000000001,10,449.24,0,1006.5,141.68673605082745,13.133528484566956,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,73.41,0,130.86,0,1006.9,154.85393859741123,4.884255670629912,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,15.63,0,1007.3,150.38803832158135,7.606674446465321,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,134.46563020478015,8.822502907697082,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,175.71692311744744,6.3053360862344325,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,150.4030789289336,6.833434299853652,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,154.24660043117865,10.002121847409288,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,155.9716555715902,9.516476369462122,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,152.34605747196633,8.824914230097457,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,162.4863883869067,6.230635949115978,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,166.9300442297564,4.97478223606617,84,,
