country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-35.27,138.77,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,104.28110655060316,3.41574420369264,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,161.71951384265788,2.169686866112911,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,19.278320135426384,2.636246194953601,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,3.9325830121586014,9.75443398871484,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,338.01042159544266,13.35334766272287,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,346.96876975474584,13.602597338112975,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,0.0,0,0.0,0,1002.3,5.241685393817988,15.0002096481012,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,0.0,0,0.0,0,1003,1.1010376327115523,13.974798403423282,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,845.76,0,384.49,0,1003.7,4.657763743916917,12.99894390935614,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,427.42,0,493.23,0,1004,26.318455490676115,8.656555188031081,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,423.12,7,647.22,0,1004.1,55.41114652890485,6.793338023595056,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,387.49,353,734.95,0,1004.2,53.534490888703886,7.676567485358168,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,1047.91,734,1067.3,0,1004.4,61.20047906919933,5.81406149704524,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,1054.3,628,1110.56,0,1004.7,86.6149490878633,6.154270981668174,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,825.96,606,989.78,0,1005,106.19506715261376,6.067149352137244,43,,
2015,1,1,15,0,16.9,91,0,7,74,218.33,544,657.9,0,1005.3,109.23440393183756,6.141431601502852,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,1004.73,349,859.7,0,1005.7,138.9911126838362,8.960436583191608,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,362.37,117,523.51,0,1006.1,147.38253696562998,8.335465538680229,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,50.28,10,279.03000000000003,0,1006.5,148.62082912701158,10.89165796040256,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,215.99,0,158.08,0,1006.9,143.97159640223867,7.284597251939131,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,15.88,0,1007.3,155.0013611630718,6.704521672698324,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,142.97913809721535,10.176440881853347,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,159.27217261978376,7.135472172491172,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,165.13641297174513,6.181381930118674,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,167.02234065671996,9.452104385690186,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,166.61055909040078,8.506712642428875,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,159.7510049972385,9.71131161427954,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,166.8787344282439,7.841301254349735,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,179.7328978354269,4.467642494217832,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,183.43248194235176,8.737893538028544,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,0.0,0,0.0,0,1007,172.04036714244717,8.809419597838227,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,55.99,3,50.95,0,1006.8,176.572938112849,9.48688970446596,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,56.99,148,122.61,0,1006.5,179.31503940444384,8.519142186513593,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,140.71,211,398.21,0,1006.1,164.8156204796701,7.061337966730672,30,,
