country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-41.03,144.77,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,225.2649109795228,13.572155062369262,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,229.39885869818517,14.424153402196222,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,235.4161399499527,14.335650865749123,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,255.42596801917531,14.998845474994996,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,279.76168385567934,14.983166063453291,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,104.0,0,34.538420363339014,0,1001.7,335.0405264689488,16.798883202161587,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,147.0,0,130.2190850807827,0,1002.3,338.8504673292247,13.757482895432984,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,280.0,0,285.37412957414006,0,1003,345.2543140661885,16.111434269772335,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,295.0,0,419.0535782985173,0,1003.7,4.183645755271812,16.63722371026957,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,234.0,0,499.3113817422688,0,1004,26.08210394367001,15.187892202095725,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,214.0,7,586.1450443712952,0,1004.1,27.81800740220774,14.844682417083291,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,265.0,353,684.8304696186142,0,1004.2,28.72335038502501,14.70007044240449,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,295.0,734,729.5071577563812,0,1004.4,18.68454781195635,14.63856216304935,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,547.0,628,868.7756831682902,0,1004.7,19.14314087487753,15.062921939973432,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,488.0,606,775.1169917222885,0,1005,18.590928119575096,15.923813276921608,43,,
2015,1,1,15,0,16.9,91,0,7,74,346.0,544,594.8049360130321,0,1005.3,18.833454090130488,16.500482197326736,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,459.0,349,533.6192681539762,0,1005.7,20.325512233817108,16.774448223585676,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,455.0,117,386.5692134945614,0,1006.1,22.45675865972333,16.235301089036778,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,330.0,10,198.1600815706547,0,1006.5,23.741072235833883,15.99480516788749,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,123.0,0,35.50292490223571,0,1006.9,26.16520288812302,16.02086357301299,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,26.359535519263943,17.09167048172196,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,25.601973458882696,17.272515060522654,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,27.70287258756815,16.618745625653954,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,32.071931670072104,16.197921462158277,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,29.41206147092953,15.756703878091637,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,35.08033738577217,15.856145919647837,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,39.58180773763405,15.067704318085582,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,42.1661213228661,14.302220446012496,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,48.06075880396821,13.242961203804091,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,63.0,0,30.80240193413037,0,1007.1,54.676912201677226,12.518305726451008,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,196.0,0,144.8395589068632,0,1007,59.706546332814185,12.118484526985476,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,398.0,3,325.63952870054413,0,1006.8,61.09710739792376,11.095840616641397,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,461.0,148,493.6328023328679,0,1006.5,62.41138169851308,9.690609061457335,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,545.0,211,664.0986147453352,0,1006.1,62.5759513240946,7.818161759692802,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,793.0,72,871.9328596730547,0,1005.5,62.8288013892776,6.816838719081519,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,833.0,0,976.0577162947532,0,1005,66.93582858223812,6.319730743348119,19,,
2015,1,2,12,0,20.1,42,40.8,13.2,574,814.0,1,1003.7603151538476,0,1004.4,56.72892799039255,4.740841812494293,23,,
2015,1,2,13,0,20.1,65,33.4,13.4,545,818.0000000000001,44,996.115937962922,0,1003.7,47.39558329732921,4.229245628995539,32,,
2015,1,2,14,0,20.2,80,33.2,13.6,474,828.0000000000001,27,943.3486768214988,0,1003.1,42.51044707800082,4.069705149024927,43,,
2015,1,2,15,0,20,91,28.2,13.7,355,847.0,52,850.4608429627667,0,1002.5,33.562042919578346,4.500246614173052,54,,
2015,1,2,16,0,19.6,100,38.5,13.8,210,747.0,29,658.7714173206475,0,1001.9,21.558824191968316,4.422294922946457,66,,
2015,1,2,17,0,19.2,109,21.9,13.8,102,613.0,21,441.0025868305214,0,1001.3,14.240335607091083,4.114338385390822,77,,
2015,1,2,18,0,19.1,118,37.1,13.8,25,403.0,12,214.5384794716758,0,1000.9,2.8624052261117754,2.5031230493125984,87,,
2015,1,2,19,0,19.2,128,20.2,14,0,171.0,0,41.7992951312477,0,1000.6,359.690591620534,2.2379473383618698,96,,
2015,1,2,20,0,19.4,140,45,14.1,0,0.0,0,0.0,0,1000.4,357.87890360333853,3.377314021526574,104,,
2015,1,2,21,0,19.5,153,57.1,14.1,0,0.0,0,0.0,0,999.9,353.6364771517262,4.402122869835,111,,
2015,1,2,22,0,19.7,167,18.1,14.1,0,0.0,0,0.0,0,999.2,350.13419305691565,5.836308764964376,115,,
2015,1,2,23,0,19.8,-178,0,14.1,0,0.0,0,0.0,0,998.5,350.9097230791777,6.329494450586082,116,,
2015,1,3,0,0,20,-163,0.6,13.9,0,0.0,0,0.0,0,998.1,352.49608788689017,7.564785222855786,114,,
2015,1,3,1,0,20.3,-149,29.8,13.5,0,0.0,0,0.0,0,997.8,350.6125520311623,9.12216477458888,109,,
2015,1,3,2,0,20.5,-137,16.7,13.1,0,0.0,0,0.0,0,997.5,352.75832235067503,10.81207441281497,102,,
2015,1,3,3,0,20.6,-126,1,13.1,0,0.0,0,0.0,0,997.8,348.9651754771053,11.692002521621758,94,,
